Period,Time,Strength,Team,Shooter,Shot Type?,A1,A2,A3,A1 Zone,A2 Zone,A3 Zone,SC?,SOG?,Oddman,G?,RB,RB SOG?,RB G?,Home Score State,Goalie,Game ID,Date,Home:,Away: ,Home Goalies,Away Goalies,Blue Jackets,F,F,F,D,D,G/Extra Attacker,Opp,F,F,F,D,D,G/Extra Attacker
2,12:58,5v5,CBJ,47,w,38,,,opr,,,,,,,,,,-1,30,20013,10/9/2015,CBJ,NYR,,,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference
2,12:16,5v5,NYR,20,w,93,,,ol,,,,y,,,,,,-1,72,20013,10/9/2015,CBJ,NYR,,,,19,20,71,7,51,72,,20,21,13,8,93,30
2,11:48,5v5,NYR,36,w,16,,,oc,,,y,y,,,,,,-1,72,20013,10/9/2015,CBJ,NYR,,,,9,13,43,7,51,72,,16,36,61,8,93,30
2,9:15,5v5,CBJ,58,o,13,17,43,oelpr,oell,ol,,,,,,,,-1,30,20013,10/9/2015,CBJ,NYR,,,,17,13,43,27,58,72,,16,36,61,8,93,30
2,9:01,5v5,CBJ,13,w,17,,,dsc,,,y,y,1 on 0,y,,,,-1,30,20013,10/9/2015,CBJ,NYR,,,,17,13,43,27,58,72,,10,16,36,5,93,30
2,8:40,5v5,NYR,25,o,10,,,ol,,,,y,,,,,,0,72,20013,10/9/2015,CBJ,NYR,,,,19,20,71,4,47,72,,10,24,25,5,27,30
2,7:58,5v5,CBJ,7,o,20,7,,opr,nc,,,,,,,,,0,30,20013,10/9/2015,CBJ,NYR,,,,9,18,20,7,51,72,,10,26,19,5,27,30
2,7:15,5v5,NYR,18,w,28,21,19,opl,oc,nr,,y,,,,,,0,72,20013,10/9/2015,CBJ,NYR,,,,9,38,40,7,51,72,,21,28,19,18,22,30
2,6:28,5v5,NYR,13,w,21,20,,dsc,dc,,y,,,,,,,0,72,20013,10/9/2015,CBJ,NYR,,,,17,40,43,27,58,72,,20,21,13,8,18,30
2,6:07,5v5,CBJ,4,w,11,,,oelpl,,,,y,,,,,,0,30,20013,10/9/2015,CBJ,NYR,,,,40,11,71,4,47,72,,16,36,61,18,22,30
2,5:27,5v5,NYR,36,w,16,61,27,orrl,oelpc,ol,,y,,,,,,0,72,20013,10/9/2015,CBJ,NYR,,,,19,20,71,4,47,72,,16,36,61,5,27,30
