Period,Time,Strength,Team,Shooter,Shot Type?,A1,A2,A3,A1 Zone,A2 Zone,A3 Zone,SC?,SOG?,Oddman,G?,RB,RB SOG?,RB G?,Home Score State,Goalie,Game ID,Date,Home:,Away: ,Home Goalies,Away Goalies,Jets,F,F,F,D,D,G/Extra Attacker,Opps,F,F,F,D,D,G/Extra Attacker
2,6:39,5v4,WPG,16,w,26,18,,orrc,or,,y,y,,,,,,1,70,20322,11/25/2015,WSH,WPG,,,,18,85,26,16,33,34,,83,43,74,88,70,0
2,6:15,5v4,WPG,57,s,55,26,18,oc,ol,ol,,,,,,,,1,70,20322,11/25/2015,WSH,WPG,,,,18,85,26,16,33,34,,21,77,2,27,70,0
2,6:08,5v4,WPG,55,s,33,18,,oc,ol,,,y,,y,,,,1,70,20322,11/25/2015,WSH,WPG,,,,18,85,26,16,33,34,,21,77,2,27,70,0
2,5:33,5v5,WPG,6,w,27,6,39,oc,nl,dl,y,y,,,22,y,,0,70,20322,11/25/2015,WSH,WPG,,,,6,22,27,39,57,34,,92,14,90,74,88,70
2,4:08,5v5,WPG,22,w,27,,,nr,,,,,,,,,,0,70,20322,11/25/2015,WSH,WPG,,,,6,22,27,2,33,34,,92,14,90,4,9,70
2,3:39,5v5,WSH,9,s,92,90,92,oc,or,nr,,y,,y,,,,0,34,20322,11/25/2015,WSH,WPG,,,,6,22,27,2,33,34,,92,14,90,4,9,70
2,2:42,5v5,WPG,26,w,16,39,26,nl,dl,nl,,y,,,,,,1,70,20322,11/25/2015,WSH,WPG,,,,18,26,16,39,57,34,,19,77,8,2,27,70
2,2:08,5v5,WPG,12,w,85,12,,nl,nl,,y,y,,,,,,1,70,20322,11/25/2015,WSH,WPG,,,,55,85,12,8,33,34,,92,14,90,74,88,70
2,1:33,5v5,WPG,85,w,12,85,,ol,ol,,,y,,,,,,1,70,20322,11/25/2015,WSH,WPG,,,,6,85,12,33,39,34,,92,14,90,74,88,70
2,0:19,5v5,WSH,8,w,19,,,dr,,,,y,,,,,,1,34,20322,11/25/2015,WSH,WPG,,,,18,26,16,8,33,34,,19,77,8,2,27,70
3,19:18,5v5,WSH,74,s,19,8,,or,or,,,,,,,,,1,34,20322,11/25/2015,WSH,WPG,,,,18,26,16,39,57,34,,19,77,8,74,88,70
3,19:12,5v5,WSH,74,s,19,,,or,,,,y,,,,,,1,34,20322,11/25/2015,WSH,WPG,,,,18,26,16,39,57,34,,19,77,8,74,88,70
3,19:06,5v5,WSH,14,s,90,2,92,or,or,of,,y,,,,,,1,34,20322,11/25/2015,WSH,WPG,,,,55,85,12,2,33,34,,92,14,90,2,27,70
3,18:37,5v5,WSH,27,w,33,,,or,,,,,,,,,,1,34,20322,11/25/2015,WSH,WPG,,,,6,22,27,2,33,34,,92,14,90,2,27,70
3,16:04,5v5,WPG,16,w,26,57,39,dc,dl,dr,,y,,,,,,1,70,20322,11/25/2015,WSH,WPG,,,,18,26,16,39,57,34,,19,77,8,2,27,70
3,14:41,5v5,WPG,8,w,55,6,8,nc,dr,dc,,y,,,,,,1,70,20322,11/25/2015,WSH,WPG,,,,6,22,27,5,8,34,,83,25,65,74,88,70
3,14:34,5v5,WPG,26,s,16,57,26,or,opr,ol,,y,,,,,,1,70,20322,11/25/2015,WSH,WPG,,,,18,26,16,39,57,34,,19,77,8,74,88,70
3,14:27,5v5,WPG,39,w,16,,,or,,,,,,,,,,1,70,20322,11/25/2015,WSH,WPG,,,,18,26,16,39,57,34,,19,77,8,74,88,70
3,13:34,5v5,WPG,85,s,33,85,33,or,nr,nr,,,,,,,,1,70,20322,11/25/2015,WSH,WPG,,,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference
3,12:10,5v5,WPG,39,w,16,26,,ol,ol,,,,,,,,,1,70,20322,11/25/2015,WSH,WPG,,,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference
3,8:59,5v5,WPG,33,w,57,55,12,ol,ol,dr,,,,,,,,1,70,20322,11/25/2015,WSH,WPG,,,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference
3,7:41,5v5,WPG,16,w,18,57,,nr,nr,,,y,,,,,,1,70,20322,11/25/2015,WSH,WPG,,,,18,26,16,39,57,34,,19,77,8,74,88,70
3,6:17,5v5,WSH,92,b,90,,,or,,,y,y,,y,,,,1,34,20322,11/25/2015,WSH,WPG,,,,55,85,12,2,33,34,,92,14,90,2,27,70
3,5:00,5v5,WSH,77,a,19,8,19,ol,orrr,oc,y,y,,,,,,2,34,20322,11/25/2015,WSH,WPG,,,,18,26,16,39,57,34,,19,77,8,4,9,70
3,4:21,5v5,WSH,19,w,43,,,ol,,,,,,,,,,2,34,20322,11/25/2015,WSH,WPG,,,,9,14,17,8,33,34,,21,46,43,4,9,70
3,1:33,6v5,WPG,33,w,85,18,12,or,oc,ol,,,,,,,,2,70,20322,11/25/2015,WSH,WPG,,,,18,85,12,16,33,57,,83,14,8,2,27,70
3,0:36,6v5,WPG,16,w,57,85,,opr,or,,,,,,,,,2,70,20322,11/25/2015,WSH,WPG,,,,18,85,26,16,33,57,,92,43,25,74,88,70
3,0:24,6v5,WPG,57,w,26,85,33,orrl,ol,opl,y,y,,,,,,2,70,20322,11/25/2015,WSH,WPG,,,,18,85,26,16,33,57,,92,43,25,74,88,70
1,18:35,5v5,CHI,15,w,88,,,ol,,,,,,,,,,0,34,20399,12/6/2015,CHI,WPG,50,34,,55,85,12,8,57,34,,15,72,88,6,32,50
1,18:26,5v5,CHI,88,w,88,,,nc,,,,y,,,,,,0,34,20399,12/6/2015,CHI,WPG,33,30,,55,85,12,8,57,34,,15,72,88,6,32,50
1,16:52,5v5,CHI,57,w,81,86,,opl,ol,,,,,,,,,0,34,20399,12/6/2015,CHI,WPG,,,,18,26,16,7,33,34,,19,81,86,7,57,50
1,16:37,5v5,WPG,16,w,18,,,ol,,,y,,,,,,,0,50,20399,12/6/2015,CHI,WPG,,,,18,26,16,7,33,34,,19,81,86,7,57,50
1,15:58,5v5,CHI,72,w,88,15,2,oc,dc,dc,,,,,,,,0,34,20399,12/6/2015,CHI,WPG,,,,55,85,12,39,57,34,,15,72,88,2,4,50
1,15:53,5v5,CHI,2,s,15,,,opl,,,,,,,,,,0,34,20399,12/6/2015,CHI,WPG,,,,55,85,12,39,57,34,,15,72,88,2,4,50
1,15:41,5v5,WPG,85,w,55,12,39,oc,dl,dl,,y,,,,,,0,50,20399,12/6/2015,CHI,WPG,,,,55,85,12,39,57,34,,15,72,88,2,4,50
1,15:18,5v5,WPG,8,w,27,22,6,opc,oc,of,,,,,,,,0,50,20399,12/6/2015,CHI,WPG,,,,6,22,27,5,8,34,,11,16,28,6,32,50
1,15:07,5v5,WPG,6,w,5,,,opl,,,,,,,,,,0,50,20399,12/6/2015,CHI,WPG,,,,6,22,27,5,8,34,,11,16,28,6,32,50
1,14:50,5v4,WPG,33,w,18,26,18,ol,ol,ol,,y,,,,,,0,50,20399,12/6/2015,CHI,WPG,,,,18,85,26,16,33,34,,16,67,2,4,50,0
1,14:37,5v4,WPG,85,o,33,18,33,oc,opl,oc,,,,,,,,0,50,20399,12/6/2015,CHI,WPG,,,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference
1,13:52,5v4,WPG,26,s,85,18,,oc,opr,,,,,,,,,0,50,20399,12/6/2015,CHI,WPG,,,,18,85,26,16,33,34,,16,67,7,32,50,0
1,13:35,5v4,WPG,27,w,85,26,85,opr,or,nc,,,,,,,,0,50,20399,12/6/2015,CHI,WPG,,,,55,85,12,27,57,34,,15,16,4,32,50,0
1,11:06,5v5,WPG,33,w,18,7,,dl,dl,,y,y,,,14,y,,0,50,20399,12/6/2015,CHI,WPG,,,,9,14,17,8,33,34,,65,67,29,2,4,50
1,10:41,5v5,CHI,81,w,19,,,dl,,,,y,,,,,,0,34,20399,12/6/2015,CHI,WPG,,,,55,85,12,7,33,34,,19,81,86,2,7,50
1,10:25,5v4,CHI,2,w,15,7,,ol,or,,y,,,,,,,0,34,20399,12/6/2015,CHI,WPG,,,,18,12,8,57,34,0,,15,72,88,2,7,50
1,9:45,5v4,CHI,7,s,88,,,oelpr,,,,,,,,,,0,34,20399,12/6/2015,CHI,WPG,,,,18,12,8,57,34,0,,15,72,88,2,7,50
1,9:34,5v4,CHI,7,o,88,72,7,opr,ol,ol,,y,,,,,,0,34,20399,12/6/2015,CHI,WPG,,,,18,12,8,57,34,0,,15,72,88,2,7,50
1,8:15,5v5,WPG,55,w,16,,,dr,,,,y,,,,,,0,50,20399,12/6/2015,CHI,WPG,,,,18,55,16,39,57,34,,11,19,65,4,6,50
1,7:13,5v5,CHI,28,w,16,,,ol,,,y,y,,,,,,0,34,20399,12/6/2015,CHI,WPG,,,,6,22,27,39,57,34,,11,16,28,2,32,50
1,5:01,5v5,CHI,15,w,72,88,32,oc,dr,dr,y,y,,,,,,0,34,20399,12/6/2015,CHI,WPG,,,,9,14,17,5,8,34,,15,72,88,6,32,50
1,4:56,5v5,CHI,15,t,88,32,,ol,oc,,,y,,,,,,0,34,20399,12/6/2015,CHI,WPG,,,,9,14,17,5,8,34,,15,72,88,6,32,50
1,4:53,5v5,CHI,32,o,6,,,opr,,,,,,,,,,0,34,20399,12/6/2015,CHI,WPG,,,,9,14,17,5,8,34,,15,72,88,6,32,50
1,4:35,5v5,CHI,57,w,67,65,,opr,of,,,y,,,,,,0,34,20399,12/6/2015,CHI,WPG,,,,6,22,27,39,57,34,,65,67,29,7,57,50
1,3:13,5v5,CHI,16,w,28,11,,oelrrr,oelc,,y,,,,,,,0,34,20399,12/6/2015,CHI,WPG,,,,55,85,12,5,8,34,,11,16,28,2,32,50
1,2:36,5v5,WPG,18,s,5,8,,dc,nl,,,,,,,,,0,50,20399,12/6/2015,CHI,WPG,,,,18,26,16,7,33,34,,19,81,86,2,32,50
1,2:07,5v5,CHI,7,s,19,4,,oelpr,ol,,,y,,,81,y,y,0,34,20399,12/6/2015,CHI,WPG,,,,18,26,16,7,33,34,,19,81,86,4,7,50
1,1:09,5v5,WPG,8,o,85,55,12,opr,or,or,,,,,,,,1,50,20399,12/6/2015,CHI,WPG,,,,55,85,12,8,33,34,,65,67,29,2,4,50
1,0:55,5v5,WPG,8,w,85,33,55,opc,ol,oelc,,,,,55,y,,1,50,20399,12/6/2015,CHI,WPG,,,,55,85,12,8,33,34,,65,67,29,2,4,50
1,0:19,5v4,CHI,88,w,2,19,,oc,of,,y,,,,,,,1,34,20399,12/6/2015,CHI,WPG,,,,6,17,5,8,34,0,,19,72,88,2,7,50
1,0:06,5v4,CHI,72,w,88,2,,nc,dc,,,y,,,,,,1,34,20399,12/6/2015,CHI,WPG,,,,6,17,5,8,34,0,,19,72,88,2,7,50
2,19:00,5v4,CHI,19,o,88,6,88,oelc,or,or,y,y,,,,,,1,34,20399,12/6/2015,CHI,WPG,,,,18,16,5,8,34,0,,19,65,81,88,6,50
2,18:26,5v5,CHI,81,w,4,65,,oc,opl,,,y,,,88,y,,1,34,20399,12/6/2015,CHI,WPG,,,,26,17,5,33,39,34,,19,65,81,88,4,50
2,17:36,5v5,WPG,33,o,17,9,,opr,of,,,y,,,,,,1,50,20399,12/6/2015,CHI,WPG,,,,55,85,12,7,33,34,,11,16,28,7,57,50
2,16:52,5v5,CHI,15,w,88,,,ol,,,,,,,,,,1,34,20399,12/6/2015,CHI,WPG,,,,6,22,27,39,57,34,,15,72,88,6,32,50
2,16:26,5v5,CHI,7,s,81,19,81,opr,or,nc,,y,,,,,,1,34,20399,12/6/2015,CHI,WPG,,,,55,85,12,7,33,34,,19,81,86,7,57,50
2,15:51,5v5,WPG,26,a,18,,,oelr,,,y,y,,,,,,1,50,20399,12/6/2015,CHI,WPG,,,,18,26,16,7,33,34,,19,81,86,2,4,50
2,15:46,5v5,WPG,16,w,33,,,or,,,,,,,,,,1,50,20399,12/6/2015,CHI,WPG,,,,18,26,16,7,33,34,,19,81,86,2,4,50
2,15:19,5v5,WPG,55,w,12,5,,nl,dl,,,,,,,,,1,50,20399,12/6/2015,CHI,WPG,,,,55,85,12,5,8,34,,16,28,29,2,4,50
2,15:02,5v5,WPG,85,o,55,,,oell,,,y,y,,,,,,1,50,20399,12/6/2015,CHI,WPG,,,,55,85,12,5,8,34,,16,28,29,2,4,50
2,14:26,5v5,WPG,22,o,39,,,oelc,,,y,y,,y,,,,1,50,20399,12/6/2015,CHI,WPG,,,,6,22,27,39,57,34,,28,67,29,7,57,50
2,14:15,5v5,CHI,2,s,19,,,of,,,,,,,,,,0,34,20399,12/6/2015,CHI,WPG,,,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference
2,13:23,5v5,CHI,7,w,15,57,7,oc,nc,dr,y,y,,,,,,0,34,20399,12/6/2015,CHI,WPG,,,,6,85,12,5,8,34,,65,67,29,6,32,50
2,12:27,5v5,WPG,5,w,8,17,,or,opr,,,,,,,,,0,50,20399,12/6/2015,CHI,WPG,,,,9,14,17,5,8,34,,11,16,28,6,32,50
2,11:02,5v5,WPG,39,w,55,,,of,,,,,,,,,,0,50,20399,12/6/2015,CHI,WPG,,,,55,85,12,39,57,34,,11,16,28,7,57,50
2,12:26,5v5,WPG,12,w,33,,,nr,,,,,,,,,,0,50,20399,12/6/2015,CHI,WPG,,,,9,14,17,5,8,34,,11,16,28,6,32,50
2,9:20,5v5,CHI,32,w,88,72,88,oc,ol,nr,,y,,,,,,0,34,20399,12/6/2015,CHI,WPG,,,,6,22,27,39,57,34,,15,72,88,6,32,50
2,7:30,5v5,CHI,28,o,11,,,oelc,,,y,,,,,,,0,34,20399,12/6/2015,CHI,WPG,,,,6,22,27,7,33,34,,11,16,28,4,32,50
2,6:34,5v5,WPG,14,s,33,6,,nc,dc,,,,,,,,,0,50,20399,12/6/2015,CHI,WPG,,,,18,14,16,39,57,34,,11,65,88,2,7,50
2,6:29,5v5,WPG,8,w,17,9,,opl,of,,,y,,,,,,0,50,20399,12/6/2015,CHI,WPG,,,,9,14,17,5,8,34,,65,67,29,7,57,50
2,4:43,5v5,WPG,12,w,85,,,oc,,,,y,,,,,,0,50,20399,12/6/2015,CHI,WPG,,,,55,85,12,39,57,34,,15,72,88,7,57,50
2,4:04,5v5,CHI,28,w,11,2,,nl,dl,,,,,,,,,0,34,20399,12/6/2015,CHI,WPG,,,,6,22,27,5,8,34,,11,16,28,2,32,50
2,2:39,5v5,WPG,8,w,18,,,of,,,,,,,,,,0,50,20399,12/6/2015,CHI,WPG,,,,18,26,16,5,8,34,,65,88,29,7,57,50
3,19:51,5v5,CHI,19,w,81,4,,nr,dr,,y,y,,,81,y,,0,34,20399,12/6/2015,CHI,WPG,,,,18,26,16,7,33,34,,19,81,86,2,4,50
3,19:39,5v5,CHI,86,w,2,81,,or,oc,,,y,,y,,,,0,34,20399,12/6/2015,CHI,WPG,,,,18,26,16,7,33,34,,19,81,86,2,4,50
3,19:02,5v5,WPG,85,w,55,,,nc,,,,,,,,,,1,50,20399,12/6/2015,CHI,WPG,,,,55,85,12,39,57,34,,15,72,88,7,57,50
3,18:50,5v5,WPG,12,s,39,,,dsr,,,,y,,,,,,1,50,20399,12/6/2015,CHI,WPG,,,,55,85,12,39,57,34,,11,16,28,4,32,50
3,18:02,5v5,CHI,28,t,32,16,,oc,opl,,y,y,,,,,,1,34,20399,12/6/2015,CHI,WPG,,,,6,22,27,5,8,34,,11,16,28,4,32,50
3,17:40,5v5,CHI,86,w,81,,,nc,,,y,,,,,,,1,34,20399,12/6/2015,CHI,WPG,,,,18,26,16,7,33,34,,19,81,86,2,4,50
3,16:08,5v5,CHI,72,w,15,32,,nc,dr,,,y,,,,,,1,34,20399,12/6/2015,CHI,WPG,,,,55,85,12,8,33,34,,15,72,88,2,7,50
3,15:11,5v5,WPG,57,s,6,,,nc,,,,,,,,,,1,50,20399,12/6/2015,CHI,WPG,,,,6,22,27,39,57,34,,11,16,28,32,57,50
3,13:03,5v5,CHI,32,w,88,2,,opr,dl,,,,,,,,,1,34,20399,12/6/2015,CHI,WPG,,,,9,14,17,5,8,34,,65,88,29,2,32,50
3,12:35,5v5,CHI,16,w,29,7,,nc,dc,,,,,,,,,1,34,20399,12/6/2015,CHI,WPG,,,,18,26,16,7,33,34,,11,16,28,4,7,50
3,10:55,5v4,WPG,33,o,85,33,18,opr,oc,opl,,,,,,,,1,50,20399,12/6/2015,CHI,WPG,,,,18,85,26,16,33,34,,19,81,7,57,50,0
3,10:01,5v4,WPG,57,s,27,12,55,opr,oc,oelc,,y,,,,,,1,50,20399,12/6/2015,CHI,WPG,,,,55,12,27,39,57,34,,19,81,2,4,50,0
3,9:33,5v5,WPG,22,w,57,,,dc,,,,y,,,,,,1,50,20399,12/6/2015,CHI,WPG,,,,6,22,17,8,33,34,,15,72,88,32,57,50
3,8:42,5v5,CHI,81,w,86,,,dl,,,y,,,,,,,1,34,20399,12/6/2015,CHI,WPG,,,,18,26,16,33,57,34,,19,81,86,2,4,50
3,8:37,5v5,CHI,57,s,72,15,,opl,of,,,,,,,,,1,34,20399,12/6/2015,CHI,WPG,,,,18,26,16,33,57,34,,19,81,86,2,4,50
3,7:47,5v5,CHI,65,w,11,2,,nc,dl,,,,,,,,,1,34,20399,12/6/2015,CHI,WPG,,,,6,22,27,5,8,34,,11,16,65,2,32,50
3,7:07,5v5,WPG,57,s,55,,,of,,,,,,,,,,1,50,20399,12/6/2015,CHI,WPG,,,,55,85,12,39,57,34,,15,16,88,7,57,50
3,6:18,5v5,WPG,12,w,85,55,,ol,ol,,y,,,,,,,1,50,20399,12/6/2015,CHI,WPG,,,,55,85,12,39,57,34,,15,72,88,7,57,50
3,5:52,5v5,WPG,81,b,19,81,32,or,nc,dc,y,y,,,,,,1,50,20399,12/6/2015,CHI,WPG,,,,18,26,16,8,33,34,,19,81,86,2,32,50
3,5:34,5v4,CHI,88,w,7,72,8,oc,opc,orrr,y,y,,,,,,1,34,20399,12/6/2015,CHI,WPG,,,,6,17,5,8,34,0,,15,72,88,2,7,50
3,3:58,5v4,CHI,57,o,32,19,81,oc,opr,oc,,,,,,,,1,34,20399,12/6/2015,CHI,WPG,,,,55,12,5,8,34,0,,19,65,81,32,57,50
3,3:51,5v4,CHI,19,w,65,,,oelc,,,,,,,,,,1,34,20399,12/6/2015,CHI,WPG,,,,18,55,12,5,8,34,,19,65,81,32,57,50
3,3:28,5v5,WPG,57,w,18,57,18,ol,ol,oelc,,,,,,,,1,50,20399,12/6/2015,CHI,WPG,,,,18,26,16,39,57,34,,11,16,65,2,4,50
3,3:23,5v5,WPG,18,w,57,,,ol,,,y,y,,,,,,1,50,20399,12/6/2015,CHI,WPG,,,,18,26,16,39,57,34,,11,16,65,2,4,50
3,3:07,5v5,CHI,16,w,11,,,dl,,,,y,,,,,,1,34,20399,12/6/2015,CHI,WPG,,,,18,26,16,39,57,34,,11,16,65,2,4,50
3,2:44,5v5,CHI,88,w,15,,,nsr,,,,,,,,,,1,34,20399,12/6/2015,CHI,WPG,,,,6,22,27,8,33,34,,15,72,88,4,32,50
3,2:18,5v5,WPG,22,w,33,,,nl,,,,,,,,,,1,50,20399,12/6/2015,CHI,WPG,,,,55,12,22,8,33,34,,19,81,86,7,57,50
3,1:46,5v6,CHI,72,w,88,,,dr,,,,y,,y,,,,1,,20399,12/6/2015,CHI,WPG,,,,18,12,26,16,39,57,,15,72,88,2,4,50
3,1:26,6v5,WPG,55,w,16,57,18,opr,ol,nc,,y,,,,,,2,50,20399,12/6/2015,CHI,WPG,,,,18,55,26,16,33,57,,11,16,65,2,4,50
3,0:21,6v5,CHI,72,w,15,88,,nr,dr,,,,,,,,,2,34,20399,12/6/2015,CHI,WPG,,,,18,55,26,16,33,57,,15,72,88,7,57,50
3,0:01,6v5,WPG,26,o,33,26,,opl,nc,,,,,,,,,2,50,20399,12/6/2015,CHI,WPG,,,,18,55,26,16,33,57,,15,72,88,7,57,50
1,17:58,5v5,CHI,2,s,16,,,opr,,,,,,,,,,0,30,20430,12/11/2015,CHI,WPG,50,30,,18,26,16,7,33,30,,11,16,53,2,57,50
1,17:39,5v5,WPG,27,w,6,16,,dl,dl,,,,,,,,,0,50,20430,12/11/2015,CHI,WPG,33,34,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference
1,16:02,5v4,CHI,7,s,72,2,88,opl,oc,or,,y,,,,,,0,30,20430,12/11/2015,CHI,WPG,,,,12,26,5,8,30,0,,15,72,88,2,7,50
1,15:51,5v4,CHI,15,w,72,7,,nl,nr,,y,y,,,,,,0,30,20430,12/11/2015,CHI,WPG,,,,12,26,5,8,30,0,,15,72,88,2,5,50
1,15:44,5v4,CHI,86,o,81,5,19,ol,oc,opl,,,,,,,,0,30,20430,12/11/2015,CHI,WPG,,,,55,26,33,57,30,0,,19,65,81,86,5,50
1,15:27,5v4,CHI,65,t,5,86,5,ol,or,dl,y,y,,,81,y,,0,30,20430,12/11/2015,CHI,WPG,,,,55,26,33,57,30,0,,19,65,81,86,5,50
1,15:26,5v4,CHI,19,r,,,,,,,y,y,,y,,,,0,30,20430,12/11/2015,CHI,WPG,,,,55,26,33,57,30,0,,19,65,81,86,5,50
1,13:31,5v5,CHI,57,o,72,15,72,or,or,oc,,,,,,,,1,30,20430,12/11/2015,CHI,WPG,,,,55,85,12,39,57,30,,15,72,88,2,57,50
1,13:06,5v5,WPG,39,w,12,,,oelr,,,,,,,,,,1,50,20430,12/11/2015,CHI,WPG,,,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference
1,12:07,5v4,CHI,86,o,5,19,5,oc,opc,oc,y,y,,,,,,1,30,20430,12/11/2015,CHI,WPG,,,,18,16,39,57,30,0,,19,65,81,86,5,50
1,11:14,4v5,WPG,6,w,17,,,ol,,,,y,,,,,,1,50,20430,12/11/2015,CHI,WPG,,,,6,17,8,33,30,0,,15,72,88,2,7,50
1,9:12,5v5,CHI,11,w,16,,,oc,,,y,y,,,,,,1,30,20430,12/11/2015,CHI,WPG,,,,6,85,22,33,57,30,,11,16,53,2,7,50
1,9:08,5v5,CHI,4,s,19,,,of,,,,y,,,,,,1,30,20430,12/11/2015,CHI,WPG,,,,18,26,16,7,33,30,,19,81,86,4,7,50
1,8:47,5v5,CHI,7,w,86,4,,nc,dl,,,y,,,,,,1,30,20430,12/11/2015,CHI,WPG,,,,18,26,16,7,33,30,,19,81,86,4,7,50
1,8:26,5v5,CHI,19,w,86,,,oc,,,y,y,,,,,,1,30,20430,12/11/2015,CHI,WPG,,,,18,26,16,7,33,30,,19,81,86,4,57,50
1,7:20,5v5,WPG,57,s,12,55,,opr,nr,,,,,,,,,1,50,20430,12/11/2015,CHI,WPG,,,,55,85,12,39,57,30,,15,72,88,6,57,50
1,6:57,5v5,WPG,39,s,27,85,,opc,dsc,,,,,,,,,1,50,20430,12/11/2015,CHI,WPG,,,,55,22,27,39,57,30,,15,72,88,2,57,50
1,6:04,5v5,CHI,11,s,4,,,dl,,,,y,,,,,,1,30,20430,12/11/2015,CHI,WPG,,,,6,26,16,7,33,30,,11,16,53,4,7,50
1,5:44,5v5,CHI,86,w,19,,,oelc,,,y,y,,,,,,1,30,20430,12/11/2015,CHI,WPG,,,,18,26,16,7,33,30,,19,81,86,4,7,50
1,5:08,5v5,WPG,57,w,12,85,55,or,nl,dc,,,,,,,,1,50,20430,12/11/2015,CHI,WPG,,,,55,85,12,39,57,30,,15,72,88,2,57,50
1,4:31,5v5,CHI,29,s,7,2,,nsr,dc,,,y,,,,,,1,30,20430,12/11/2015,CHI,WPG,,,,18,26,16,8,33,30,,65,70,29,4,7,50
1,4:17,5v5,WPG,16,o,26,,,ol,,,y,y,,,18,y,,1,50,20430,12/11/2015,CHI,WPG,,,,18,26,16,8,33,30,,65,70,29,4,7,50
1,3:17,5v4,WPG,16,o,33,18,33,oc,opl,oc,,,,,,,,1,50,20430,12/11/2015,CHI,WPG,,,,18,85,26,16,33,30,,19,81,4,57,50,0
1,1:12,5v4,CHI,7,s,88,15,,opr,or,,,,,,,,,1,30,20430,12/11/2015,CHI,WPG,,,,6,17,39,57,30,0,,15,72,88,2,7,50
1,0:39,5v5,WPG,12,w,85,55,8,oc,nl,dl,,,,,,,,1,50,20430,12/11/2015,CHI,WPG,,,,55,85,12,5,8,30,,11,16,53,4,57,50
1,0:19,5v5,WPG,12,w,55,12,5,opl,ol,dl,,,,,,,,1,50,20430,12/11/2015,CHI,WPG,,,,55,85,12,8,57,30,,11,16,53,4,57,50
2,19:03,5v4,WPG,26,w,18,85,18,ol,opl,nc,,,,,,,,1,50,20430,12/11/2015,CHI,WPG,,,,18,85,26,16,33,30,,11,16,2,4,50,0
2,12:52,5v4,WPG,33,w,18,26,18,opl,oelc,ol,,,,,,,,1,50,20430,12/11/2015,CHI,WPG,,,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference
