Name,Pos,PosSimple,Gm,G,A1,A2,P,iHSC,iSC,iCF,C+ -,F+ -,G+ -,CF,FF,ZSO,ZSD,AB,FO_W,FO_L,HIT,HIT-,PN,PN-,TOI,Salary,Age,CF60,CA60,CP60,FF60,FA60,FP60,SF60,SA60,BK,MS,SH,SF,GF,SA,GA,FA,CA,SCF,SCA,ShotAttempts,Goals,Assists,ScoringChances,ShotsOnGoal,OddmanRushes,DirectGoals,ReboundsGeneratedFromAttempts,AttemptsWith0Assists,AttemptsWith1Assists,AttemptsWith2Assists,AttemptsWith3Assists,DirectGoalsWith0Assists,DirectGoalsWith1Assists,DirectGoalsWith2Assists,DirectGoalsWith3Assists,ReboundAttempts,ReboundsOnGoal,ReboundGoalsScored,A1OnAttempts,A1OnScoringChances,A1OnShotsOnGoal,A1OnOddmanRushes,A1OnDirectGoals,A2OnAttempts,A2OnScoringChances,A2OnShotsOnGoal,A2OnOddmanRushes,A2OnDirectGoals,A3OnAttempts,A3OnScoringChances,A3OnShotsOnGoal,A3OnOddmanRushes,A3OnDirectGoals
Aaron Ekblad,D,D,16,3,0,2,5,5,14,53,45,38,6,232,183,92,59,11,0,0,12,21,2,1,253.8,0.925,19,54.8463357,44.20803783,99.05437352,43.26241135,34.27895981,77.54137116,33.56973995,25.53191489,9,12,29,142,14,108,8,145,187,120,82,47,2,0,5,22,1,2,2,0,21,20,6,0,0,2,0,0,0,0,10,0,5,0,0,9,1,5,1,0,3,2,1,0,0
Adam Cracknell,C,F,13,2,0,0,2,8,20,31,-29,-23,-2,109,80,43,56,7,47,74,27,10,1,5,149,0.575,30,43.89261745,55.5704698,99.46308725,32.2147651,41.47651007,73.69127517,24.16107383,29.79865772,7,5,17,60,2,74,4,103,138,51,74,18,2,0,12,11,1,2,1,0,4,10,4,0,1,1,0,2,2,0,26,4,12,2,0,16,6,8,1,0,4,2,1,0,0
Adam Henrique,CL,F,48,9,1,9,19,38,66,104,-70,-44,8,452,339,217,171,28,259,319,38,46,5,2,637,4,25,42.57456829,49.16797488,91.74254317,31.93092622,36.07535322,68.00627943,23.73626374,25.90266876,22,17,56,252,29,275,21,383,522,226,233,76,8,6,31,42,4,6,5,1,36,24,15,1,1,1,3,8,4,2,100,16,45,2,0,43,13,27,1,6,21,5,10,2,2
Adam Larsson,D,D,50,1,1,4,6,2,25,94,-95,-42,2,589,457,187,387,63,0,0,85,114,7,0,892,2.5,22,39.61883408,46.00896861,85.62780269,30.73991031,33.56502242,64.30493274,22.39910314,24.75336323,31,26,36,333,23,368,21,499,684,289,308,94,1,3,2,32,0,1,5,0,45,38,11,0,0,1,0,0,0,0,56,14,30,1,1,46,14,24,2,2,11,4,8,0,0
Adam Lowry,LC,F,12,0,2,0,2,5,9,17,-13,8,-1,114,98,40,37,9,36,48,40,14,3,2,139.4,0.925,22,49.06743185,54.66284075,103.7302726,42.18077475,38.7374462,80.91822095,32.28120516,28.40746055,4,3,10,75,3,66,4,90,127,60,66,6,0,2,3,4,0,0,0,0,3,2,1,0,0,0,0,0,0,0,19,8,11,1,2,9,5,5,0,0,4,1,2,0,0
Adam McQuaid,D,D,13,0,0,0,0,0,5,19,9,4,-3,175,125,82,68,21,0,0,33,15,3,3,198.6,3,28,52.87009063,50.1510574,103.021148,37.76435045,36.55589124,74.32024169,29.00302115,27.79456193,8,3,8,96,3,92,6,121,166,87,91,14,0,0,0,5,0,0,0,0,8,4,2,0,0,0,0,1,1,0,19,4,10,0,0,8,4,4,0,0,1,1,0,0,0
Adam Pardy,D,D,2,0,0,0,0,0,0,4,-4,-5,-2,19,16,5,10,0,0,0,1,1,0,0,26,1,31,43.84615385,53.07692308,96.92307692,36.92307692,48.46153846,85.38461538,27.69230769,41.53846154,0,1,3,12,0,18,2,21,23,8,14,4,0,0,0,3,0,0,0,0,3,1,0,0,0,0,0,0,0,0,5,3,4,0,0,0,0,0,0,0,1,0,1,0,0
Alec Martinez,D,D,9,1,1,0,2,1,6,25,42,39,5,173,133,52,39,14,0,0,12,15,2,2,147.8,3.9,28,70.2300406,53.17997294,123.4100135,53.99188092,38.15967524,92.15155616,36.12990528,28.01082544,7,10,7,89,8,69,3,94,131,88,62,22,1,1,0,5,0,1,0,0,10,4,8,0,1,0,0,0,0,0,16,4,8,0,1,10,2,3,0,0,10,2,4,1,0
Aleksander Barkov,C,F,12,1,3,2,6,13,20,25,-3,5,7,132,108,37,49,4,68,73,4,12,0,2,158.8,0.925,20,49.87405542,51.00755668,100.8816121,40.80604534,38.91687657,79.72292191,31.36020151,29.09319899,2,4,18,83,9,77,2,103,135,73,47,19,0,4,9,8,3,0,0,0,8,6,5,0,0,0,0,2,1,0,36,14,21,0,3,12,3,7,1,1,5,3,4,0,0
Ales Hemsky,R,F,24,3,3,2,8,20,45,78,58,39,1,282,201,68,81,10,0,1,9,22,2,3,260.4,4,32,64.97695853,51.61290323,116.5898618,46.31336406,37.32718894,83.640553,32.25806452,26.95852535,21,9,45,140,10,117,9,162,224,145,112,56,3,5,18,26,1,2,3,0,30,20,6,0,2,0,0,5,4,1,56,23,16,2,3,30,15,7,1,2,4,2,3,0,0
Alex Biega,D,D,6,0,0,2,2,2,2,6,-4,-7,5,76,59,32,24,4,0,0,6,9,0,0,90.6,0.6,27,50.33112583,52.98013245,103.3112583,39.07284768,43.70860927,82.78145695,28.47682119,28.47682119,1,1,4,43,5,43,0,66,80,38,42,7,0,1,2,4,0,0,0,0,4,3,0,0,0,0,0,0,0,0,4,2,0,0,0,5,2,3,0,1,1,0,0,0,0
Alex Chiasson,R,F,12,0,0,0,0,11,16,28,-17,-3,0,104,75,23,46,3,0,0,15,14,2,1,124.5,1.2,24,50.12048193,58.31325301,108.4337349,36.14457831,37.59036145,73.73493976,25.06024096,24.57831325,2,5,21,52,1,51,1,78,121,50,60,16,0,0,9,13,0,0,0,0,11,4,1,0,0,0,0,3,1,0,7,1,2,0,0,8,2,4,0,0,3,0,0,0,0
Alex Galchenyuk,LC,F,15,4,4,1,9,10,25,36,24,18,6,171,128,75,37,2,76,61,8,16,1,3,177.3,2.5,21,57.8680203,49.74619289,107.6142132,43.31641286,37.2250423,80.54145516,29.10321489,28.76480541,8,7,17,86,10,85,4,110,147,75,61,25,4,3,11,15,1,3,2,0,16,4,5,0,1,1,1,2,2,1,37,7,15,0,3,14,6,6,0,0,5,4,3,0,2
Alex Goligoski,D,D,27,2,2,5,9,3,21,88,82,27,10,553,386,147,153,32,0,0,33,21,7,2,491.6,4.8,30,67.49389748,57.48576078,124.9796583,47.11147274,43.81611066,90.9275834,32.95362083,31.73311635,40,15,31,270,28,260,18,359,471,297,228,68,2,4,6,19,1,2,2,0,30,31,7,0,1,0,1,2,0,0,77,21,30,3,2,38,11,14,2,2,11,7,3,0,2
Alex Killorn,LR,F,32,2,6,2,10,25,59,90,7,-8,0,384,286,122,138,5,2,6,24,39,6,5,430.8,2.7,26,53.48189415,52.50696379,105.9888579,39.83286908,40.94707521,80.77994429,27.43732591,27.99442897,21,22,45,197,14,201,14,294,377,200,190,74,2,6,42,35,1,2,0,0,36,25,13,0,1,1,0,4,3,0,53,20,29,0,6,25,3,14,0,0,15,4,5,0,0
Alex Ovechkin,LR,F,28,9,0,6,15,36,100,165,57,46,10,443,326,133,147,8,0,0,79,18,5,7,433.9,10,29,61.25835446,53.376354,114.6347085,45.07951141,38.71859876,83.79811016,31.11315971,26.13505416,43,39,74,225,22,189,12,280,386,241,188,111,7,10,44,55,2,5,4,0,52,34,25,0,0,3,2,3,2,2,55,20,22,1,1,38,21,22,3,9,13,5,7,0,1
Alex Petrovic,D,D,12,0,0,1,1,0,2,26,-4,7,-3,140,110,51,54,15,0,0,30,15,2,0,187.1,0.9,23,44.89577766,46.17851416,91.07429182,35.27525387,33.03046499,68.30571887,24.69267771,26.29609834,8,7,11,77,6,82,9,103,144,62,57,23,0,0,0,8,0,0,1,0,11,9,3,0,0,0,0,0,0,0,14,0,7,0,0,5,1,3,0,0,2,1,0,0,0
Alex Pietrangelo,D,D,13,0,3,1,4,1,15,38,15,7,7,227,166,78,93,24,0,0,7,22,0,0,252.3,6.5,25,53.98335315,50.41617122,104.3995244,39.47681332,37.81212842,77.28894174,30.43995244,29.48870392,10,8,20,128,11,124,4,159,212,100,88,29,0,2,6,15,0,0,2,0,10,11,8,0,0,0,0,2,1,0,33,11,11,2,2,22,9,10,2,0,7,3,5,1,0
Alex Steen,LC,F,14,5,1,1,7,14,25,43,-39,-35,5,178,128,69,81,7,12,18,13,15,3,3,216.6,5.8,31,49.30747922,60.11080332,109.4182825,35.45706371,45.15235457,80.60941828,27.42382271,35.45706371,8,3,27,99,12,128,7,163,217,85,85,33,5,1,15,23,1,5,0,0,13,10,10,0,0,2,3,2,2,0,38,20,14,1,0,22,10,14,0,1,6,2,3,0,0
Alex Tanguay,LR,F,13,1,3,0,4,8,13,20,-12,-3,-1,155,118,44,50,5,0,1,0,5,3,2,165.6,3.5,35,56.15942029,60.50724638,116.6666667,42.75362319,43.84057971,86.5942029,31.52173913,32.97101449,5,5,9,87,7,91,8,121,167,71,81,18,1,3,10,8,2,1,0,0,6,9,3,0,0,0,1,1,1,0,30,10,16,1,3,11,2,3,0,0,4,2,1,0,0
Alexander Burmistrov,CR,F,14,1,0,2,3,7,17,21,-44,-19,3,134,109,53,50,5,19,40,17,11,4,6,176.7,1.5,23,45.5008489,60.44142615,105.942275,37.01188455,43.46349745,80.475382,29.54159593,30.89983022,2,5,13,87,8,91,5,128,178,73,94,20,1,1,13,14,1,1,3,0,10,4,6,0,0,0,1,2,0,0,15,2,6,0,0,14,6,10,2,1,3,1,1,0,0
Alexander Edler,D,D,15,3,0,3,6,0,9,40,-15,20,5,207,163,65,94,33,0,0,17,19,6,2,255.7,6,29,48.57254595,52.09229566,100.6648416,38.24794681,33.5549472,71.80289402,28.62729761,23.93429801,12,11,14,122,16,102,11,143,222,103,127,32,3,2,3,16,0,3,0,0,12,15,5,0,1,2,0,0,0,0,25,8,12,1,0,23,12,14,4,2,8,4,5,0,0
Alexander Khokhlachev,CL,F,2,0,0,0,0,1,4,9,21,8,-1,38,23,12,10,1,0,1,1,3,0,1,28.1,0.775,22,81.13879004,36.29893238,117.4377224,49.11032028,32.02846975,81.13879004,29.89323843,25.6227758,4,2,3,14,0,12,1,15,17,15,9,4,0,0,0,2,0,0,0,0,1,1,2,0,0,0,0,0,0,0,2,0,1,0,0,3,0,1,0,0,1,0,1,0,0
Alexander Semin,R,F,7,1,1,1,3,2,10,24,19,22,4,85,67,29,16,3,0,0,2,11,1,2,77.2,1.1,31,66.06217617,51.29533679,117.357513,52.07253886,34.97409326,87.04663212,33.41968912,26.42487047,6,8,9,43,4,34,0,45,66,36,31,21,1,2,3,6,0,1,1,0,8,6,7,0,0,1,0,0,0,0,16,6,9,0,1,7,1,2,0,1,0,0,0,0,0
Alexander Wennberg,C,F,9,0,1,0,1,6,10,14,4,-3,-2,79,59,24,28,3,36,36,2,8,0,4,86.7,0.925,20,54.67128028,51.90311419,106.5743945,40.83044983,42.90657439,83.73702422,33.21799308,32.52595156,1,2,11,48,2,47,4,62,75,45,29,8,0,0,1,5,0,0,0,0,5,2,1,0,0,0,0,1,1,0,15,5,5,0,0,7,1,4,0,0,3,0,1,0,0
Alexandre Burrows,RL,F,16,1,1,2,4,8,21,33,-41,-22,0,135,102,55,49,5,0,0,14,13,2,1,181.7,4,34,44.57897633,58.11777655,102.6967529,33.68189323,40.9466153,74.62850853,23.44523941,28.06824436,4,10,18,71,4,85,4,124,176,61,90,25,1,2,7,16,2,1,1,0,16,8,1,0,1,0,0,2,1,0,19,5,11,0,1,10,5,6,0,1,4,3,2,1,0
Alexei Emelin,D,D,12,0,0,1,1,0,5,20,51,32,-1,198,144,74,87,10,0,0,44,26,4,2,204.5,3.9,29,58.09290954,43.12958435,101.2224939,42.24938875,32.8606357,75.11002445,30.2200489,26.6992665,10,3,7,103,4,91,5,112,147,89,59,14,0,0,1,4,0,0,0,0,5,4,5,0,0,0,0,0,0,0,16,5,6,0,0,13,3,4,0,0,1,0,0,0,0
Alexey Marchenko,D,D,12,0,1,1,2,1,3,19,24,7,-1,156,116,51,45,9,0,0,7,14,1,1,172.3,0.7,23,54.32385374,45.96633778,100.2901915,40.39466048,37.95705165,78.35171213,28.90307603,29.25130586,6,7,6,83,5,84,6,109,132,72,65,16,0,2,2,4,0,0,1,0,7,6,3,0,0,0,0,1,0,0,15,3,8,0,1,12,3,7,0,1,3,0,3,0,0
Anders Lee,LC,F,6,0,1,0,1,9,12,17,6,13,1,67,53,34,18,3,0,0,16,10,1,0,73,2,25,55.06849315,50.1369863,105.2054795,43.56164384,32.87671233,76.43835616,34.52054795,24.65753425,1,3,13,42,3,30,2,40,61,33,24,10,0,0,3,8,0,0,1,0,7,2,1,0,0,0,0,0,0,0,6,1,3,0,0,5,2,4,0,0,1,0,0,0,0
Andre Burakovsky,CL,F,26,3,1,2,6,15,31,67,-4,-15,-1,264,183,78,68,10,7,12,13,37,3,3,298.8,0.925,20,53.01204819,53.81526104,106.8273092,36.74698795,39.75903614,76.5060241,23.29317269,26.5060241,20,16,28,116,9,132,10,198,268,125,142,48,3,3,15,23,0,3,3,0,19,16,13,0,1,2,0,0,0,0,34,10,10,0,1,20,8,8,0,2,10,2,1,0,0
Andreas Athanasiou,L,F,4,1,0,0,1,4,5,9,9,8,-1,26,21,8,2,0,5,9,0,5,0,1,31.8,0.667,21,49.05660377,32.0754717,81.13207547,39.62264151,24.52830189,64.1509434,28.30188679,20.75471698,0,2,6,15,1,11,2,13,17,12,7,5,0,0,1,3,0,0,0,0,3,2,0,0,0,0,0,1,1,0,3,0,2,0,0,3,1,1,0,0,0,0,0,0,0
Andreas Martinsen,F,F,7,1,0,0,1,1,5,8,-11,-6,-1,56,36,14,22,6,0,0,25,9,0,0,77.1,0.743,25,43.57976654,52.14007782,95.71984436,28.0155642,32.6848249,60.70038911,18.6770428,21.78988327,0,5,2,24,2,28,3,42,67,28,30,7,1,0,3,3,0,1,0,0,4,2,1,0,0,0,1,0,0,0,11,1,2,0,0,2,1,0,0,0,1,1,1,0,0
Andrei Markov,D,D,15,0,2,3,5,0,6,28,37,34,9,259,198,85,80,24,0,0,11,17,4,0,256.4,6,36,60.60842434,51.950078,112.5585023,46.33385335,38.3775351,84.71138846,35.33541342,28.54914197,9,7,12,151,13,122,4,164,222,110,98,26,0,2,4,8,0,0,1,1,8,12,5,0,0,0,0,1,1,0,35,14,17,0,1,25,10,18,0,1,13,6,8,0,1
Andrej Nestrasil,C,F,12,0,0,0,0,6,13,32,21,18,-5,134,100,36,37,3,0,5,2,13,0,2,150.3,0.875,24,53.49301397,45.10978044,98.60279441,39.92015968,32.73453094,72.65469062,25.1497006,23.55289421,7,6,19,63,3,59,8,82,113,51,68,20,0,0,6,12,0,0,1,0,5,10,5,0,0,0,0,2,1,0,22,7,8,0,0,6,1,2,0,0,3,1,2,0,0
Andrej Sekera,D,D,19,0,1,0,1,2,11,59,25,23,-2,314,225,88,104,31,0,0,11,31,1,2,322.4,6.5,29,58.43672457,53.78411911,112.2208437,41.87344913,37.59305211,79.46650124,30.33498759,28.66004963,27,11,21,163,12,154,14,202,289,151,135,39,0,1,1,11,0,0,2,0,21,11,7,0,0,0,0,0,0,0,27,10,14,0,1,16,4,10,0,0,9,2,8,0,1
Andrej Sustr,D,D,31,2,1,4,7,5,15,49,5,-2,-1,400,302,92,134,20,0,0,8,49,3,2,455.3,1.3,24,52.71249725,52.05359104,104.7660883,39.79793543,40.06149791,79.85943334,25.30199868,28.59652976,21,14,12,192,17,217,18,304,395,210,209,40,1,3,7,11,0,1,1,0,19,12,9,0,1,0,0,0,0,0,36,9,17,0,1,27,10,12,0,2,9,4,2,0,1
Andrew Bodnarchuk,D,D,6,0,0,0,0,0,3,9,-30,-32,-4,78,56,22,28,5,0,0,4,8,1,0,89.6,0.65,27,52.23214286,72.32142857,124.5535714,37.5,58.92857143,96.42857143,24.10714286,41.51785714,6,2,1,36,1,62,5,88,108,42,54,7,0,0,2,1,0,0,2,0,2,2,3,0,0,0,0,0,0,0,4,1,1,0,0,2,0,1,0,0,2,2,1,0,1
Andrew Cogliano,C,F,9,2,0,0,2,6,11,25,6,12,-1,109,90,31,42,1,1,0,21,10,1,1,117.6,2.9,28,55.6122449,52.55102041,108.1632653,45.91836735,39.79591837,85.71428571,33.16326531,30.10204082,5,6,12,65,2,59,3,78,103,44,54,19,1,0,7,10,1,1,1,0,7,9,3,0,0,1,0,1,1,0,18,7,7,0,0,9,5,6,0,0,3,2,2,0,0
Andrew Copp,C,F,13,0,1,0,1,4,6,12,-13,-15,1,64,46,28,18,1,35,29,15,10,0,2,88.7,0.925,21,43.29199549,52.08568207,95.37767756,31.11612176,41.2626832,72.37880496,20.29312289,27.73393461,3,3,6,30,1,41,0,61,77,21,37,7,0,0,2,3,0,0,0,0,2,1,4,0,0,0,0,0,0,0,7,0,3,0,0,7,1,4,0,0,2,1,1,0,0
Andrew Desjardins,C,F,44,3,1,1,5,24,53,97,-25,-9,-8,414,303,79,258,20,15,9,56,74,2,4,490,0.8,29,50.69387755,53.75510204,104.4489796,37.10204082,38.20408163,75.30612245,28.53061224,27.91836735,28,11,55,233,7,228,15,312,439,181,200,62,3,4,26,32,0,2,5,0,28,19,15,0,0,0,2,6,5,1,67,19,31,1,2,33,10,16,0,2,15,9,6,0,0
Andrew Ference,D,D,3,0,0,0,0,0,3,8,-7,-1,0,33,26,12,10,3,0,0,7,3,3,0,41.5,3.75,36,47.71084337,57.8313253,105.5421687,37.59036145,39.03614458,76.62650602,30.36144578,30.36144578,3,2,3,21,1,21,1,27,40,18,20,10,0,0,0,3,0,0,0,0,5,2,3,0,0,0,0,0,0,0,5,2,3,0,0,1,0,0,0,0,1,1,1,1,1
Andrew Ladd,L,F,14,1,5,0,6,11,26,47,7,3,0,177,135,55,59,3,1,0,26,13,1,2,189.7,4.5,29,55.98313126,53.76910912,109.7522404,42.69899842,41.75013179,84.44913021,30.99630996,30.36373221,12,9,25,98,7,96,7,132,170,88,87,26,0,4,13,17,0,0,1,0,11,10,5,0,0,0,0,1,1,0,34,9,18,1,4,11,7,8,0,0,1,1,0,0,0
Andrew MacDonald,D,D,1,0,0,0,0,0,1,3,0,-1,2,9,7,2,4,0,0,0,1,0,0,0,15.6,4.5,29,34.61538462,34.61538462,69.23076923,26.92307692,30.76923077,57.69230769,23.07692308,19.23076923,1,1,1,6,2,5,0,8,9,7,2,3,0,0,1,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andrew Miller,RC,F,2,0,0,0,0,1,1,1,4,6,0,9,8,6,3,0,1,1,1,0,0,0,14.9,0.63,26,36.24161074,20.13422819,56.37583893,32.2147651,8.053691275,40.26845638,20.13422819,4.026845638,0,0,1,5,0,1,0,2,5,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,3,3,0,0,0,0,0,0,0,1,1,1,0,0
Andrew Shaw,CR,F,49,2,5,6,13,42,71,131,-11,-29,5,570,408,175,203,16,70,87,103,124,8,12,613.1,2.5,24,55.78209101,56.85858751,112.6406785,39.92823357,42.76626978,82.69450334,30.53335508,30.14190181,38,25,66,312,20,308,15,437,581,280,257,81,2,7,33,38,5,1,6,0,33,27,21,0,1,0,0,7,6,1,87,36,54,0,4,50,15,28,0,3,22,8,11,0,1
Andy Andreoff,CL,F,9,1,0,0,1,6,9,10,-11,-5,0,52,38,27,14,1,17,31,8,7,0,0,68.7,0.575,24,45.41484716,55.02183406,100.4366812,33.18777293,37.55458515,70.74235808,22.70742358,32.31441048,2,1,6,26,2,37,2,43,63,28,33,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,9,1,7,0,0,3,0,1,0,0,1,0,0,0,0
Andy Greene,D,D,50,1,3,0,4,1,16,69,-147,-73,-2,574,440,191,393,58,0,0,35,74,7,5,893.6,5,32,38.54073411,48.41092211,86.95165622,29.54341987,34.44494181,63.98836168,21.62041182,24.97761862,19,18,31,322,17,372,19,513,721,281,337,63,1,3,7,17,0,1,0,0,30,21,12,0,0,1,0,2,1,0,79,19,33,1,2,38,9,18,1,1,16,4,8,0,0
Anthony Bitetto,D,D,4,0,0,0,0,0,1,3,-28,-18,-2,30,20,11,9,8,0,0,3,4,0,1,46.3,0.665,25,38.87688985,75.16198704,114.0388769,25.91792657,49.24406048,75.16198704,18.1425486,36.28509719,0,1,2,14,0,28,2,38,58,14,25,3,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,4,3,2,1,0,2,2,1,0,0,0,0,0,0,0
Anthony Duclair,RL,F,8,1,1,0,2,5,8,11,7,8,-1,76,63,32,26,3,0,0,2,8,2,2,83.3,0.743,20,54.74189676,49.69987995,104.4417767,45.37815126,39.61584634,84.9939976,33.1332533,29.53181273,1,3,6,46,2,41,3,55,69,40,30,8,1,1,4,3,1,1,0,0,6,1,1,0,1,0,0,1,1,0,20,10,16,1,1,2,1,1,0,0,0,0,0,0,0
Anthony Peluso,R,F,7,0,0,0,0,2,5,8,-10,-5,0,32,26,13,14,2,0,0,23,7,2,0,47.3,0.65,26,40.59196617,53.2769556,93.86892178,32.98097252,39.32346723,72.30443975,21.56448203,29.17547569,1,3,4,17,0,23,0,31,42,16,21,4,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,1,1,0,1,0,1,0,0,2,0,1,0,0,0,0,0,0,0
Antoine Roussel,L,F,26,2,3,3,8,14,30,50,1,2,3,315,233,96,125,14,4,5,38,46,11,7,316.3,1.8,25,59.75339867,59.56370534,119.317104,44.19854568,43.81915903,88.01770471,31.2993993,30.16123933,10,11,27,165,12,159,9,231,314,155,136,51,2,5,16,21,3,0,2,0,32,16,3,0,0,0,0,6,4,2,68,20,28,0,3,22,8,10,0,2,5,3,1,0,1
Antoine Vermette,C,F,6,0,0,0,0,0,1,8,-22,-25,-3,50,33,21,23,2,34,41,7,5,2,3,76.5,3.75,33,39.21568627,56.47058824,95.68627451,25.88235294,45.49019608,71.37254902,20.39215686,35.29411765,4,0,4,26,1,45,4,58,72,20,38,6,0,0,2,4,0,0,0,0,2,3,1,0,0,0,0,1,0,0,9,3,3,0,0,4,3,2,0,0,3,1,2,0,1
Anton Lander,C,F,19,0,0,0,0,2,11,26,-30,-14,-2,154,114,41,72,5,88,76,20,10,1,7,189.5,0.925,24,48.75989446,58.2585752,107.0184697,36.09498681,40.52770449,76.62269129,26.27968338,28.81266491,6,3,17,83,4,91,6,128,184,80,86,13,0,0,4,8,1,0,0,0,8,3,2,0,0,0,0,2,1,0,40,11,14,1,0,8,3,3,0,0,5,2,2,0,0
Anton Slepyshev,L,F,7,0,1,0,1,3,7,13,-7,-14,-1,47,32,17,12,1,0,0,5,6,1,0,56.8,0.925,21,49.64788732,57.04225352,106.6901408,33.8028169,48.5915493,82.3943662,24.29577465,31.69014085,4,4,5,23,1,30,2,46,54,22,25,9,1,0,4,4,1,1,0,0,5,2,2,0,1,0,0,0,0,0,8,2,2,0,0,1,0,0,0,0,1,1,1,0,0
Anton Stralman,D,D,33,3,1,6,10,6,25,81,77,72,7,505,378,211,165,28,0,0,36,43,4,0,540.2,4.5,29,56.09033691,47.53794891,103.6282858,41.9844502,33.98741207,75.97186227,30.32210292,22.65827471,27,18,33,273,21,204,14,306,428,252,190,65,2,5,10,22,0,2,3,0,31,16,18,0,1,0,1,1,1,0,47,13,27,0,1,40,10,19,0,4,13,4,4,0,0
Anze Kopitar,C,F,9,2,2,0,4,6,10,19,41,35,3,150,118,40,41,5,68,54,8,9,0,3,133.4,7.7,28,67.46626687,49.02548726,116.4917541,53.07346327,37.33133433,90.4047976,34.63268366,25.1874063,6,3,8,77,6,56,3,83,109,64,58,14,1,2,6,8,0,1,0,0,5,5,4,0,0,1,0,0,0,0,43,14,22,0,2,17,6,9,1,0,7,2,4,0,1
Artem Anisimov,C,F,49,7,4,5,16,37,67,104,16,-15,6,644,447,249,119,19,262,300,27,62,4,4,694.2,4,27,55.66119274,54.27830596,109.9394987,38.63439931,39.93085566,78.56525497,28.95419188,30.25064823,28,18,51,335,34,350,28,462,628,308,293,79,7,3,51,40,4,5,5,0,33,18,28,0,3,1,1,12,10,2,82,35,41,1,2,57,21,27,1,1,31,11,10,0,1
Artemi Panarin,F,F,49,13,7,8,28,28,92,170,94,46,5,717,499,261,89,7,0,0,32,76,7,10,728,0.7,23,59.09340659,51.34615385,110.4395604,41.12637363,37.33516484,78.46153846,30.16483516,27.03296703,49,23,85,366,34,328,29,453,623,325,305,129,11,10,60,69,7,11,5,0,54,50,25,0,7,3,1,2,0,0,164,56,78,7,5,89,37,39,1,5,30,11,17,0,1
Austin Watson,CR,F,7,0,0,0,0,4,7,12,10,7,-2,53,34,7,38,6,1,0,6,5,0,0,64.4,0.575,23,49.37888199,40.0621118,89.44099379,31.67701863,25.1552795,56.83229814,26.08695652,22.36024845,2,2,8,28,0,24,2,27,43,24,13,7,0,0,3,5,0,0,0,0,3,2,2,0,0,0,0,0,0,0,7,0,2,0,0,1,0,0,0,0,0,0,0,0,0
Barclay Goodrow,LR,F,10,0,0,1,1,3,5,11,-23,-16,-2,72,54,27,26,2,4,0,6,12,3,1,99.8,0.635,22,43.28657315,57.11422846,100.4008016,32.46492986,42.08416834,74.5490982,24.6492986,28.25651303,0,4,7,41,2,47,4,70,95,26,44,8,0,0,2,5,0,0,1,0,5,1,2,0,0,0,0,1,1,0,13,1,5,1,0,9,1,7,0,0,3,0,1,0,0
Barret Jackman,D,D,11,0,0,0,0,2,4,16,27,19,2,130,95,49,33,8,0,0,16,11,3,1,142.1,2,34,54.89092189,43.49049965,98.38142153,40.11259676,32.09007741,72.20267417,29.13441239,22.80084448,3,5,8,69,4,54,2,76,103,53,55,12,0,0,1,5,0,0,0,1,7,2,2,0,0,0,0,0,0,0,15,3,7,0,0,3,1,1,0,0,3,2,1,0,0
Beau Bennett,LR,F,6,2,0,0,2,5,10,16,-2,1,-3,58,42,14,24,1,0,0,9,5,1,0,57.1,0.8,23,60.94570928,63.04728546,123.9929947,44.13309982,43.08231173,87.21541156,33.62521891,31.52364273,2,2,10,32,2,30,5,41,60,31,34,11,1,0,4,10,0,0,1,0,6,3,2,0,0,0,0,1,1,1,13,4,7,0,0,5,3,2,0,0,2,1,1,0,0
Ben Chiarot,D,D,12,0,0,2,2,0,4,25,13,17,-4,154,120,51,58,12,0,0,25,34,0,0,171.9,0.85,24,53.7521815,49.21465969,102.9668412,41.88481675,35.95113438,77.83595113,29.31937173,28.97033159,6,7,12,84,3,83,7,103,141,65,67,18,0,1,2,7,0,0,0,0,11,5,2,0,0,0,0,0,0,0,13,3,7,0,0,13,10,8,0,1,5,4,4,0,0
Ben Hutton,D,D,12,0,3,0,3,1,7,18,-34,-16,4,146,117,51,53,18,0,0,9,17,2,3,188.3,0.868,22,46.52150823,57.35528412,103.8767924,37.28093468,42.37918216,79.66011683,28.35900159,28.35900159,4,1,13,89,8,89,4,133,180,85,100,15,0,3,2,9,0,0,1,0,12,1,2,0,0,0,0,0,0,0,13,7,9,1,3,9,5,5,1,0,7,4,4,0,0
Ben Lovejoy,D,D,10,0,0,0,0,0,5,22,-4,-13,-3,128,94,37,54,8,0,0,21,15,0,1,152.8,1.2,31,50.2617801,51.83246073,102.0942408,36.91099476,42.01570681,78.92670157,25.91623037,30.62827225,8,4,10,66,2,78,5,107,132,58,74,19,0,0,0,8,0,0,0,0,7,7,5,0,0,0,0,0,0,0,6,2,6,0,0,10,2,4,0,0,2,1,2,0,0
