Name,Pos,PosSimple,Gm,G,A1,A2,P,iHSC,iSC,iCF,C+ -,F+ -,G+ -,CF,FF,ZSO,ZSD,AB,FO_W,FO_L,HIT,HIT-,PN,PN-,TOI,Salary,Age,CF60,CA60,CP60,FF60,FA60,FP60,SF60,SA60,BK,MS,SH,SF,GF,SA,GA,FA,CA,SCF,SCA,ShotAttempts,Goals,Assists,ScoringChances,ShotsOnGoal,OddmanRushes,DirectGoals,ReboundsGeneratedFromAttempts,AttemptsWith0Assists,AttemptsWith1Assists,AttemptsWith2Assists,AttemptsWith3Assists,DirectGoalsWith0Assists,DirectGoalsWith1Assists,DirectGoalsWith2Assists,DirectGoalsWith3Assists,ReboundAttempts,ReboundsOnGoal,ReboundGoalsScored,A1OnAttempts,A1OnScoringChances,A1OnShotsOnGoal,A1OnOddmanRushes,A1OnDirectGoals,A2OnAttempts,A2OnScoringChances,A2OnShotsOnGoal,A2OnOddmanRushes,A2OnDirectGoals,A3OnAttempts,A3OnScoringChances,A3OnShotsOnGoal,A3OnOddmanRushes,A3OnDirectGoals
Max McCormick,L,F,6,1,0,0,1,3,9,20,9,8,0,61,45,10,13,4,2,2,16,8,1,1,63.9,0.655,23,57.27699531,48.82629108,106.1032864,42.25352113,34.74178404,76.99530516,30.98591549,20.657277,3,3,13,33,1,22,1,37,52,28,25,15,1,0,4,12,0,1,0,0,9,4,2,0,0,1,0,0,0,0,8,0,5,0,0,6,1,4,0,0,1,0,1,0,0
Max Pacioretty,L,F,15,3,2,1,6,16,45,84,72,56,3,233,182,81,77,4,0,0,14,24,1,0,207.1,4,26,67.50362144,46.64413327,114.1477547,52.72815065,36.5041043,89.23225495,38.53211009,28.39208112,14,16,51,133,7,98,4,126,161,110,81,66,3,3,26,42,0,3,2,2,25,21,18,0,1,0,2,3,2,0,32,16,17,3,2,22,7,14,1,1,8,3,3,0,1
Maxime Talbot,C,F,14,0,0,1,1,6,12,17,-28,-20,-5,77,56,29,33,5,30,34,22,24,0,2,115.4,1,31,40.03466205,54.59272097,94.62738302,29.11611785,39.51473137,68.63084922,21.31715771,31.71577123,4,1,12,41,1,61,6,76,105,42,53,7,0,0,3,7,0,0,0,0,5,1,1,0,0,0,0,1,1,0,10,2,7,0,0,4,1,0,0,0,1,0,0,0,0
Melker Karlsson,RC,F,8,2,2,0,4,9,19,22,-14,-1,3,79,61,33,27,3,1,1,7,14,0,1,101.9,1.45,25,46.51619235,54.7595682,101.2757605,35.91756624,36.5063788,72.42394504,25.9077527,24.73012758,4,3,13,44,5,42,2,62,93,43,46,18,1,1,14,13,1,1,2,0,9,6,3,0,0,0,1,1,0,0,6,3,4,1,1,8,1,5,0,0,2,1,2,0,1
Michael Del Zotto,D,D,9,0,0,0,0,1,4,29,-3,-10,-4,138,102,47,38,8,0,0,23,10,0,3,152.6,3.75,25,54.25950197,55.43905636,109.6985583,40.10484928,44.03669725,84.14154653,26.34338139,33.02752294,12,7,10,67,1,84,5,112,141,60,71,18,0,0,0,6,0,0,1,0,9,6,3,0,0,0,0,1,0,0,9,0,3,0,0,5,2,2,0,0,1,0,1,0,0
Michael Frolik,R,F,13,1,2,1,4,11,27,52,-13,-7,-5,170,118,44,58,5,0,0,11,12,2,2,173,5.5,27,58.95953757,63.46820809,122.4277457,40.92485549,43.35260116,84.27745665,29.13294798,26.3583815,19,7,25,84,5,76,10,125,183,84,83,37,1,3,15,18,0,1,1,0,22,11,4,0,0,1,0,0,0,0,29,7,11,1,2,18,9,8,0,1,3,1,1,0,0
Michael Grabner,L,F,22,1,0,1,2,11,24,36,-13,-12,0,196,147,51,99,9,0,0,12,16,2,1,218.9,5,27,53.72316126,57.28643216,111.0095934,40.29237095,43.58154408,83.87391503,25.76518958,27.95797168,7,11,17,94,6,102,6,159,209,97,101,18,0,1,7,8,3,0,0,0,9,6,3,0,0,0,0,2,1,0,28,5,12,0,0,7,4,4,0,1,3,0,1,0,0
Michael Latta,C,F,19,1,0,2,3,4,12,24,-1,-2,-2,121,88,41,45,3,74,56,34,23,2,2,155.7,0.575,24,46.62813102,47.01348748,93.6416185,33.91136802,34.68208092,68.59344894,22.73603083,25.04816956,8,4,11,59,5,65,7,90,122,51,53,16,1,1,8,8,0,0,1,0,7,5,4,0,0,0,0,2,2,1,14,3,6,0,0,16,3,8,0,1,5,0,2,0,0
Michael Raffl,L,F,10,0,1,0,1,8,20,31,21,17,0,123,91,45,32,5,2,3,23,16,4,2,127.1,1.2,26,58.06451613,48.15106216,106.2155783,42.95830055,34.93312352,77.89142408,30.21243116,24.54760031,6,8,17,64,1,52,1,74,102,61,52,24,0,0,14,11,2,0,4,0,10,9,5,0,0,0,0,2,2,0,16,7,8,0,0,8,2,3,1,0,4,1,2,0,0
Michael Stone,D,D,8,0,0,2,2,1,10,28,-24,-26,-4,109,82,44,51,10,0,0,11,12,3,0,134.6,1.45,25,48.5884101,59.28677563,107.8751857,36.55274889,48.14264487,84.69539376,28.52897474,36.55274889,11,5,12,64,6,82,10,108,133,47,60,20,0,1,2,9,0,0,1,0,12,5,3,0,0,0,0,0,0,0,4,1,1,0,0,10,2,5,0,1,3,2,2,0,0
