Period,Time,Strength,Team,Shooter,Shot Type?,A1,A2,A3,A1 Zone,A2 Zone,A3 Zone,SC?,SOG?,Oddman,G?,RB,RB SOG?,RB G?,Home Score State,Goalie,Game ID,Date,Home:,Away: ,Home Goalies,Away Goalies,Ducks,F,F,F,D,D,G/Extra Attacker,Opp,F,F,F,D,D,G/Extra Attacker
1,4:32,5v5,OTT,68,w,65,93,68,orrc,oc,ol,y,y,,,9,,,0,31,20645,1/13/2016,ANA,OTT,,,,15,10,26,3,53,31,,68,93,9,46,65,41
1,4:15,5v5,ANA,15,b,10,,,dc,,,y,y,,,,,,0,41,20645,1/13/2016,ANA,OTT,,,,15,10,67,2,45,31,,68,93,9,46,65,41
1,4:13,5v5,OTT,27,w,65,,,dl,,,y,y,,,,,,0,31,20645,1/13/2016,ANA,OTT,,,,15,10,67,2,45,31,,27,68,93,46,65,41
1,4:01,5v5,OTT,46,w,15,,,of,,,,,,,,,,0,31,20645,1/13/2016,ANA,OTT,,,,15,10,67,3,53,31,,15,27,44,5,46,41
1,3:43,5v5,ANA,15,b,67,,,ol,,,y,y,,,,,,0,41,20645,1/13/2016,ANA,OTT,,,,15,10,67,3,53,31,,15,27,44,5,46,41
1,3:29,5v5,OTT,27,w,44,,,or,,,,y,,,,,,0,31,20645,1/13/2016,ANA,OTT,,,,25,29,19,42,47,31,,15,27,44,45,74,41
1,3:22,5v5,ANA,25,w,19,,,dr,,,,y,,,,,,0,41,20645,1/13/2016,ANA,OTT,,,,25,29,19,42,47,31,,15,27,44,45,74,41
1,1:23,5v5,OTT,93,o,5,,,opc,,,,,,,,,,0,31,20645,1/13/2016,ANA,OTT,,,,17,33,26,2,45,31,,68,93,9,5,46,41
2,19:50,5v5,ANA,2,s,47,44,,nl,nf,,,y,,,,,,0,41,20645,1/13/2016,ANA,OTT,,,,7,22,44,2,47,31,,68,93,9,3,65,41
2,17:38,5v4,OTT,7,o,68,65,68,oc,opc,oc,,,,,,,,0,31,20645,1/13/2016,ANA,OTT,,,,17,33,3,47,31,0,,7,15,27,68,65,41
2,16:54,5v4,OTT,7,w,68,7,68,ol,opl,ol,,y,,,,,,0,31,20645,1/13/2016,ANA,OTT,,,,7,22,3,47,31,0,,7,15,27,68,65,41
2,16:23,5v4,OTT,93,o,65,93,6,oc,opc,oc,y,y,,,,,,0,31,20645,1/13/2016,ANA,OTT,,,,44,26,2,45,31,0,,93,6,61,9,65,41
2,14:13,5v5,OTT,89,w,25,,,dr,,,,y,,,,,,0,31,20645,1/13/2016,ANA,OTT,,,,15,10,67,3,45,31,,10,25,89,45,46,41
2,13:31,5v5,ANA,17,t,42,47,42,oc,opc,opc,y,,,,,,,0,41,20645,1/13/2016,ANA,OTT,,,,17,33,26,42,47,31,,7,6,61,5,46,41
2,12:30,5v5,ANA,17,o,33,26,33,orrr,or,nr,y,,,,,,,0,41,20645,1/13/2016,ANA,OTT,,,,17,33,26,2,45,31,,68,93,9,65,74,41
2,12:21,5v5,OTT,68,w,9,,,oelc,,,y,y,,,,,,1,31,20645,1/13/2016,ANA,OTT,,,,17,33,26,2,45,31,,68,93,9,65,74,41
2,11:45,5v5,OTT,65,w,15,27,,oc,nl,,,y,,,,,,1,31,20645,1/13/2016,ANA,OTT,,,,15,10,67,3,53,31,,15,27,44,3,65,41
2,11:31,5v4,ANA,45,o,53,10,15,oc,opr,of,,,,,,,,1,41,20645,1/13/2016,ANA,OTT,,,,15,10,67,45,53,31,,15,44,5,74,41,0
2,11:03,5v4,ANA,45,o,53,15,10,oc,opr,or,y,y,,,,,,1,41,20645,1/13/2016,ANA,OTT,,,,15,10,67,45,53,31,,15,44,5,74,41,0
2,9:58,5v4,ANA,33,w,47,,,oc,,,,y,,,,,,1,41,20645,1/13/2016,ANA,OTT,,,,17,29,33,2,47,31,,27,44,46,65,41,0
2,9:32,5v5,ANA,2,t,7,2,22,oc,oc,nl,y,,,,,,,1,41,20645,1/13/2016,ANA,OTT,,,,7,22,44,2,47,31,,27,44,3,46,65,41
2,8:45,5v5,ANA,33,w,47,42,17,nc,nr,nf,,y,,,,,,1,41,20645,1/13/2016,ANA,OTT,,,,17,33,26,42,47,31,,7,6,61,3,65,41
2,6:16,5v5,OTT,7,w,44,,,ol,,,y,y,,,,,,1,31,20645,1/13/2016,ANA,OTT,,,,15,10,67,3,45,31,,7,6,61,3,65,41
2,5:47,5v5,ANA,17,w,42,17,47,dsr,dl,dl,,y,,,,,,1,41,20645,1/13/2016,ANA,OTT,,,,17,33,26,42,47,31,,7,6,61,3,65,41
2,4:47,5v5,ANA,10,s,15,67,53,dsl,dl,dl,y,y,,,,,,1,41,20645,1/13/2016,ANA,OTT,,,,15,10,67,3,53,31,,68,93,9,5,74,41
2,2:53,5v5,ANA,47,b,22,44,,oell,oell,,y,y,,,,,,0,41,20645,1/13/2016,ANA,OTT,,,,7,22,44,42,47,31,,15,27,44,3,65,41
2,0:56,5v5,OTT,9,o,93,68,,oc,ol,,,,,,,,,0,31,20645,1/13/2016,ANA,OTT,,,,25,10,67,2,53,31,,68,93,9,5,45,41
2,0:26,5v5,OTT,27,t,65,3,44,or,opl,opl,y,y,,,,,,0,31,20645,1/13/2016,ANA,OTT,,,,17,44,33,45,47,31,,15,27,44,3,65,41
3,19:26,5v5,OTT,93,o,9,65,3,oc,or,dl,y,y,,,,,,0,31,20645,1/13/2016,ANA,OTT,,,,7,22,44,42,47,31,,68,93,9,3,65,41
3,18:57,5v5,OTT,6,w,61,,,dr,,,,y,,,,,,0,31,20645,1/13/2016,ANA,OTT,,,,17,33,26,2,45,31,,7,6,61,45,74,41
3,18:38,5v5,ANA,33,w,45,2,,dr,dl,,,,,,,,,0,41,20645,1/13/2016,ANA,OTT,,,,17,33,26,2,45,31,,15,27,44,5,46,41
3,17:21,5v5,OTT,65,o,68,65,,opr,or,,,,,,93,,,0,31,20645,1/13/2016,ANA,OTT,,,,7,22,44,42,47,31,,68,93,9,3,65,41
3,16:23,5v5,ANA,26,w,33,,,nr,,,,,,,,,,0,41,20645,1/13/2016,ANA,OTT,,,,17,33,26,2,45,31,,7,6,61,45,74,41
3,13:54,5v5,OTT,93,s,9,65,68,dr,dr,dr,,y,,,,,,0,31,20645,1/13/2016,ANA,OTT,,,,17,33,26,42,53,31,,68,93,9,45,74,41
3,12:57,5v5,OTT,46,w,7,6,61,oelc,oelr,or,,y,,,,,,0,31,20645,1/13/2016,ANA,OTT,,,,7,22,44,2,45,31,,7,6,61,5,46,41
3,11:46,5v5,OTT,46,w,44,15,,opl,oell,,,y,,,,,,0,31,20645,1/13/2016,ANA,OTT,,,,10,67,19,3,53,31,,15,27,44,5,46,41
3,11:17,5v5,OTT,5,w,9,,,opr,,,,,,,,,,0,31,20645,1/13/2016,ANA,OTT,,,,7,22,44,2,45,31,,68,93,9,5,46,41
3,11:10,5v5,ANA,44,s,7,45,,nr,dc,,,,,,,,,0,41,20645,1/13/2016,ANA,OTT,,,,7,22,44,2,45,31,,68,93,9,5,46,41
3,10:07,5v5,ANA,3,w,29,15,,oelpc,oelr,,,,,,,,,0,41,20645,1/13/2016,ANA,OTT,,,,15,25,29,3,53,31,,10,25,89,45,74,41
3,9:10,5v5,ANA,17,w,33,,,nc,,,,,,,,,,0,41,20645,1/13/2016,ANA,OTT,,,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference
3,8:50,5v5,ANA,67,w,19,10,,dc,dr,,,,,,,,,0,41,20645,1/13/2016,ANA,OTT,,,,10,67,19,3,53,31,,15,27,44,3,65,41
3,8:07,5v5,ANA,22,s,7,,,or,,,,y,,,,,,0,41,20645,1/13/2016,ANA,OTT,,,,7,22,44,2,45,31,,68,93,9,5,46,41
3,7:18,5v5,OTT,3,w,65,7,65,or,opl,or,,y,,,,,,0,31,20645,1/13/2016,ANA,OTT,,,,17,33,26,42,47,31,,7,6,61,3,65,41
3,5:54,5v5,ANA,19,b,53,,,oc,,,,y,,,67,y,,0,41,20645,1/13/2016,ANA,OTT,,,,10,67,19,3,53,31,,15,27,44,5,46,41
3,5:47,5v5,ANA,10,o,67,,,of,,,,y,,,,,,0,41,20645,1/13/2016,ANA,OTT,,,,10,67,19,3,53,31,,15,27,44,5,46,41
3,4:55,5v4,ANA,53,w,15,45,53,oc,dc,dl,y,y,,y,,,,0,41,20645,1/13/2016,ANA,OTT,,,,15,10,67,45,53,31,,93,9,3,65,41,0
3,3:25,5v5,ANA,47,s,42,67,,nr,nf,,,y,,,67,,,1,41,20645,1/13/2016,ANA,OTT,,,,10,67,19,42,47,31,,15,27,44,45,65,41
3,3:17,5v5,ANA,67,b,19,,,oelc,,,y,,,,,,,1,41,20645,1/13/2016,ANA,OTT,,,,10,67,19,42,47,31,,15,27,44,45,65,41
3,2:47,5v5,ANA,47,w,26,10,,oelpl,oelc,,,,,,,,,1,41,20645,1/13/2016,ANA,OTT,,,,17,10,26,42,47,31,,15,27,44,45,65,41
3,2:32,5v5,ANA,26,b,17,,,oc,,,y,y,,y,,,,1,41,20645,1/13/2016,ANA,OTT,,,,17,33,26,2,42,31,,15,27,44,45,65,41
3,1:35,5v5,ANA,17,w,26,17,,orrc,oc,,y,,3 on 2,,,,,2,41,20645,1/13/2016,ANA,OTT,,,,17,33,26,2,45,31,,7,68,9,5,46,41
3,1:26,5v5,ANA,33,w,47,,,nsl,,,y,y,1 on 0,y,,,,2,41,20645,1/13/2016,ANA,OTT,,,,17,33,26,42,47,31,,7,6,61,45,65,41
3,0:05,5v5,OTT,89,o,25,89,,oelc,oell,,,y,,,,,,3,31,20645,1/13/2016,ANA,OTT,,,,7,22,44,3,53,31,,7,61,89,46,65,41
