Period,Time,Strength,Team,Shooter,Shot Type?,A1,A2,A3,A1 Zone,A2 Zone,A3 Zone,SC?,SOG?,Oddman,G?,RB,RB SOG?,RB G?,Home Score State,Goalie,Game ID,Date,Home:,Away: ,Home Goalies,Away Goalies,Sens,F,F,F,D,D,G/Extra Attacker,Opp,F,F,F,D,D,G/Extra Attacker
4,4:06,3v3,TOR,42,T,44,21,44,ol,oc,oelc,y,y,,,,,,0,41,20019,10/10/2015,TOR,OTT,,,,68,6,5,41,0,0,,21,44,34,0,0,0
4,2:52,3v3,TOR,28,W,24,,,dl,,,y,y,,,,,,0,41,20019,10/10/2015,TOR,OTT,,,,27,65,41,0,0,0,,28,3,34,0,0,0
4,2:25,4v3,TOR,43,W,3,43,3,ol,opl,oc,y,y,,,,,,0,41,20019,10/10/2015,TOR,OTT,,,,44,2,74,41,0,0,,43,21,3,34,0,0
4,1:41,4v3,TOR,3,O,42,3,43,ol,oc,opl,,,,,,,,0,41,20019,10/10/2015,TOR,OTT,,,,9,3,5,41,0,0,,43,21,3,34,0,0
4,1:10,4v3,TOR,24,O,44,28,,oc,opl,,,,,,,,,0,41,20019,10/10/2015,TOR,OTT,,,,27,2,74,41,0,0,,19,28,44,34,0,0
4,1:03,4v3,TOR,28,O,44,24,,oc,opr,,,,,,,,,0,41,20019,10/10/2015,TOR,OTT,,,,27,2,74,41,0,0,,19,28,44,34,0,0
4,0:36,4v4,OTT,61,W,65,,,nc,,,y,y,,,,,,0,34,20019,10/10/2015,TOR,OTT,,,,7,61,3,65,41,0,,28,2,44,34,0,0
4,0:29,4v4,TOR,2,W,28,,,dr,,,,y,,,,,,0,41,20019,10/10/2015,TOR,OTT,,,,68,61,3,65,41,0,,21,2,51,34,0,0
4,0:04,4v4,TOR,21,T,42,21,,orrl,oc,,y,y,,,,,,0,41,20019,10/10/2015,TOR,OTT,,,,68,61,46,65,41,0,,21,3,51,34,0,0
1,18:16,5v5,OTT,45,w,6,93,2,dl,dc,dc,,y,,,,,,0,35,20094,10/22/2015,OTT,N.J,30,35,,93,6,9,2,45,30,,16,18,22,5,6,35
1,17:26,5v5,N.J,11,s,51,,,or,,,,y,,,,,,0,30,20094,10/22/2015,OTT,N.J,41,1,,10,15,93,2,45,30,,25,51,11,8,44,35
1,15:01,5v3,N.J,21,o,13,21,13,opr,oc,opr,,y,,,19,y,y,0,30,20094,10/22/2015,OTT,N.J,,,,44,2,74,30,0,0,,14,19,21,13,44,35
1,14:32,4v5,OTT,7,w,61,,,orrr,,,y,y,2 on 1,,,,,-1,35,20094,10/22/2015,OTT,N.J,,,,7,61,5,74,30,0,,14,16,21,22,28,35
1,13:29,5v4,N.J,22,o,14,16,28,oelc,or,oc,y,y,,y,,,,0,30,20094,10/22/2015,OTT,N.J,,,,27,44,2,5,30,0,,14,16,21,22,28,35
1,12:36,5v5,OTT,65,s,61,68,,oelpc,ol,,,,,,,,,-1,35,20094,10/22/2015,OTT,N.J,,,,7,68,61,2,65,30,,9,51,11,5,6,35
1,12:02,5v5,OTT,9,w,93,9,,nr,nc,,,y,,,6,y,,-1,35,20094,10/22/2015,OTT,N.J,,,,93,6,9,45,46,30,,16,25,51,2,8,35
1,11:04,5v5,N.J,6,w,14,13,20,ol,nc,dr,,,,,,,,-1,30,20094,10/22/2015,OTT,N.J,,,,10,15,25,5,46,30,,14,20,13,6,44,35
1,11:02,5v5,N.J,44,s,14,,,of,,,,,,,,,,-1,30,20094,10/22/2015,OTT,N.J,,,,27,44,90,65,74,30,,14,20,13,8,44,35
1,10:10,5v5,N.J,9,o,19,20,,oelc,ol,,y,y,,,,,,-1,30,20094,10/22/2015,OTT,N.J,,,,7,27,61,65,74,30,,9,19,20,2,28,35
1,8:49,5v5,N.J,5,s,19,,,oelpr,,,,y,,,,,,-1,30,20094,10/22/2015,OTT,N.J,,,,93,6,9,5,46,30,,9,19,21,5,6,35
1,7:49,5v5,OTT,74,s,65,74,90,or,ol,opl,,,,,,,,-1,35,20094,10/22/2015,OTT,N.J,,,,27,44,90,65,74,30,,16,18,22,8,44,35
1,7:47,5v5,OTT,90,o,27,,,oelc,,,y,y,,,,,,-1,35,20094,10/22/2015,OTT,N.J,,,,27,44,90,65,74,30,,16,18,22,8,44,35
1,6:35,5v5,OTT,45,s,6,,,oelc,,,,y,,,93,,,-1,35,20094,10/22/2015,OTT,N.J,,,,93,6,9,2,45,30,,25,51,11,5,28,35
1,6:29,5v5,OTT,93,o,9,6,,oelc,or,,y,y,,,93,,,-1,35,20094,10/22/2015,OTT,N.J,,,,93,6,9,2,45,30,,25,51,11,5,28,35
1,6:20,5v5,OTT,2,s,6,93,9,opl,oelc,ol,,y,,,,,,-1,35,20094,10/22/2015,OTT,N.J,,,,93,6,9,2,45,30,,25,51,11,5,28,35
1,6:07,5v4,OTT,6,o,61,7,65,orrc,ol,ol,y,,,,,,,-1,35,20094,10/22/2015,OTT,N.J,,,,7,6,61,9,65,30,,14,19,5,6,35,0
1,6:00,5v4,OTT,7,o,65,6,65,oc,opr,oc,y,,,,,,,-1,35,20094,10/22/2015,OTT,N.J,,,,7,6,61,9,65,30,,14,19,5,6,35,0
1,5:12,5v4,OTT,68,s,65,27,90,oc,opr,oelc,,y,,,,,,-1,35,20094,10/22/2015,OTT,N.J,,,,27,68,93,90,65,30,,16,20,2,8,35,0
1,4:41,5v4,OTT,65,o,93,65,93,oc,oc,opr,,y,,,,,,-1,35,20094,10/22/2015,OTT,N.J,,,,27,68,93,90,65,30,,16,20,2,8,35,0
1,3:54,5v5,OTT,7,w,61,,,or,,,y,y,,,,,,-1,35,20094,10/22/2015,OTT,N.J,,,,7,6,61,2,45,30,,18,51,11,5,6,35
1,3:23,5v5,N.J,28,s,51,,,opr,,,,y,,,,,,-1,30,20094,10/22/2015,OTT,N.J,,,,7,10,61,45,46,30,,14,51,13,2,28,35
1,3:08,5v5,N.J,13,w,14,13,14,oelr,or,oelc,y,,,,,,,-1,30,20094,10/22/2015,OTT,N.J,,,,27,44,90,5,46,30,,14,20,13,2,28,35
1,0:22,5v5,N.J,13,w,6,,,oc,,,,y,,,,,,-1,30,20094,10/22/2015,OTT,N.J,,,,27,44,9,65,74,30,,14,20,13,5,6,35
1,0:02,5v5,OTT,9,w,6,,,nr,,,,,,,,,,-1,35,20094,10/22/2015,OTT,N.J,,,,93,6,9,2,45,30,,9,19,21,2,8,35
2,18:38,5v5,OTT,68,o,61,7,,oelc,or,,y,y,,,,,,-1,35,20094,10/22/2015,OTT,N.J,,,,7,68,61,2,45,30,,9,19,21,2,28,35
2,16:59,5v5,N.J,11,w,44,,,dc,,,,y,,,,,,-1,30,20094,10/22/2015,OTT,N.J,,,,10,44,25,5,46,30,,25,51,11,8,44,35
2,16:47,5v5,OTT,27,b,65,27,,or,dr,,y,y,,,,,,-1,35,20094,10/22/2015,OTT,N.J,,,,27,44,90,65,74,30,,14,20,13,2,28,35
2,15:07,5v4,OTT,65,w,93,27,65,nl,nc,nc,,y,,,,,,-1,35,20094,10/22/2015,OTT,N.J,,,,27,68,93,90,65,30,,51,11,2,8,35,0
2,11:41,5v5,N.J,13,w,14,8,,or,dr,,y,,,,,,,-1,30,20094,10/22/2015,OTT,N.J,,,,44,6,9,65,74,30,,14,21,13,2,28,35
2,11:38,5v5,N.J,13,o,21,,,oelc,,,y,y,,,,,,-1,30,20094,10/22/2015,OTT,N.J,,,,44,6,9,65,74,30,,14,21,13,2,28,35
2,10:37,5v5,OTT,25,w,10,,,ol,,,y,y,,,15,y,y,-1,35,20094,10/22/2015,OTT,N.J,,,,10,15,25,2,45,30,,25,51,11,8,44,35
2,8:55,5v5,N.J,2,w,19,21,9,opl,nc,dl,,y,4 on 2,,,,,0,30,20094,10/22/2015,OTT,N.J,,,,44,93,9,2,45,30,,9,19,21,2,28,35
2,7:49,5v5,OTT,25,s,15,65,5,oc,nl,dc,,,,,,,,0,35,20094,10/22/2015,OTT,N.J,,,,10,15,25,45,74,30,,14,20,13,8,44,35
2,7:41,5v5,OTT,45,w,10,,,opc,,,,,,,,,,0,35,20094,10/22/2015,OTT,N.J,,,,10,15,25,45,74,30,,14,20,13,8,44,35
2,6:57,5v5,OTT,6,w,9,45,9,oc,dr,dl,,,,,,,,0,35,20094,10/22/2015,OTT,N.J,,,,93,6,9,2,5,30,,9,19,21,5,6,35
2,6:28,5v5,N.J,13,w,28,2,13,dc,dc,dl,,y,,,,,,0,30,20094,10/22/2015,OTT,N.J,,,,7,68,61,2,5,30,,14,20,13,2,28,35
2,6:03,5v5,N.J,14,t,28,20,,or,oc,,y,,,,,,,0,30,20094,10/22/2015,OTT,N.J,,,,7,68,61,2,5,30,,14,20,13,8,28,35
2,5:51,5v5,OTT,5,w,7,68,,nc,dc,,,,,,,,,0,35,20094,10/22/2015,OTT,N.J,,,,7,68,61,5,74,30,,14,20,13,8,28,35
2,5:22,5v5,OTT,25,t,10,,,oell,,,y,y,,,,,,0,35,20094,10/22/2015,OTT,N.J,,,,10,15,25,65,74,30,,25,51,11,8,44,35
2,4:57,5v5,OTT,10,t,25,,,or,,,y,y,,,,,,0,35,20094,10/22/2015,OTT,N.J,,,,10,15,25,65,74,30,,25,51,11,8,44,35
2,4:35,4v4,OTT,93,s,65,93,,nc,dc,,,y,,,,,,0,35,20094,10/22/2015,OTT,N.J,,,,93,6,46,65,30,0,,14,13,5,6,35,0
2,4:04,4v4,OTT,68,w,46,65,,dr,dc,,,,,,,,,0,35,20094,10/22/2015,OTT,N.J,,,,7,68,46,65,30,0,,19,20,5,6,35,0
2,3:46,4v4,OTT,7,w,68,65,,oc,dr,,y,,,,,,,0,35,20094,10/22/2015,OTT,N.J,,,,93,61,2,45,30,0,,19,20,2,28,35,0
2,3:41,4v4,OTT,61,b,93,,,of,,,y,y,,,61,,,0,35,20094,10/22/2015,OTT,N.J,,,,93,61,2,45,30,0,,19,20,2,28,35,0
2,3:36,4v4,OTT,45,s,61,,,opl,,,,y,,,,,,0,35,20094,10/22/2015,OTT,N.J,,,,93,61,2,45,30,0,,19,20,2,28,35,0
2,3:12,4v4,OTT,93,o,61,,,ol,,,y,y,,,,,,0,35,20094,10/22/2015,OTT,N.J,,,,93,61,2,45,30,0,,16,20,2,28,35,0
2,2:41,5v5,N.J,25,w,22,,,nc,,,,y,,,,,,0,30,20094,10/22/2015,OTT,N.J,,,,27,44,25,5,46,30,,25,11,22,8,44,35
2,1:53,5v5,N.J,11,o,22,13,,oelc,or,,y,,,,,,,0,30,20094,10/22/2015,OTT,N.J,,,,27,44,6,5,46,30,,11,22,13,5,6,35
2,1:32,5v4,OTT,65,o,7,65,61,opr,oc,opl,,,,,,,,0,35,20094,10/22/2015,OTT,N.J,,,,7,6,61,9,65,30,,14,19,5,6,35,0
2,1:25,5v4,OTT,65,w,7,,,opr,,,,,,,,,,0,35,20094,10/22/2015,OTT,N.J,,,,7,6,61,9,65,30,,14,19,5,6,35,0
2,0:31,5v4,OTT,65,w,7,65,7,oc,opr,oc,,y,,,,,,0,35,20094,10/22/2015,OTT,N.J,,,,7,6,61,9,65,30,,16,20,5,6,35,0
2,0:23,5v4,OTT,68,w,65,68,93,opr,oc,of,,y,,,,,,0,35,20094,10/22/2015,OTT,N.J,,,,27,68,93,90,65,30,,19,20,2,8,35,0
2,0:01,5v4,OTT,93,o,65,68,,orrr,dc,,,,,,,,,0,35,20094,10/22/2015,OTT,N.J,,,,27,68,93,90,65,30,,14,19,2,8,35,0
3,19:01,5v4,OTT,7,o,6,7,61,orrc,oc,ol,y,y,,,,,,0,35,20094,10/22/2015,OTT,N.J,,,,7,6,61,9,65,30,,16,20,5,6,35,0
3,18:50,5v4,OTT,9,t,7,65,7,oc,opr,ol,y,,,,,,,0,35,20094,10/22/2015,OTT,N.J,,,,7,6,61,9,65,30,,16,20,5,6,35,0
3,18:18,5v4,OTT,6,w,7,65,7,oc,oc,oc,y,,,,,,,0,35,20094,10/22/2015,OTT,N.J,,,,7,6,61,9,65,30,,16,20,5,6,35,0
3,17:43,5v4,OTT,93,w,68,93,,ol,nc,,y,,,,,,,0,35,20094,10/22/2015,OTT,N.J,,,,27,68,93,90,45,30,,14,19,2,8,35,0
3,17:36,5v4,OTT,68,s,27,,,or,,,,y,,y,,,,0,35,20094,10/22/2015,OTT,N.J,,,,27,68,93,90,45,30,,14,19,2,8,35,0
3,16:03,5v4,N.J,21,w,14,,,of,,,,,,,,,,1,30,20094,10/22/2015,OTT,N.J,,,,27,44,2,74,30,30,,14,16,21,22,28,35
3,14:15,5v4,N.J,8,w,2,,,dc,,,,y,,,,,,1,30,20094,10/22/2015,OTT,N.J,,,,93,9,65,74,30,30,,9,20,13,2,8,35
3,13:37,5v5,N.J,18,t,22,,,or,,,y,,,,,,,1,30,20094,10/22/2015,OTT,N.J,,,,7,10,61,2,65,30,,16,18,22,6,28,35
3,13:23,5v5,OTT,25,w,10,2,7,or,oc,dr,y,y,,y,,,,1,35,20094,10/22/2015,OTT,N.J,,,,10,15,25,2,5,30,,14,18,20,6,28,35
3,12:44,5v5,OTT,10,w,45,,,dc,,,,,,,,,,2,35,20094,10/22/2015,OTT,N.J,,,,10,15,25,5,46,30,,9,14,20,2,28,35
3,11:57,5v5,OTT,9,s,93,9,,nc,dc,,,y,,,,,,2,35,20094,10/22/2015,OTT,N.J,,,,93,6,9,5,46,30,,9,19,21,2,5,35
3,11:56,5v5,OTT,65,w,93,,,of,,,,,,,,,,2,35,20094,10/22/2015,OTT,N.J,,,,93,6,9,5,46,30,,9,19,21,2,5,35
3,10:40,5v5,N.J,44,w,2,,,dc,,,,,,,,,,2,30,20094,10/22/2015,OTT,N.J,,,,7,68,61,2,5,30,,9,19,21,2,44,35
3,9:53,5v5,OTT,45,w,7,,,opl,,,,,,,,,,2,35,20094,10/22/2015,OTT,N.J,,,,7,10,61,2,45,30,,9,19,21,2,28,35
3,9:48,5v5,OTT,45,w,2,10,,oc,opl,,,,,,,,,2,35,20094,10/22/2015,OTT,N.J,,,,7,10,61,2,45,30,,9,19,21,2,28,35
3,8:48,5v5,N.J,13,o,14,,,ol,,,,,,,,,,2,30,20094,10/22/2015,OTT,N.J,,,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,30,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference
3,8:06,5v5,OTT,9,w,93,45,,nc,dc,,,y,,,,,,2,35,20094,10/22/2015,OTT,N.J,,,,93,6,9,46,65,30,,16,18,22,8,44,35
3,6:39,5v5,N.J,21,w,19,28,,nc,dc,,,y,,,,,,2,30,20094,10/22/2015,OTT,N.J,,,,7,68,61,2,45,30,,9,19,21,2,28,35
3,5:52,5v5,N.J,13,b,14,,,ol,,,y,y,,,14,y,y,2,30,20094,10/22/2015,OTT,N.J,,,,93,6,9,65,74,30,,14,20,13,5,6,35
3,4:00,5v4,OTT,65,o,6,61,65,opr,oc,oc,,y,,,,,,1,35,20094,10/22/2015,OTT,N.J,,,,7,6,61,9,65,30,,19,20,2,8,35,0
3,2:29,5v5,OTT,5,s,2,44,,oc,opl,,,,,,,,,1,35,20094,10/22/2015,OTT,N.J,,,,10,15,44,2,5,30,,9,19,21,2,28,35
3,1:58,5v5,OTT,5,o,44,10,,opr,nl,,,y,4 on 2,,,,,1,35,20094,10/22/2015,OTT,N.J,,,,7,61,9,2,5,30,,9,19,21,6,8,35
3,1:47,5v5,N.J,13,s,8,19,,oc,nr,,,,,,,,,1,30,20094,10/22/2015,OTT,N.J,,,,7,61,9,2,5,30,,14,20,13,6,8,35
3,1:27,6v5,N.J,8,w,28,14,,or,opr,,,y,,,,,,1,30,20094,10/22/2015,OTT,N.J,,,,7,61,9,2,5,30,,14,16,20,13,8,28
3,0:58,6v5,N.J,21,w,19,,,oelc,,,,,,,,,,1,30,20094,10/22/2015,OTT,N.J,,,,7,68,61,2,74,30,,14,19,21,20,13,28
3,0:33,6v5,N.J,28,o,13,,,opr,,,,y,,,20,y,y,1,30,20094,10/22/2015,OTT,N.J,,,,7,61,9,2,74,30,,14,19,21,20,13,28
4,4:32,3v3,OTT,61,o,7,65,61,oelc,ol,ol,y,,,,,,,0,35,20094,10/22/2015,OTT,N.J,,,,7,61,0,0,65,30,,19,0,0,5,6,35
4,2:52,3v3,N.J,13,w,14,13,14,oc,oc,ol,y,y,,,,,,0,30,20094,10/22/2015,OTT,N.J,,,,93,6,0,0,45,30,,14,13,0,0,6,35
4,1:59,3v3,OTT,27,w,10,,,dc,,,,y,,,,,,0,35,20094,10/22/2015,OTT,N.J,,,,10,27,0,0,5,30,,9,20,0,0,5,35
4,1:38,3v3,N.J,21,w,5,,,ol,,,y,y,,,,,,0,30,20094,10/22/2015,OTT,N.J,,,,7,10,0,0,5,30,,19,21,0,0,5,35
4,1:25,3v3,OTT,65,s,7,,,ol,,,y,,,,,,,0,35,20094,10/22/2015,OTT,N.J,,,,7,61,0,0,65,30,,19,21,0,0,2,35
4,0:24,3v3,N.J,6,o,13,19,,oelc,oc,,y,,,,,,,0,30,20094,10/22/2015,OTT,N.J,,,,7,61,0,0,65,30,,14,13,0,0,6,35
1,16:58,5v5,OTT,3,w,65,15,3,or,nl,dc,,y,,,,,,0,72,20046,14-Oct-15,CBJ,OTT,30,30,,15,61,90,3,65,41,,9,18,40,27,58,72
1,16:54,5v5,OTT,68,o,61,7,,oc,of,,,y,,,,,,0,72,20046,14-Oct-15,CBJ,OTT,,,,7,68,61,5,46,41,,17,13,11,7,51,72
1,16:44,5v5,CBJ,11,w,17,13,7,or,dsr,dr,,y,,,,,,0,41,20046,14-Oct-15,CBJ,OTT,,,,7,68,61,5,46,41,,17,13,11,7,51,72
1,16:18,5v5,CBJ,7,S,17,,,of,,,,,,,,,,0,41,20046,14-Oct-15,CBJ,OTT,,,,7,68,61,5,46,41,,17,13,11,7,51,72
1,15:47,5v5,CBJ,11,t,71,7,,oc,opr,,,,,,,,,0,41,20046,14-Oct-15,CBJ,OTT,,,,7,68,61,5,46,41,,17,11,71,7,51,72
1,14:44,5v4,CBJ,71,b,19,,,ol,,,y,y,,,20,,,0,41,20046,14-Oct-15,CBJ,OTT,,,,27,44,2,74,41,0,,19,20,43,71,27,72
1,14:15,5v4,CBJ,27,o,19,20,27,opl,orrr,oc,,y,,,,,,0,41,20046,14-Oct-15,CBJ,OTT,,,,15,90,3,5,41,0,,19,20,43,71,27,72
1,12:30,5v5,CBJ,47,w,11,,,opr,,,,,,,,,,0,41,20046,14-Oct-15,CBJ,OTT,,,,7,68,6,3,65,41,,25,18,11,4,47,72
1,11:16,5v5,OTT,2,w,15,90,,opl,ol,,,,,,,,,0,72,20046,14-Oct-15,CBJ,OTT,,,,15,25,90,2,74,41,,9,18,40,4,47,72
1,10:51,5v5,CBJ,38,w,20,4,,dsr,dr,,,y,,,,,,0,41,20046,14-Oct-15,CBJ,OTT,,,,27,44,9,3,65,41,,19,38,20,4,47,72
1,9:49,5v4,OTT,7,o,6,65,6,orrc,or,ol,,,,,,,,0,72,20046,14-Oct-15,CBJ,OTT,,,,7,6,61,9,65,41,,17,25,7,51,72,0
1,9:45,5v4,OTT,65,o,61,,,orrl,,,,,,,,,,0,72,20046,14-Oct-15,CBJ,OTT,,,,7,6,61,9,65,41,,17,25,7,51,72,0
1,9:03,5v4,OTT,9,W,7,65,7,oc,ol,opl,y,y,,,,,,0,72,20046,14-Oct-15,CBJ,OTT,,,,7,6,61,9,65,41,,9,11,47,58,72,0
1,8:47,4v4,CBJ,7,w,17,,,of,,,y,,,,,,,0,41,20046,14-Oct-15,CBJ,OTT,,,,68,93,5,46,41,0,,17,13,7,51,72,0
1,8:47,4v4,CBJ,17,o,13,17,,opr,or,,,,,,,,,0,41,20046,14-Oct-15,CBJ,OTT,,,,68,93,5,46,41,0,,17,13,7,51,72,0
1,8:18,4v4,OTT,68,S,3,93,,ol,nl,,,y,,,,,,0,72,20046,14-Oct-15,CBJ,OTT,,,,68,93,3,65,41,0,,17,20,43,27,72,0
1,7:46,5v4,CBJ,19,S,27,20,71,oc,or,opr,,y,,,,,,0,41,20046,14-Oct-15,CBJ,OTT,,,,27,44,3,65,41,0,,19,20,43,71,27,72
1,7:44,5v4,CBJ,20,o,71,,,,,,,y,,y,,,,0,41,20046,14-Oct-15,CBJ,OTT,,,,27,44,3,65,41,0,,19,20,43,71,27,72
1,7:13,5v5,OTT,2,S,74,25,,or,opr,,,,,,25,,,1,72,20046,14-Oct-15,CBJ,OTT,,,,15,25,90,2,74,41,,9,18,40,4,47,72
1,6:25,5v5,OTT,93,w,65,16,,nc,dc,,,,,,,,,1,72,20046,14-Oct-15,CBJ,OTT,,,,93,6,16,3,65,41,,19,38,71,7,51,72
1,6:08,5v5,CBJ,7,w,71,,,opc,,,,y,,,,,,1,41,20046,14-Oct-15,CBJ,OTT,,,,27,44,9,3,65,41,,25,43,71,7,51,72
1,5:57,5v5,CBJ,58,w,17,,,of,,,,,,,,,,1,41,20046,14-Oct-15,CBJ,OTT,,,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference
1,5:39,5v5,OTT,68,w,61,,,dr,,,,,,,,,,1,72,20046,14-Oct-15,CBJ,OTT,,,,7,68,61,5,46,41,,17,13,11,27,58,72
1,5:06,5v5,CBJ,18,b,9,,,orrr,,,,,,,,,,1,41,20046,14-Oct-15,CBJ,OTT,,,,15,25,90,2,74,41,,9,18,40,4,47,72
1,3:55,5v5,OTT,3,S,93,,,opr,,,,y,,y,,,,1,72,20046,14-Oct-15,CBJ,OTT,,,,93,6,16,3,65,41,,19,38,20,27,58,72
1,3:42,5v5,CBJ,7,S,43,,,or,,,,y,,,,,,0,41,20046,14-Oct-15,CBJ,OTT,,,,27,44,9,5,46,41,,25,43,71,7,51,72
1,2:51,5v5,CBJ,7,S,51,71,,,oelpc,,,,,,,,,0,41,20046,14-Oct-15,CBJ,OTT,,,,27,44,9,5,46,41,,25,43,71,7,51,72
1,2:44,5v5,CBJ,7,S,71,,,opr,,,,y,,,,,,0,41,20046,14-Oct-15,CBJ,OTT,,,,27,44,9,5,46,41,,25,43,71,7,51,72
1,2:12,5v5,CBJ,47,w,11,17,,opc,of,,,,,,,,,0,41,20046,14-Oct-15,CBJ,OTT,,,,7,68,61,2,74,41,,17,13,11,4,47,72
1,1:04,5v5,CBJ,38,W,19,,,oelc,,,y,y,,y,,,,0,41,20046,14-Oct-15,CBJ,OTT,,,,93,6,16,5,46,41,,19,38,20,7,51,72
2,19:08,6v5,CBJ,11,w,51,,,dsc,,,,,,,,,,1,41,20046,14-Oct-15,CBJ,OTT,,,,93,6,16,2,65,41,,19,25,11,71,7,51
2,18:31,5v4,OTT,65,w,93,68,16,orrl,oc,opc,,y,,,,,,1,72,20046,14-Oct-15,CBJ,OTT,,,,27,68,93,16,65,41,,9,25,7,51,72,0
2,18:16,5v4,OTT,9,W,6,65,,oc,or,,,y,,y,,,,1,72,20046,14-Oct-15,CBJ,OTT,,,,7,6,61,9,65,41,,17,38,27,58,72,0
2,17:27,5v5,OTT,44,w,25,,,nr,,,,,,,,,,0,72,20046,14-Oct-15,CBJ,OTT,,,,15,44,25,5,46,41,,25,20,43,4,51,72
2,16:48,5v5,OTT,5,w,46,9,,ol,opl,,,,,,,,,0,72,20046,14-Oct-15,CBJ,OTT,,,,27,44,9,3,5,41,,19,38,20,7,51,72
2,16:14,5v5,OTT,16,w,93,65,,orrc,or,,,y,,,,,,0,72,20046,14-Oct-15,CBJ,OTT,,,,27,93,16,3,65,41,,19,38,20,7,51,72
2,15:49,5v5,OTT,65,w,6,93,,opc,of,,,,,,,,,0,72,20046,14-Oct-15,CBJ,OTT,,,,93,6,16,3,65,41,,17,13,11,27,58,72
2,15:49,5v5,OTT,65,w,16,,,opr,,,,,,,,,,0,72,20046,14-Oct-15,CBJ,OTT,,,,93,6,16,3,65,41,,17,13,11,27,58,72
2,15:34,5v5,OTT,6,w,65,93,,nc,nc,,,,,,,,,0,72,20046,14-Oct-15,CBJ,OTT,,,,93,6,16,3,65,41,,17,13,11,27,58,72
2,15:26,5v5,CBJ,17,b,11,,,orrr,,,y,y,2 on 1,y,,,,0,41,20046,14-Oct-15,CBJ,OTT,,,,93,6,16,3,65,41,,17,13,18,27,58,72
2,14:36,5v5,CBJ,4,w,40,,,dsr,,,,y,,,,,,1,41,20046,14-Oct-15,CBJ,OTT,,,,7,15,61,46,74,41,,9,18,40,4,51,72
2,14:26,5v5,OTT,15,w,61,,,dr,,,,,,,,,,1,72,20046,14-Oct-15,CBJ,OTT,,,,15,25,61,5,46,41,,25,18,71,4,51,72
2,13:46,5v5,CBJ,51,w,71,7,43,opr,or,opr,,,,,,,,1,41,20046,14-Oct-15,CBJ,OTT,,,,15,25,90,5,46,41,,25,43,71,7,51,72
2,12:21,5v5,OTT,3,w,65,,,opr,,,,,,,,,,1,72,20046,14-Oct-15,CBJ,OTT,,,,27,44,9,3,65,41,,9,18,40,7,51,72
2,12:04,5v5,OTT,93,w,3,65,,dl,dr,,,y,,,,,,1,72,20046,14-Oct-15,CBJ,OTT,,,,93,6,16,3,65,41,,17,13,11,7,51,72
2,10:28,5v5,OTT,7,w,61,,,oelr,,,y,y,,y,,,,1,72,20046,14-Oct-15,CBJ,OTT,,,,7,68,61,5,46,41,,17,13,11,4,47,72
2,9:59,5v5,OTT,65,w,3,6,,ol,opl,,,,,,,,,0,72,20046,14-Oct-15,CBJ,OTT,,,,93,6,90,3,65,41,,25,43,71,7,51,72
2,9:49,5v5,CBJ,71,w,24,71,,orrc,orrr,,y,y,3 on 1,,,,,0,41,20046,14-Oct-15,CBJ,OTT,,,,93,6,90,3,65,41,,25,43,71,7,51,72
2,9:43,5v5,CBJ,25,w,43,,,opr,,,,y,,,,,,0,41,20046,14-Oct-15,CBJ,OTT,,,,93,6,90,3,65,41,,25,43,71,7,51,72
2,7:44,5v5,CBJ,11,b,17,,,oelr,,,y,y,,,11,y,,0,41,20046,14-Oct-15,CBJ,OTT,,,,15,25,90,2,74,41,,17,13,11,27,58,72
2,6:33,5v5,CBJ,71,b,17,11,,ol,ol,,,,,,,,,0,41,20046,14-Oct-15,CBJ,OTT,,,,68,93,61,5,46,41,,17,11,71,4,47,72
2,6:20,5v5,CBJ,25,o,71,11,71,orrc,oelc,or,,y,,,,,,0,41,20046,14-Oct-15,CBJ,OTT,,,,68,93,61,5,46,41,,25,11,71,4,47,72
2,5:36,5v4,CBJ,19,W,71,20,27,orrc,or,oc,y,y,,,,,,0,41,20046,14-Oct-15,CBJ,OTT,,,,27,44,2,74,41,0,,19,20,43,71,27,72
2,5:23,5v4,CBJ,71,w,27,71,19,oc,opl,of,y,y,,,,,,0,41,20046,14-Oct-15,CBJ,OTT,,,,27,44,5,46,41,0,,19,20,43,71,27,72
2,5:16,5v4,CBJ,19,W,43,27,,orrr,or,,,y,,,,,,0,41,20046,14-Oct-15,CBJ,OTT,,,,27,44,5,46,41,0,,19,20,43,71,27,72
2,4:54,5v4,CBJ,71,W,20,27,19,or, oc,oc,y,y,,,71,,,0,41,20046,14-Oct-15,CBJ,OTT,,,,27,44,5,46,41,0,,19,20,43,71,27,72
