Period,Time,Strength,Team,Shooter,Shot Type?,A1,A2,A3,A1 Zone,A2 Zone,A3 Zone,SC?,SOG?,Oddman,G?,RB,RB SOG?,RB G?,Home Score State,Goalie,Game ID,Date,Home:,Away: ,Home Goalies,Away Goalies,Panthers,F,F,F,D,D,G/Extra Attacker,Opp,F,F,F,D,D,G/Extra Attacker
2,6:24,5v5,PHI,76,o,82,,,oell,,,,,,,,,,4,1,20020,10/10/2015,FLA,PHI,,,,17,22,86,6,7,1,,25,76,78,22,82,30
2,5:59,5v5,PHI,22,o,25,22,,opc,or,,,,,,,,,4,1,20020,10/10/2015,FLA,PHI,,,,17,22,86,6,7,1,,25,76,28,22,82,30
2,5:38,5v4,PHI,93,s,12,93,32,oelr,nl,dc,,,,,,,,4,1,20020,10/10/2015,FLA,PHI,,,,63,36,33,44,1,0,,17,28,93,12,32,30
2,5:09,5v4,PHI,28,w,32,12,,opc,opl,,,y,,,,,,4,1,20020,10/10/2015,FLA,PHI,,,,63,36,33,44,1,0,,17,28,93,12,32,30
2,3:54,5v5,PHI,82,w,15,14,20,opc,opr,oelr,,,,,,,,4,1,20020,10/10/2015,FLA,PHI,,,,11,17,21,6,7,1,,10,20,78,15,82,30
2,3:44,5v5,PHI,78,o,82,20,,ol,opc ,,y,,,,,,,4,1,20020,10/10/2015,FLA,PHI,,,,11,17,21,6,7,1,,10,20,78,15,82,30
2,1:43,4v5,PHI,21,w,28,,,orrr,,,y,y,2 on 1,,28,y,,4,1,20020,10/10/2015,FLA,PHI,,,,11,16,27,68,5,1,,28,21,15,23,30,0
2,1:40,4v5,PHI,15,r,,,,,,,,,,,y,y,,4,1,20020,10/10/2015,FLA,PHI,,,,11,16,27,68,5,1,,28,21,15,23,30,0
2,1:38,4v5,PHI,23,o,78,,,of,,,y,y,,,,,,4,1,20020,10/10/2015,FLA,PHI,,,,11,16,27,68,5,1,,28,21,15,23,30,0
2,0:08,5v4,FLA,51,w,5,51,68,opr,opc,opl,,,,,,,,4,30,20020,10/10/2015,FLA,PHI,,,,11,16,68,5,51,1,,14,24,15,55,30,0
3,19:31,5v4,FLA,51,s,16,11,5,opc,nc,dr,,,,,,,,4,30,20020,10/10/2015,FLA,PHI,,,,11,16,68,5,51,1,,76,78,15,22,55,30
3,19:22,5v5,FLA,51,w,16,51,,opr,or,,y,y,,,68,y,y,4,30,20020,10/10/2015,FLA,PHI,,,,11,16,68,5,51,1,,76,78,15,22,55,30
3,18:15,5v5,PHI,82,o,28,,,opl,,,,,,,,,,5,1,20020,10/10/2015,FLA,PHI,,,,27,73,18,6,33,1,,28,93,12,22,82,30
3,18:06,5v5,PHI,12,w,28,12,,oelc,oelc,,y,y,,,12,y,,5,1,20020,10/10/2015,FLA,PHI,,,,27,73,18,6,33,1,,28,93,12,22,82,30
3,16:17,4v5,FLA,7,w,16,,,opr,,,y,y,3 on 2,,,,,5,30,20020,10/10/2015,FLA,PHI,,,,16,18,6,7,1,0,,10,14,20,15,32,30
3,15:19,5v4,PHI,82,s,15,,,opr,,,,y,,,,,,5,1,20020,10/10/2015,FLA,PHI,,,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference
3,15:07,5v5,PHI,15,s,14,82,10,orrl,ol,opl,,,,,,,,5,1,20020,10/10/2015,FLA,PHI,,,,17,21,36,6,44,1,,10,14,20,15,82,30
3,14:40,5v5,FLA,51,w,17,,,opl,,,,y,,,,,,5,30,20020,10/10/2015,FLA,PHI,,,,17,22,86,5,51,1,,25,76,78,22,23,30
3,14:24,5v5,PHI,12,w,21,,,oelc,,,y,y,,,,,,5,1,20020,10/10/2015,FLA,PHI,,,,27,73,18,5,51,1,,24,12,21,32,55,30
3,13:00,5v4,FLA,51,w,73,21,51,opc,opl,opr,,,,,,,,5,30,20020,10/10/2015,FLA,PHI,,,,21,73,18,36,51,1,,78,15,55,30,0,0
3,12:49,5v4,FLA,73,o,51,73,,opc,opc,,y,y,,,36,y,,5,30,20020,10/10/2015,FLA,PHI,,,,21,73,18,36,51,1,,78,15,55,30,0,0
3,12:34,5v4,FLA,73,o,51,73,21,opc,opc,opl,y,,,,,,,5,30,20020,10/10/2015,FLA,PHI,,,,21,73,18,36,51,1,,76,23,55,30,0,0
3,12:16,5v4,FLA,73,w,36,18,73,opl,oell,nc,y,,,,,,,5,30,20020,10/10/2015,FLA,PHI,,,,21,73,18,36,51,1,,76,15,22,30,0,0
3,12:05,5v4,FLA,18,o,21,73,51,ol,oc,opc,y,y,,y,,,,5,30,20020,10/10/2015,FLA,PHI,,,,21,73,18,36,51,1,,76,15,22,30,0,0
3,8:50,5v5,FLA,5,s,18,27,18,opl,oc,ol,,,,,,,,6,30,20020,10/10/2015,FLA,PHI,,,,27,73,18,5,51,1,,20,93,21,22,82,30
3,7:36,5v5,FLA,11,w,68,16,,nc,nc,,,y,,,,,,6,30,20020,10/10/2015,FLA,PHI,,,,11,16,68,33,44,1,,28,93,12,32,55,30
3,7:04,5v5,FLA,16,w,11,,,or,,,y,,,,,,,6,30,20020,10/10/2015,FLA,PHI,,,,11,16,21,5,51,1,,10,25,28,22,82,30
3,6:10,5v5,FLA,5,w,18,,,opc,,,,,,,,,,6,30,20020,10/10/2015,FLA,PHI,,,,63,18,36,6,7,1,,14,25,12,15,23,30
3,5:11,5v4,PHI,32,s,28,,,of,,,,y,,,,,,6,1,20020,10/10/2015,FLA,PHI,,,,63,36,33,44,1,0,,24,28,93,12,32,30
3,5:08,5v4,PHI,93,w,32,28,,oc,of,,,y,,,,,,6,1,20020,10/10/2015,FLA,PHI,,,,63,36,33,44,1,0,,24,28,93,12,32,30
3,4:28,4v5,FLA,33,w,18,,,or,,,y,y,,,,,,6,30,20020,10/10/2015,FLA,PHI,,,,17,18,33,44,1,0,,24,28,93,12,32,30
3,3:55,5v4,PHI,15,s,14,,,opr,,,,,,,,,,6,1,20020,10/10/2015,FLA,PHI,,,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference
3,3:45,5v4,PHI,15,w,14,82,15,,,,,,,,,,,6,1,20020,10/10/2015,FLA,PHI,,,,17,18,33,44,1,0,,10,14,76,15,82,30
3,3:21,5v4,PHI,15,w,10,,,opr,,,,,,,,,,6,1,20020,10/10/2015,FLA,PHI,,,,17,18,33,44,1,0,,10,14,76,15,82,30
3,3:18,5v4,PHI,22,s,21,21,,of,of,,,y,,,,,,6,1,20020,10/10/2015,FLA,PHI,,,,17,18,33,44,1,0,,10,14,76,15,82,30
3,3:00,5v5,PHI,23,s,24,25,,opl,ol,,,,,,,,,6,1,20020,10/10/2015,FLA,PHI,,,,11,16,6,7,51,1,,25,24,21,22,23,30
3,2:54,5v5,PHI,23,w,24,,,opl,,,,y,,,,,,6,1,20020,10/10/2015,FLA,PHI,,,,11,16,6,7,51,1,,25,24,21,22,23,30
3,2:49,5v5,PHI,22,w,24,,,opl,,,,,,,,,,6,1,20020,10/10/2015,FLA,PHI,,,,11,16,6,7,51,1,,25,24,21,22,23,30
3,2:07,5v5,PHI,10,w,32,,,oc,,,,y,,,,,,6,1,20020,10/10/2015,FLA,PHI,,,,11,17,68,5,44,1,,10,76,78,32,55,30
3,0:34,5v5,PHI,23,w,14,,,opl,,,,,,,,,,6,1,20020,10/10/2015,FLA,PHI,,,,21,63,36,7,51,1,,10,14,24,23,82,30
1,18:46,5v5,PHI,82,s,93,,,opl,,,,,,,,,,0,1,20035,10/12/2015,PHI,FLA,30,1,,21,63,36,6,7,1,,28,93,12,3,82,30
1,18:29,5v4,FLA,27,w,5,27,68,oc,opr,oelc,y,,,,,,,0,30,20035,10/12/2015,PHI,FLA,45,35,,11,16,27,68,5,1,,76,78,15,23,30,0
1,17:25,5v4,FLA,73,o,18,51,18,orrl,ol,opl,,,,,,,,0,30,20035,10/12/2015,PHI,FLA,,,,21,73,18,36,51,1,,28,21,15,55,30,0
1,17:12,5v4,FLA,73,o,51,21,18,ol,opl,oc,,y,,,,,,0,30,20035,10/12/2015,PHI,FLA,,,,21,73,18,36,51,1,,28,21,15,55,30,0
1,17:04,5v4,FLA,36,o,18,73,,oelc,ol,,,,,,,,,0,30,20035,10/12/2015,PHI,FLA,,,,21,73,18,36,51,1,,28,21,15,55,30,0
1,16:29,5v4,FLA,11,o,68,,,oelrrc,,,y,,,,,,,0,30,20035,10/12/2015,PHI,FLA,,,,11,16,27,68,5,1,,76,78,3,23,30,0
1,16:23,5v4,FLA,27,w,68,5,,oc,ol,,,y,,,,,,0,30,20035,10/12/2015,PHI,FLA,,,,11,16,27,68,5,1,,76,78,3,23,30,0
1,0.66875,5v4,FLA,27,w,68,,,orrl,,,y,,,,,,,0,30,20035,10/12/2015,PHI,FLA,,,,11,16,27,68,5,1,,76,78,3,23,30,0
1,0.616666667,5v4,FLA,33,s,73,,,opr,,,,,,,,,,0,30,20035,10/12/2015,PHI,FLA,,,,17,73,22,86,33,1,,76,78,23,32,30,0
1,0.611805556,5v5,FLA,22,o,17,,,oelr,,,,y,,,,,,0,30,20035,10/12/2015,PHI,FLA,,,,17,22,86,33,44,1,,76,12,78,23,32,30
