Period,Time,Strength,Team,Shooter,Shot Type?,A1,A2,A3,A1 Zone,A2 Zone,A3 Zone,SC?,SOG?,Oddman,G?,RB,RB SOG?,RB G?,Home Score State,Goalie,Game ID,Date,Home:,Away: ,Home Goalies,Away Goalies,Habs,F,F,F,D,D,G/Extra Attacker,Leafs,F,F,F,D,D,G/Extra Attacker
2,15:15,5v5,PIT,3,s,87,12,,oprrr,or,,,,,,,,,-1,31,20039,10/13/2015,PIT,MTL,,,,17,32,21,76,79,31,,81,87,14,3,12,29
2,14:38,5v5,MTL,28,s,51,15,,opc,orrr,,,,,,,,,-1,29,20039,10/13/2015,PIT,MTL,,,,51,22,15,28,77,31,,13,19,14,3,12,29
2,14:04,5v5,MTL,26,s,11,14,67,oc,ol,ol,,y,,,,,,0,29,20039,10/13/2015,PIT,MTL,,,,14,11,67,26,74,31,,71,72,57,28,58,29
2,13:25,5v5,PIT,28,s,87,81,14,oprrc,oc,,,,,,,,,0,31,20039,10/13/2015,PIT,MTL,,,,27,32,81,76,79,31,,81,87,14,28,58,29
2,13:14,5v5,PIT,81,w,58,81,,oc,ol,,y,y,,,,,,0,31,20039,10/13/2015,PIT,MTL,,,,27,32,81,76,79,31,,81,87,14,28,58,29
2,13:01,5v5,PIT,28,s,58,87,14,oprrr,opr,or,,,,,,,,0,31,20039,10/13/2015,PIT,MTL,,,,27,32,81,76,79,31,,81,87,14,28,58,29
2,11:15,5v4,MTL,67,w,26,28,14,or,opc,ol,y,y,,y,,,,0,29,20039,10/13/2015,PIT,MTL,,,,14,11,67,26,28,31,,7,13,4,12,29,0
2,10:24,5v5,PIT,57,w,71,12,,ol,dc,,,y,,,,,,-1,31,20039,10/13/2015,PIT,MTL,,,,17,32,21,76,79,31,,71,72,57,3,12,29
2,10:11,5v5,PIT,12,s,71,72,57,orrl,oc,ol,,,,,,,,-1,31,20039,10/13/2015,PIT,MTL,,,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference
2,10:01,5v5,PIT,81,w,12,3,,oc,nc,,y,y,,,,,,-1,31,20039,10/13/2015,PIT,MTL,,,,32,51,22,76,79,31,,71,81,14,28,58,29
2,9:51,5v5,PIT,58,w,81,71,,oelc,ol,,y,y,,y,,,,-1,31,20039,10/13/2015,PIT,MTL,,,,32,51,22,76,79,31,,71,81,14,28,58,29
2,8:52,5v5,PIT,13,w,19,4,13,ol,ol,of,,y,,,,,,0,31,20039,10/13/2015,PIT,MTL,,,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference
2,8:25,5v5,PIT,4,s,19,11,7,opl,ol,of,,,,,,,,0,31,20039,10/13/2015,PIT,MTL,,,,27,81,13,26,77,31,,13,19,61,4,8,29
2,7:55,5v5,PIT,4,s,11,7,11,opl,oell,oc,,,,,,,,0,31,20039,10/13/2015,PIT,MTL,,,,17,32,21,28,77,31,,7,11,19,4,8,29
2,7:34,5v5,MTL,15,s,22,79,,nl,nl,,y,y,,,,,,0,29,20039,10/13/2015,PIT,MTL,,,,51,22,15,76,79,31,,11,71,72,4,8,29
2,4:03,5v5,MTL,67,w,74,,,ol,,,,,,,,,,0,29,20039,10/13/2015,PIT,MTL,,,,14,11,67,26,74,31,,81,87,14,28,58,29
2,3:49,5v5,MTL,11,w,26,,,or,,,,y,,,,,,0,29,20039,10/13/2015,PIT,MTL,,,,14,11,67,26,74,31,,81,87,14,28,58,29
2,3:35,5v5,PIT,87,b,81,28,,nc,dl,,,y,,,,,,0,31,20039,10/13/2015,PIT,MTL,,,,14,11,67,26,74,31,,81,87,14,28,58,29
2,2:43,5v5,PIT,13,w,41,12,3,oc,nsc,dc,y,y,,,,,,0,31,20039,10/13/2015,PIT,MTL,,,,17,21,15,76,77,31,,11,13,41,4,8,29
2,2:34,5v5,PIT,11,b,13,11,,ol,ol,,y,y,,,13,y,,0,31,20039,10/13/2015,PIT,MTL,,,,17,21,15,76,77,31,,11,13,41,4,8,29
2,1:38,5v5,MTL,13,w,61,,,nc,,,,,,,,,,0,29,20039,10/13/2015,PIT,MTL,,,,27,81,13,26,74,31,,71,72,57,28,58,29
2,1:33,5v5,MTL,27,w,13,,,or,,,,y,,,,,,0,29,20039,10/13/2015,PIT,MTL,,,,27,81,13,26,74,31,,71,72,57,28,58,29
2,1:14,5v5,MTL,81,s,74,27,,dsc,nc,,,y,,,,,,0,29,20039,10/13/2015,PIT,MTL,,,,27,81,13,26,74,31,,71,72,57,28,58,29
2,0:50,5v5,MTL,11,w,74,,,nsc,,,y,y,,,,,,0,29,20039,10/13/2015,PIT,MTL,,,,27,81,11,26,74,31,,87,72,57,28,58,29
2,0:34,5v5,MTL,67,w,76,,,nl,,,,y,,,,,,0,29,20039,10/13/2015,PIT,MTL,,,,14,11,67,76,79,31,,81,87,14,3,12,29
2,0:03,5v5,PIT,12,w,14,,,opr,,,,,,,,,,0,31,20039,10/13/2015,PIT,MTL,,,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference
3,18:54,5v5,MTL,32,w,76,,,dc,,,,y,,,,,,0,29,20039,10/13/2015,PIT,MTL,,,,17,32,21,76,79,31,,81,87,14,4,8,29
3,18:00,5v5,MTL,22,w,51,15,,orrc,oelr,,y,y,,,,,,0,29,20039,10/13/2015,PIT,MTL,,,,51,22,15,28,77,31,,7,19,61,3,12,29
3,17:29,5v5,MTL,81,s,27,28,,ol,ol,,y,y,,,,,,0,29,20039,10/13/2015,PIT,MTL,,,,27,81,13,28,77,31,,7,11,41,28,58,29
3,16:49,5v5,MTL,67,s,11,14,,orrc,orrc,,,,,,,,,0,29,20039,10/13/2015,PIT,MTL,,,,14,11,67,26,74,31,,71,72,57,8,28,29
3,16:43,5v5,MTL,26,w,14,,,opr,,,,,,,11,,,0,29,20039,10/13/2015,PIT,MTL,,,,14,11,67,26,74,31,,71,72,57,8,28,29
3,16:17,5v5,MTL,67,s,26,,,dsc,,,,y,,,,,,0,29,20039,10/13/2015,PIT,MTL,,,,17,21,67,76,79,31,,81,87,14,3,12,29
3,15:38,5v5,MTL,32,w,17,21,32,oc,ol,ol,y,,,,,,,0,29,20039,10/13/2015,PIT,MTL,,,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference
3,14:40,5v5,MTL,15,w,51,22,,oell,nc,,y,y,,y,,,,0,29,20039,10/13/2015,PIT,MTL,,,,51,22,15,28,77,31,,13,19,61,28,58,29
3,14:30,5v5,MTL,26,s,13,81,,oc,oelc,,,,,,,,,-1,29,20039,10/13/2015,PIT,MTL,,,,27,81,13,26,74,31,,7,11,41,4,8,29
3,13:53,5v5,PIT,12,w,7,41,7,oelpc,oell,ol,,,,,,,,-1,31,20039,10/13/2015,PIT,MTL,,,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference
3,13:20,5v5,MTL,67,s,79,,,orrl,,,y,,,,,,,-1,29,20039,10/13/2015,PIT,MTL,,,,14,11,67,76,79,31,,71,72,57,28,58,29
3,12:08,5v4,PIT,58,s,81,72,58,opl,oelc,oc,,y,,,,,,-1,31,20039,10/13/2015,PIT,MTL,,,,81,15,26,74,31,0,,71,81,87,72,58,29
3,10:24,4v5,MTL,14,s,67,14,67,oc,oc,dr,y,y,,,,,,-1,29,20039,10/13/2015,PIT,MTL,,,,14,67,74,77,31,0,,19,14,57,3,28,29
3,9:43,5v5,MTL,15,w,51,15,,orrl,nc,,y,y,,,,,,-1,29,20039,10/13/2015,PIT,MTL,,,,51,22,15,28,77,31,,7,11,41,4,8,29
3,7:44,5v5,PIT,13,w,19,4,,orrc,ol,,y,,,,,,,-1,31,20039,10/13/2015,PIT,MTL,,,,17,32,21,26,74,31,,13,19,61,4,8,29
3,6:42,5v5,PIT,3,w,81,3,87,orrc,oc,nc,y,y,,,,,,-1,31,20039,10/13/2015,PIT,MTL,,,,51,11,15,76,79,31,,81,87,14,3,12,29
3,6:34,5v5,PIT,12,w,87,,,opr,,,,y,,,,,,-1,31,20039,10/13/2015,PIT,MTL,,,,51,11,15,28,77,31,,81,87,57,3,12,29
3,6:03,5v5,PIT,28,s,71,,,of,,,,,,,,,,-1,31,20039,10/13/2015,PIT,MTL,,,,14,32,67,26,74,31,,71,72,57,28,58,29
3,5:18,5v5,MTL,11,w,26,,,dsc,,,,y,,,,,,-1,29,20039,10/13/2015,PIT,MTL,,,,14,11,67,26,74,31,,13,19,41,28,58,29
3,5:04,5v5,PIT,58,s,13,,,dr,,,,y,,,,,,-1,31,20039,10/13/2015,PIT,MTL,,,,14,11,67,28,77,31,,13,19,41,28,58,29
3,3:56,5v5,PIT,4,s,11,,,orrl,,,,y,,,,,,-1,31,20039,10/13/2015,PIT,MTL,,,,51,22,15,28,77,31,,11,72,57,4,8,29
3,2:20,5v5,PIT,58,s,3,87,71,opr,oelpr,oelc,,y,,,,,,-1,31,20039,10/13/2015,PIT,MTL,,,,14,11,67,76,79,31,,71,81,87,3,58,29
3,2:19,5v5,PIT,87,s,71,,,orrc,,,y,y,,,,,,-1,31,20039,10/13/2015,PIT,MTL,,,,14,11,67,76,79,31,,71,81,87,3,58,29
3,2:13,5v5,PIT,19,s,12,13,,opr,of,,,y,,,,,,-1,31,20039,10/13/2015,PIT,MTL,,,,17,32,81,26,74,31,,13,19,14,3,12,29
3,1:20,6v5,PIT,58,s,71,81,58,opr,orrc,nc,,y,,,,,,-1,31,20039,10/13/2015,PIT,MTL,,,,51,22,15,26,74,31,,71,81,87,72,28,58
1,19:20,5v5,BOS,63,w,54,47,,dl,dr,,,y,,,,,,0,31,20018,10/10/2015,BOS,MTL,40,31,,14,11,67,76,79,31,,37,63,21,47,54,40
1,19:13,5v5,MTL,67,w,76,,,dsr,,,,y,,,,,,0,40,20018,10/10/2015,BOS,MTL,,,,14,11,67,76,79,31,,37,63,21,47,54,40
1,19:02,5v5,BOS,47,w,21,63,,opr,dl,,,y,,,37,,,0,31,20018,10/10/2015,BOS,MTL,,,,14,11,67,76,79,31,,37,63,21,47,86,40
1,18:35,5v4,MTL,51,o,79,27,76,orrc,orrr,or,y,y,,,51,y,y,0,40,20018,10/10/2015,BOS,MTL,,,,27,51,13,76,79,31,,37,63,45,86,40,0
1,18:20,5v5,BOS,88,s,46,,,nl,,,,y,,,,,,-1,31,20018,10/10/2015,BOS,MTL,,,,14,11,67,28,77,31,,46,88,39,47,54,40
1,17:25,5v5,MTL,21,b,17,28,17,oc,ol,opl,y,y,,,,,,-1,40,20018,10/10/2015,BOS,MTL,,,,17,32,21,28,77,31,,23,25,36,52,54,40
1,16:24,4v5,MTL,17,b,81,,,nl,,,,y,,,,,,-1,40,20018,10/10/2015,BOS,MTL,,,,17,81,26,74,31,0,,37,46,51,21,47,40
1,15:58,5v4,BOS,47,w,46,,,oc,,,y,,,,,,,-1,31,20018,10/10/2015,BOS,MTL,,,,14,81,26,74,31,0,,37,46,51,21,47,40
1,15:05,5v4,BOS,48,w,52,48,11,oc,opr,opl,,y,,,,,,-1,31,20018,10/10/2015,BOS,MTL,,,,32,21,76,77,31,0,,63,11,14,48,52,40
1,14:16,5v4,MTL,76,o,67,51,79,opr,oc,orrl,,y,,,,,,-1,40,20018,10/10/2015,BOS,MTL,,,,27,51,13,76,79,31,,23,21,47,86,40,0
1,12:26,5v5,MTL,11,w,26,28,,dsc,dl,,,,,,,,,-1,40,20018,10/10/2015,BOS,MTL,,,,17,32,11,74,77,31,,51,14,21,47,54,40
1,12:11,5v5,MTL,11,t,67,76,67,or,or,opr,y,,,,,,,-1,40,20018,10/10/2015,BOS,MTL,,,,14,11,67,74,77,31,,37,51,14,52,86,40
1,11:30,5v5,MTL,22,o,51,76,,or,or,,,,,,,,,-1,40,20018,10/10/2015,BOS,MTL,,,,51,22,15,76,79,31,,46,88,39,45,48,40
1,11:12,5v5,BOS,48,t,88,,,orrl,,,y,,,,,,,-1,31,20018,10/10/2015,BOS,MTL,,,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference
1,10:22,5v5,MTL,28,w,17,21,32,opr,oelr,or,,,,,,,,-1,40,20018,10/10/2015,BOS,MTL,,,,17,32,21,28,77,31,,37,63,21,47,54,40
1,10:12,4v4,MTL,67,w,76,79,,or,oc,,,,,,,,,-1,40,20018,10/10/2015,BOS,MTL,,,,14,67,76,79,31,0,,37,63,45,86,40,0
1,9:27,4v4,MTL,74,o,14,74,,opl,oc,,,,,,,,,-1,40,20018,10/10/2015,BOS,MTL,,,,27,81,74,76,31,0,,46,63,45,86,40,0
1,8:58,4v4,BOS,88,w,46,,,nl,,,,y,,,,,,-1,31,20018,10/10/2015,BOS,MTL,,,,27,81,74,76,31,0,,51,88,47,48,40,0
1,8:46,4v4,BOS,88,w,47,,,ol,,,y,y,,,88,y,,-1,31,20018,10/10/2015,BOS,MTL,,,,27,81,74,76,31,0,,51,88,47,48,40,0
1,8:32,4v4,BOS,14,t,51,,,ol,,,y,,,,,,,-1,31,20018,10/10/2015,BOS,MTL,,,,51,15,28,77,31,0,,51,14,47,48,40,0
1,8:02,5v5,MTL,26,s,11,,,opr,,,,,,,,,,-1,40,20018,10/10/2015,BOS,MTL,,,,14,11,15,26,74,31,,51,63,14,47,48,40
1,6:41,5v5,BOS,52,o,23,25,,opl,ol,,,,,,,,,-1,31,20018,10/10/2015,BOS,MTL,,,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference
1,5:38,5v5,BOS,47,o,88,54,47,opl,orrr,opc,,,,,,,,-1,31,20018,10/10/2015,BOS,MTL,,,,17,32,21,76,79,31,,46,88,39,47,54,40
1,5:11,5v5,MTL,22,b,15,74,,nc,dsl,,,y,,,,,,-1,40,20018,10/10/2015,BOS,MTL,,,,51,22,15,26,74,31,,51,11,14,45,48,40
1,5:06,5v5,MTL,79,o,13,81,,opc,of,,,,,,,,,-1,40,20018,10/10/2015,BOS,MTL,,,,27,81,13,76,79,31,,46,88,39,47,54,40
1,3:48,5v5,MTL,76,o,67,14,79,opr,orrl,ol,,,,,,,,-1,40,20018,10/10/2015,BOS,MTL,,,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference
1,3:21,5v5,MTL,67,w,76,67,11,or,opr,or,,y,,,,,,-1,40,20018,10/10/2015,BOS,MTL,,,,14,11,67,76,79,31,,23,21,52,86,40,0
1,2:18,5v5,BOS,88,w,45,,,ol,,,,,,,,,,-1,31,20018,10/10/2015,BOS,MTL,,,,51,22,15,26,28,31,,46,88,39,52,86,40
1,2:14,5v5,BOS,39,o,46,,,of,,,,,,,,,,-1,31,20018,10/10/2015,BOS,MTL,,,,17,32,21,74,77,31,,46,88,39,52,86,40
1,1:02,5v5,MTL,79,w,76,22,,opc,opr,,,y,,,,,,-1,40,20018,10/10/2015,BOS,MTL,,,,51,22,15,76,79,31,,51,11,14,47,54,40
1,0:10,5v5,BOS,21,w,63,,,dsl,,,,,,,,,,-1,31,20018,10/10/2015,BOS,MTL,,,,14,81,11,26,74,31,,23,63,21,47,54,40
2,19:32,5v5,MTL,14,s,11,,,oc,,,,,,,,,,-1,40,20018,10/10/2015,BOS,MTL,,,,14,11,67,76,79,31,,37,63,21,47,54,40
2,19:18,5v5,MTL,79,s,67,11,,opr,or,,,,,,,,,-1,40,20018,10/10/2015,BOS,MTL,,,,14,11,67,76,79,31,,37,63,21,47,54,40
2,19:10,5v5,MTL,14,w,11,76,,or,nr,,y,y,,,,,,-1,40,20018,10/10/2015,BOS,MTL,,,,14,11,67,26,76,31,,37,63,21,47,54,40
2,17:45,5v5,MTL,81,o,13,81,27,orrc,oc,nc,y,y,,y,,,,-1,40,20018,10/10/2015,BOS,MTL,,,,27,81,13,76,79,31,,46,88,39,52,86,40
2,17:11,5v5,MTL,28,w,32,17,,nr,dr,,,y,,,,,,-2,40,20018,10/10/2015,BOS,MTL,,,,17,32,21,28,77,31,,46,88,39,52,86,40
2,16:15,5v5,MTL,22,s,28,51,,nc,nc,,,y,,,,,,-2,40,20018,10/10/2015,BOS,MTL,,,,51,22,15,28,77,31,,23,25,36,45,48,40
2,16:08,5v5,MTL,22,o,15,51,77,oelc,or,or,y,,,,,,,-2,40,20018,10/10/2015,BOS,MTL,,,,51,22,15,28,77,31,,23,25,36,45,48,40
2,14:38,5v5,MTL,17,w,76,79,,nr,dr,,,y,,,17,y,,-2,40,20018,10/10/2015,BOS,MTL,,,,17,81,13,76,79,31,,46,11,14,52,86,40
2,14:15,5v5,MTL,32,b,76,79,,dsr,dl,,,y,,,,,,-2,40,20018,10/10/2015,BOS,MTL,,,,17,32,21,26,74,31,,46,88,39,52,86,40
2,14:02,5v5,BOS,54,s,37,,,nf,,,,y,,,,,,-2,31,20018,10/10/2015,BOS,MTL,,,,14,11,67,26,74,31,,37,63,21,47,54,40
2,12:58,5v5,MTL,22,t,79,15,,ol,nr,,y,,,,,,,-2,40,20018,10/10/2015,BOS,MTL,,,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference
2,12:47,5v5,BOS,48,w,23,,,dl,,,,,,,,,,-2,31,20018,10/10/2015,BOS,MTL,,,,27,81,13,28,76,31,,23,25,36,45,48,40
2,12:38,5v5,MTL,81,s,76,79,,dsr,dc,,y,y,,,,,,-2,40,20018,10/10/2015,BOS,MTL,,,,27,81,13,28,76,31,,51,11,14,52,86,40
2,12:20,5v5,MTL,77,w,13,28,,opl,opl,,,,,,,,,-2,40,20018,10/10/2015,BOS,MTL,,,,27,81,13,28,77,31,,51,11,14,52,86,40
2,12:13,5v5,MTL,81,o,27,13,,ol,orrc,,y,y,,y,,,,-2,40,20018,10/10/2015,BOS,MTL,,,,27,81,13,28,77,31,,51,11,14,52,86,40
2,11:29,5v4,BOS,47,s,48,47,21,opr,opl,opl,,y,,,,,,-2,31,20018,10/10/2015,BOS,MTL,,,,17,21,76,79,31,0,,37,46,51,21,47,40
2,10:09,5v4,BOS,63,b,46,47,46,or,oc,opl,y,y,,,,,,-2,31,20018,10/10/2015,BOS,MTL,,,,17,21,26,77,31,0,,46,63,14,39,47,40
2,9:12,5v5,MTL,77,w,51,22,,opr,or,,,y,,,,,,-2,40,20018,10/10/2015,BOS,MTL,,,,51,22,15,28,77,31,,23,25,36,48,52,40
2,9:09,5v5,MTL,28,s,77,,,opc,,,,,,,,,,-2,40,20018,10/10/2015,BOS,MTL,,,,51,22,15,28,77,31,,23,25,36,48,52,40
2,7:40,5v5,MTL,67,w,11,79,76,nsr,dl,dc,,y,,,,,,-2,40,20018,10/10/2015,BOS,MTL,,,,14,11,67,76,79,31,,51,11,88,45,54,40
2,7:09,5v5,BOS,37,o,63,,,oell,,,y,y,,,,,,-2,31,20018,10/10/2015,BOS,MTL,,,,14,11,67,76,79,31,,37,63,21,47,86,40
2,6:23,5v5,MTL,17,o,21,32,,orrr,nr,,y,,,,,,,-2,40,20018,10/10/2015,BOS,MTL,,,,17,32,21,28,77,31,,23,25,36,45,48,40
2,5:42,5v5,BOS,88,o,46,39,88,or,or,or,y,,,,,,,-2,31,20018,10/10/2015,BOS,MTL,,,,51,22,15,28,77,31,,46,88,39,52,54,40
2,5:36,5v5,BOS,39,w,46,,,oc,,,y,y,,y,,,,-2,31,20018,10/10/2015,BOS,MTL,,,,51,22,15,28,77,31,,46,88,39,52,54,40
2,4:24,5v5,MTL,13,w,27,,,dr,,,,y,,,,,,-2,40,20018,10/10/2015,BOS,MTL,,,,27,81,13,77,79,31,,46,63,21,47,86,40
2,4:05,5v5,MTL,27,w,81,,,oelr,,,,,,,,,,-2,40,20018,10/10/2015,BOS,MTL,,,,27,81,13,76,79,31,,46,88,39,45,48,40
2,2:41,5v5,MTL,51,a,22,15,,or,oelc,,y,y,,,,,,-2,40,20018,10/10/2015,BOS,MTL,,,,51,22,15,26,74,31,,51,11,14,45,48,40
2,2:24,5v5,MTL,22,w,15,,,nl,,,,y,,,,,,-2,40,20018,10/10/2015,BOS,MTL,,,,51,22,67,26,74,31,,51,11,14,48,52,40
2,1:38,5v5,MTL,67,o,11,67,,ol,ol,,,y,,,,,,-2,40,20018,10/10/2015,BOS,MTL,,,,14,11,67,76,79,31,,37,63,21,52,54,40
2,0:31,5v5,MTL,27,w,32,26,,ol,nl,,,y,,,32,,,-2,40,20018,10/10/2015,BOS,MTL,,,,27,32,21,26,74,31,,23,25,36,45,47,40
2,0:01,5v5,MTL,28,w,15,77,,opr,opr,,,y,,,,,,-2,40,20018,10/10/2015,BOS,MTL,,,,17,21,15,28,77,31,,23,25,36,45,54,40
3,19:33,5v5,BOS,47,w,51,,,ofp,,,,,,,,,,-2,31,20018,10/10/2015,BOS,MTL,,,,14,11,67,76,79,31,,37,63,21,47,48,40
3,18:42,5v5,MTL,81,w,13,79,,oc,dl,,y,y,,,,,,-2,40,20018,10/10/2015,BOS,MTL,,,,27,81,13,76,79,31,,46,88,39,52,86,40
3,18:18,5v5,MTL,81,w,13,,,oc,,,,,,,,,,-2,40,20018,10/10/2015,BOS,MTL,,,,27,81,13,76,79,31,,46,88,39,52,86,40
3,17:41,5v5,BOS,45,w,36,23,48,oelr,oell,ol,,,,,,,,-2,31,20018,10/10/2015,BOS,MTL,,,,51,22,15,28,77,31,,23,25,36,45,48,40
3,16:35,5v5,MTL,32,o,11,76,27,orrr,oc,nl,y,,,,,,,-2,40,20018,10/10/2015,BOS,MTL,,,,27,81,13,76,79,31,,23,21,47,86,40,0
3,16:27,5v4,MTL,79,s,81,,,ofp,,,,y,,,,,,-2,40,20018,10/10/2015,BOS,MTL,,,,27,81,13,76,79,31,,23,21,47,86,40,0
3,14:18,5v4,MTL,76,o,15,51,76,oelr,or,oc,,y,,,,,,-2,40,20018,10/10/2015,BOS,MTL,,,,51,22,15,76,79,31,,25,46,47,86,40,0
3,13:51,5v4,MTL,76,o,76,51,,or,oelr,,,,,,,,,-2,40,20018,10/10/2015,BOS,MTL,,,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference
3,12:37,5v4,MTL,26,o,28,67,28,opr,oelc,oc,,y,,,,,,-2,40,20018,10/10/2015,BOS,MTL,,,,14,11,13,67,26,28,,37,63,47,86,40,0
3,11:11,5v4,MTL,76,w,13,76,,opr,oc,,,,,,,,,-2,40,20018,10/10/2015,BOS,MTL,,,,27,13,67,76,79,31,,23,88,54,86,40,0
3,10:12,5v5,MTL,11,w,14,11,,oc,ol,,y,y,,,,,,-2,40,20018,10/10/2015,BOS,MTL,,,,14,11,15,74,77,31,,25,46,63,45,47,40
3,8:44,5v5,MTL,22,o,51,15,,orrc,or,,y,y,,,,,,-2,40,20018,10/10/2015,BOS,MTL,,,,51,22,15,76,79,31,,46,88,39,45,48,40
3,7:41,5v4,MTL,76,s,26,67,26,opc,or,opr,,,,,,,,-2,40,20018,10/10/2015,BOS,MTL,,,,14,11,67,26,76,31,,23,21,45,86,40,0
3,7:38,5v4,MTL,76,w,26,76,14,opl,opc,opr,,,,,,,,-2,40,20018,10/10/2015,BOS,MTL,,,,14,11,67,26,76,31,,23,21,45,86,40,0
3,7:08,5v4,MTL,76,w,26,76,14,opl,opr,or,,,,,,,,-2,40,20018,10/10/2015,BOS,MTL,,,,14,11,67,26,76,31,,23,21,45,86,40,0
3,6:50,5v4,MTL,77,w,13,27,81,ol,opc,nl,,y,,,,,,-2,40,20018,10/10/2015,BOS,MTL,,,,27,81,13,28,77,31,,25,46,47,54,40,0
3,5:34,5v5,BOS,37,w,88,86,47,nl,dl,dr,,y,,,,,,-2,31,20018,10/10/2015,BOS,MTL,,,,51,22,15,76,79,31,,37,63,14,47,86,40
3,5:13,5v5,MTL,15,w,79,22,79,orrl,oc,ol,y,,,,,,,-2,40,20018,10/10/2015,BOS,MTL,,,,51,22,15,76,79,31,,37,63,14,47,86,40
3,4:53,5v5,BOS,14,w,23,,,dr,,,,,,,,,,-2,31,20018,10/10/2015,BOS,MTL,,,,51,22,67,28,79,31,,37,11,14,45,48,40
