Period,Time,Strength,Team,Shooter,Shot Type?,A1,A2,A3,A1 Zone,A2 Zone,A3 Zone,SC?,SOG?,Oddman,G?,RB,RB SOG?,RB G?,Home Score State,Goalie,Game ID,Date,Home:,Away: ,Home Goalies,Away Goalies,STL,F,F,F,D,D,G/Extra Attacker,OPP,F,F,F,D,D,G/Extra Attacker
2,3:40,5v4,STL,55,o,15,55,15,opr,oc,opr,,,,,,,,0,30,20129,10/27/2015,STL,T.B,,,,12,15,36,27,55,34,,37,63,44,54,40,0
2,3:00,5v5,BOS,11,t,72,51,,orrc,nc,,y,,,,,,,0,34,20129,10/27/2015,STL,T.B,,,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference
2,1:24,5v5,BOS,37,w,63,47,,dl,dl,,,,,,,,,0,34,20129,10/27/2015,STL,T.B,,,,42,91,20,22,55,34,,37,63,14,47,54,40
2,1:08,5v5,STL,55,w,20,,,opl,,,,,,,,,,0,30,20129,10/27/2015,STL,T.B,,,,26,91,20,22,55,34,,37,63,14,33,47,40
3,19:22,5v5,BOS,21,w,54,46,47,dsc,dr,dc,,y,,,,,,0,34,20129,10/27/2015,STL,T.B,,,,26,91,56,22,55,34,,46,21,39,47,54,40
3,18:31,5v5,BOS,63,w,37,,,oc,,,,,,,,,,0,34,20129,10/27/2015,STL,T.B,,,,12,15,10,6,22,34,,37,63,14,44,48,40
3,17:14,5v5,STL,6,b,23,,,or,,,y,,,,,,,0,30,20129,10/27/2015,STL,T.B,,,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference
3,16:31,5v5,BOS,33,s,46,,,opr,,,,,,,,,,0,34,20129,10/27/2015,STL,T.B,,,,42,91,56,19,27,34,,46,21,39,33,54,40
3,15:58,5v5,BOS,14,w,54,14,63,or,or,dl,,,,,,,,0,34,20129,10/27/2015,STL,T.B,,,,26,91,56,22,55,34,,37,63,14,33,54,40
3,15:49,5v5,BOS,33,w,54,63,37,opr,opr,ol,,,,,,,,0,34,20129,10/27/2015,STL,T.B,,,,26,91,56,22,55,34,,37,63,14,33,54,40
3,14:49,5v5,BOS,72,w,21,46,,or,nr,,y,,,,,,,0,34,20129,10/27/2015,STL,T.B,,,,36,42,20,19,27,34,,46,72,21,47,86,40
3,12:25,5v5,STL,91,w,56,42,,nsc,dr,,y,y,1 on 0,y,,,,0,30,20129,10/27/2015,STL,T.B,,,,26,91,56,6,41,34,,46,21,39,44,48,40
3,11:44,5v5,STL,15,s,6,,,nc,,,,y,,,,,,-1,30,20129,10/27/2015,STL,T.B,,,,12,15,36,6,55,34,,37,63,11,33,47,40
3,11:13,5v5,STL,36,w,22,,,ol,,,y,,,,22,y,,-1,30,20129,10/27/2015,STL,T.B,,,,36,42,20,22,55,34,,37,63,14,33,54,40
3,10:16,5v5,STL,26,o,10,56,,orrc,oelr,,y,y,,,,,,-1,30,20129,10/27/2015,STL,T.B,,,,26,10,56,6,41,34,,46,21,39,44,48,40
3,10:00,5v5,BOS,29,w,37,54,63,oc,dsc,nl,,,,,,,,-1,34,20129,10/27/2015,STL,T.B,,,,26,91,56,22,55,34,,29,37,63,33,54,40
3,9:35,5v5,STL,27,w,10,,,ofp,,,,y,,,,,,-1,30,20129,10/27/2015,STL,T.B,,,,12,15,10,19,27,34,,29,37,63,33,54,40
3,9:05,5v5,BOS,51,w,47,51,86,nr,dl,dl,,y,,,,,,-1,34,20129,10/27/2015,STL,T.B,,,,12,15,36,19,27,34,,51,72,11,47,86,40
3,7:50,5v5,BOS,46,w,54,,,nr,,,,,,,,,,-1,34,20129,10/27/2015,STL,T.B,,,,23,33,75,22,55,34,,46,21,39,33,54,40
3,7:27,5v5,STL,75,w,23,55,,ol,dsl,,,y,,,,,,-1,30,20129,10/27/2015,STL,T.B,,,,23,33,75,19,27,34,,37,21,39,47,86,40
3,7:10,5v5,STL,15,w,27,19,,dsr,dc,,y,y,,y,,,,-1,30,20129,10/27/2015,STL,T.B,,,,12,15,10,19,27,34,,29,37,63,44,54,40
3,6:10,5v5,BOS,72,w,11,,,ol,,,,y,,,,,,-2,34,20129,10/27/2015,STL,T.B,,,,26,91,56,6,41,34,,51,72,11,47,86,40
3,5:50,5v5,BOS,51,w,47,,,opr,,,,,,,,,,-2,34,20129,10/27/2015,STL,T.B,,,,26,91,56,19,27,34,,51,72,11,33,47,40
3,5:10,5v5,BOS,39,o,21,46,44,orrl,oc,dl,,,,,,,,-2,34,20129,10/27/2015,STL,T.B,,,,12,15,75,22,55,34,,46,21,39,44,54,40
3,4:07,5v5,BOS,33,o,11,51,,opl,oelc,,,,,,,,,-2,34,20129,10/27/2015,STL,T.B,,,,33,36,42,19,27,34,,51,72,11,33,48,40
3,3:17,5v5,BOS,21,t,46,21,33,oelc,nc,nc,y,,,,39,,,-2,34,20129,10/27/2015,STL,T.B,,,,26,91,56,22,55,34,,46,21,39,33,47,40
3,3:16,5v5,BOS,21,2C,,,,,,,y,y,,,,,,-2,34,20129,10/27/2015,STL,T.B,,,,26,91,56,22,55,34,,46,21,39,33,47,40
3,3:06,5v5,STL,56,w,22,26,,nr,dr,,y,y,,,,,,-2,30,20129,10/27/2015,STL,T.B,,,,26,10,56,22,55,34,,46,21,39,33,44,40
3,2:45,5v5,STL,55,w,22,26,,nr,dc,,,,,,,,,-2,30,20129,10/27/2015,STL,T.B,,,,26,10,56,22,55,34,,29,72,11,44,48,40
3,1:57,5v6,STL,20,w,42,36,,dc,dc,,,,,,,,,-2,,20129,10/27/2015,STL,T.B,,,,36,42,20,19,27,34,,37,46,51,63,21,47
3,0:38,6v5,BOS,11,t,48,33,72,ol,opr,opr,y,y,,,,,,-2,34,20129,10/27/2015,STL,T.B,,,,26,36,20,22,55,34,,72,11,14,39,33,48
1,18:43,5v5,STL,10,w,27,,,nr,,,,y,,,,,,0,31,20521,12/26/2015,STL,DAL,34,31,,12,15,10,19,27,34,,20,10,14,3,33,31
1,17:40,5v5,STL,26,w,56,,,oelc,,,y,,,,,,,0,31,20521,12/26/2015,STL,DAL,,,,26,91,56,4,41,34,,90,43,83,4,47,31
1,17:36,5v5,STL,91,w,41,,,oc,,,y,,,,,,,0,31,20521,12/26/2015,STL,DAL,,,,26,91,56,4,41,34,,90,43,83,4,47,31
1,16:13,5v5,DAL,24,w,91,,,ofp,,,,,,,,,,0,34,20521,12/26/2015,STL,DAL,,,,12,36,20,27,55,34,,91,10,14,2,24,31
1,15:44,5v5,DAL,91,w,14,91,,nc,dc,,,y,,,,,,0,34,20521,12/26/2015,STL,DAL,,,,15,10,42,19,27,34,,91,10,14,4,47,31
1,14:48,5v5,DAL,83,w,43,83,3,ol,nl,dsr,,,,,,,,0,34,20521,12/26/2015,STL,DAL,,,,26,91,56,22,55,34,,90,43,83,3,33,31
1,14:24,5v5,DAL,83,w,90,33,,orrl,ol,,y,,,,,,,0,34,20521,12/26/2015,STL,DAL,,,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference
1,11:55,5v5,STL,91,o,20,,,oell,,,,,,,,,,0,31,20521,12/26/2015,STL,DAL,,,,26,91,20,22,55,34,,20,22,21,2,24,31
1,11:33,5v5,DAL,4,s,90,,,opr,,,,y,,,,,,0,34,20521,12/26/2015,STL,DAL,,,,26,91,56,22,41,34,,90,43,83,4,47,31
1,11:16,5v5,STL,26,b,56,91,,oelc,oelc,,y,y,,,91,,,0,31,20521,12/26/2015,STL,DAL,,,,26,91,56,4,41,34,,90,43,83,4,47,31
1,11:00,5v5,STL,26,w,56,91,,oelr,or,,y,y,,,,,,0,31,20521,12/26/2015,STL,DAL,,,,26,36,56,4,41,34,,90,43,83,4,47,31
1,10:51,5v5,STL,4,s,41,26,,ol,opc,,,,,,,,,0,31,20521,12/26/2015,STL,DAL,,,,26,36,56,4,41,34,,90,43,83,4,47,31
1,10:38,5v5,STL,56,w,26,,,oelc,,,y,,,,,,,0,31,20521,12/26/2015,STL,DAL,,,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference
1,9:36,5v5,DAL,18,w,13,,,or,,,y,,,,,,,0,34,20521,12/26/2015,STL,DAL,,,,23,33,75,22,55,34,,13,18,38,3,33,31
1,9:27,5v5,STL,33,B,75,,,nr,,,,,,,,,,0,31,20521,12/26/2015,STL,DAL,,,,23,33,75,22,55,34,,13,18,38,3,33,31
1,9:11,5v5,STL,75,t,33,,,ol,,,y,,,,,,,0,31,20521,12/26/2015,STL,DAL,,,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference
1,4:50,5v5,STL,4,w,75,,,oelpc,,,,,,,,,,0,31,20521,12/26/2015,STL,DAL,,,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference
1,4:39,5v5,STL,4,s,41,74,,or,opr,,,,,,,,,0,31,20521,12/26/2015,STL,DAL,,,,12,15,75,4,41,34,,20,22,21,4,47,31
1,4:16,5v5,DAL,90,w,43,33,,nl,dc,,,y,,,,,,0,34,20521,12/26/2015,STL,DAL,,,,26,91,56,22,55,34,,90,43,83,3,33,31
1,3:53,5v5,DAL,83,w,90,3,,orrr,dsc,,y,,,,,,,0,34,20521,12/26/2015,STL,DAL,,,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference
1,3:37,5v5,DAL,83,s,33,,,opl,,,,,,,,,,0,34,20521,12/26/2015,STL,DAL,,,,26,91,56,22,55,34,,90,43,83,3,33,31
1,2:07,5v5,STL,41,s,10,23,,opr,or,,,,,,,,,0,31,20521,12/26/2015,STL,DAL,,,,10,23,33,4,41,34,,13,18,38,2,24,31
1,1:25,5v5,DAL,22,w,21,,,or,,,,y,,,,,,0,34,20521,12/26/2015,STL,DAL,,,,12,15,75,22,55,34,,20,22,21,3,33,31
1,1:13,5v5,STL,22,s,15,,,opr,,,,y,,,,,,0,31,20521,12/26/2015,STL,DAL,,,,12,15,75,22,27,34,,20,22,21,3,33,31
1,1:06,5v5,STL,91,w,56,26,,opc,of,,,,,,,,,0,31,20521,12/26/2015,STL,DAL,,,,12,15,75,22,27,34,,20,22,21,3,33,31
2,19:00,5v5,STL,26,w,55,,,oc,,,,y,,,,,,0,31,20521,12/26/2015,STL,DAL,,,,26,91,56,22,55,34,,20,22,21,3,33,31
2,18:49,5v5,STL,56,w,91,,,orrr,,,y,,,,,,,0,31,20521,12/26/2015,STL,DAL,,,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference
2,18:45,5v5,STL,55,w,26,,,opl,,,,,,,,,,0,31,20521,12/26/2015,STL,DAL,,,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference
2,18:07,5v4,STL,22,s,20,91,22,opr,ol,oc,,,,,,,,0,31,20521,12/26/2015,STL,DAL,,,,26,42,91,20,22,34,,22,38,4,47,31,0
2,18:00,5v4,STL,20,o,22,91,,oc,ol,,,y,,,26,y,,0,31,20521,12/26/2015,STL,DAL,,,,26,42,91,20,22,34,,22,38,4,47,31,0
2,17:36,5v4,STL,27,w,55,15,,oc,opr,,,y,,,,,,0,31,20521,12/26/2015,STL,DAL,,,,12,15,36,27,55,34,,20,14,2,24,31,0
2,16:49,5v4,STL,91,r,26,,,oc,,,y,,,,,,,0,31,20521,12/26/2015,STL,DAL,,,,26,42,91,22,55,34,,13,18,4,47,31,0
2,16:36,5v5,STL,91,w,42,22,,oelc,or,,y,y,,,,,,0,31,20521,12/26/2015,STL,DAL,,,,26,42,91,19,22,34,,13,90,4,33,47,31
2,16:19,5v5,STL,10,w,19,,,opc,,,,y,,,,,,0,31,20521,12/26/2015,STL,DAL,,,,26,10,42,19,22,34,,13,90,4,33,47,31
2,15:59,5v5,STL,19,w,36,,,opr,,,,y,,,,,,0,31,20521,12/26/2015,STL,DAL,,,,36,42,20,19,27,34,,91,10,14,2,3,31
2,15:56,5v5,STL,91,w,4,26,,opc,of,,,y,,,,,,0,31,20521,12/26/2015,STL,DAL,,,,26,91,56,4,41,34,,90,43,83,2,3,31
2,15:10,5v5,STL,26,w,56,91,,or,or,,y,y,,,,,,0,31,20521,12/26/2015,STL,DAL,,,,26,10,56,22,55,34,,90,43,83,3,33,31
2,14:36,5v5,STL,55,s,22,33,,or,opr,,,y,,,,,,0,31,20521,12/26/2015,STL,DAL,,,,23,33,75,22,55,34,,20,22,21,2,24,31
2,14:09,5v5,STL,4,w,10,4,12,orrr,oc,opc,y,,,,,,,0,31,20521,12/26/2015,STL,DAL,,,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference
2,13:54,5v4,STL,26,w,91,26,22,oelc,ol,oc,,,,,,,,0,31,20521,12/26/2015,STL,DAL,,,,26,42,91,20,22,34,,20,14,24,33,31,0
2,13:42,5v4,STL,20,s,22,20,91,ol,oc,opr,,y,,y,,,,0,31,20521,12/26/2015,STL,DAL,,,,26,42,91,20,22,34,,20,14,24,33,31,0
2,12:15,5v5,DAL,10,t,3,14,,oc,opc,,y,,,,91,,,1,34,20521,12/26/2015,STL,DAL,,,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference
2,11:45,5v5,DAL,22,w,20,14,3,orrc,or,dsc,y,y,,y,,,,1,34,20521,12/26/2015,STL,DAL,,,,23,33,75,19,27,34,,20,22,14,3,33,31
2,11:01,5v5,DAL,20,w,21,,,oc,,,,y,,,,,,0,34,20521,12/26/2015,STL,DAL,,,,12,15,10,22,55,34,,20,22,21,2,24,31
2,10:34,5v5,DAL,13,w,38,,,ol,,,,y,,,,,,0,34,20521,12/26/2015,STL,DAL,,,,26,91,56,4,41,34,,13,18,38,4,47,31
2,10:06,5v5,DAL,33,w,83,43,,opl,oelc,,,,,,,,,0,34,20521,12/26/2015,STL,DAL,,,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference
2,9:47,5v5,STL,55,w,23,,,opc,,,,,,,,,,0,31,20521,12/26/2015,STL,DAL,,,,23,33,75,22,55,34,,90,43,83,3,33,31
2,9:26,5v5,DAL,4,w,10,,,or,,,,y,,,,,,0,34,20521,12/26/2015,STL,DAL,,,,36,42,20,19,27,34,,91,10,14,4,47,31
2,8:43,5v5,STL,19,w,36,56,,or,oc,,,y,,,,,,0,31,20521,12/26/2015,STL,DAL,,,,26,36,56,19,27,34,,20,22,21,2,24,31
2,5:43,5v5,STL,36,w,20,36,,orrr,nc,,y,,,,,,,0,31,20521,12/26/2015,STL,DAL,,,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference
2,4:48,5v5,STL,91,o,26,,,ol,,,y,y,,,,,,0,31,20521,12/26/2015,STL,DAL,,,,26,91,56,19,55,34,,20,22,21,3,24,31
2,4:40,5v5,STL,19,w,26,91,,oell,ol,,,,,,91,,,0,31,20521,12/26/2015,STL,DAL,,,,26,91,56,19,55,34,,20,22,21,3,24,31
2,4:13,5v5,STL,91,s,56,27,,ol,oelpl,,,,,,,,,0,31,20521,12/26/2015,STL,DAL,,,,26,91,56,19,27,34,,20,22,21,3,24,31
2,3:20,5v5,STL,4,w,10,,,opr,,,,y,,,,,,0,31,20521,12/26/2015,STL,DAL,,,,12,15,10,4,41,34,,13,22,38,3,24,31
2,2:35,5v5,STL,36,w,42,,,oelc,,,y,,,,,,,0,31,20521,12/26/2015,STL,DAL,,,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference
2,2:18,5v5,DAL,38,r,43,,,oc,,,y,,,,,,,0,34,20521,12/26/2015,STL,DAL,,,,15,10,42,22,55,34,,90,43,83,3,33,31
2,1:55,5v5,STL,91,s,56,26,,opc,of,,,y,,,,,,0,31,20521,12/26/2015,STL,DAL,,,,26,91,56,4,41,34,,13,90,18,2,24,31
2,1:37,5v5,DAL,18,w,90,,,oelc,,,y,y,,,18,y,,0,34,20521,12/26/2015,STL,DAL,,,,26,91,56,4,41,34,,13,90,18,2,24,31
2,1:13,5v5,STL,20,s,55,,,ol,,,y,y,,,,,,0,31,20521,12/26/2015,STL,DAL,,,,23,36,20,22,55,34,,20,22,21,4,47,31
2,0:37,5v5,DAL,91,s,10,33,,nc,dc,,,y,,y,,,,0,34,20521,12/26/2015,STL,DAL,,,,23,75,20,19,22,34,,91,10,14,3,33,31
3,19:49,5v4,STL,22,w,91,22,,nr,nc,,,y,,,,,,-1,31,20521,12/26/2015,STL,DAL,,,,26,42,91,20,22,34,,22,38,33,47,31,0
3,18:30,5v4,STL,55,w,15,36,,oelpc,oelr,,,y,,,,,,-1,31,20521,12/26/2015,STL,DAL,,,,12,15,36,27,55,34,,13,14,2,24,31,0
3,18:03,5v5,STL,42,w,19,,,or,,,y,,,,,,,-1,31,20521,12/26/2015,STL,DAL,,,,42,91,20,4,19,34,,13,90,18,3,33,31
3,17:43,5v5,STL,20,w,42,20,,or,or,,y,y,,,,,,-1,31,20521,12/26/2015,STL,DAL,,,,23,42,20,4,19,34,,91,10,14,4,47,31
3,15:15,5v5,STL,91,w,26,,,ofp,,,,y,,,,,,-1,31,20521,12/26/2015,STL,DAL,,,,26,91,56,22,55,34,,13,90,18,4,47,31
3,14:45,5v5,STL,91,w,56,26,,orrl,nl,,y,,,,,,,-1,31,20521,12/26/2015,STL,DAL,,,,26,91,56,22,55,34,,91,10,14,3,33,31
3,13:43,5v5,STL,27,s,15,27,15,opr,oc,oelpl,,,,,,,,-1,31,20521,12/26/2015,STL,DAL,,,,12,15,23,19,27,34,,43,83,38,2,24,31
3,13:11,5v5,DAL,21,w,47,,,nc,,,,,,,,,,-1,34,20521,12/26/2015,STL,DAL,,,,36,42,20,22,55,34,,20,22,21,4,47,31
3,13:07,5v5,DAL,22,r,47,,,ol,,,y,,,,,,,-1,34,20521,12/26/2015,STL,DAL,,,,12,36,20,22,55,34,,20,22,21,4,47,31
3,11:34,5v5,DAL,47,s,91,,,oelpl,,,,,,,,,,-1,34,20521,12/26/2015,STL,DAL,,,,91,20,56,19,27,34,,91,43,10,4,47,31
3,11:14,5v5,DAL,4,w,20,,,ofp,,,,y,,,,,,-1,34,20521,12/26/2015,STL,DAL,,,,12,15,23,22,55,34,,20,22,21,4,47,31
3,10:53,5v5,STL,23,w,19,,,orrl,,,,,,,22,y,,-1,31,20521,12/26/2015,STL,DAL,,,,12,15,23,22,55,34,,13,90,18,4,47,31
3,10:46,5v5,DAL,18,w,13,90,,orrr,or,,y,,3 on 2,,,,,-1,34,20521,12/26/2015,STL,DAL,,,,12,15,23,22,55,34,,13,90,18,4,47,31
3,10:11,5v5,DAL,91,s,14,,,dr,,,,,,,,,,-1,34,20521,12/26/2015,STL,DAL,,,,36,42,20,19,27,34,,91,10,14,2,24,31
3,9:24,5v5,DAL,20,a,21,,,oelc,,,y,,,,22,,,-1,34,20521,12/26/2015,STL,DAL,,,,12,15,10,22,55,34,,20,22,21,4,47,31
3,8:33,5v5,DAL,10,w,33,,,ol,,,,,,,,,,-1,34,20521,12/26/2015,STL,DAL,,,,26,91,56,19,27,34,,91,10,14,3,33,31
3,8:28,5v5,STL,56,w,27,,,nc,,,,,,,,,,-1,31,20521,12/26/2015,STL,DAL,,,,26,91,56,19,27,34,,91,10,14,3,33,31
3,8:25,5v5,STL,23,w,12,,,of,,,y,y,,,,,,-1,31,20521,12/26/2015,STL,DAL,,,,12,15,23,22,55,34,,43,83,38,3,33,31
3,7:59,5v5,STL,22,w,36,22,,oc,ol,,y,,,,,,,-1,31,20521,12/26/2015,STL,DAL,,,,36,42,20,22,55,34,,91,10,14,2,24,31
3,5:56,5v5,STL,19,w,15,,,or,,,,,,,,,,-1,31,20521,12/26/2015,STL,DAL,,,,12,15,23,19,22,34,,13,90,18,4,47,31
3,5:05,5v4,STL,20,o,22,26,91,ol,oc,opr,,,,,,,,-1,31,20521,12/26/2015,STL,DAL,,,,26,42,91,20,22,34,,22,38,4,47,31,0
3,4:56,5v4,STL,20,w,91,22,,or,oc,,,,,,,,,-1,31,20521,12/26/2015,STL,DAL,,,,26,42,91,20,22,34,,22,38,4,47,31,0
3,4:35,5v4,STL,91,w,20,26,,or,oelc,,,y,,,,,,-1,31,20521,12/26/2015,STL,DAL,,,,26,42,91,20,22,34,,22,38,4,47,31,0
3,3:45,5v5,STL,55,w,27,,,oc,,,,,,,,,,-1,31,20521,12/26/2015,STL,DAL,,,,12,15,36,27,55,34,,13,20,14,24,33,31
3,3:37,5v5,STL,22,w,91,26,,ol,ofp,,,,,,,,,-1,31,20521,12/26/2015,STL,DAL,,,,26,91,56,19,22,34,,91,10,21,4,47,31
3,3:10,5v5,STL,55,w,26,,,ofp,,,,,,,,,,-1,31,20521,12/26/2015,STL,DAL,,,,26,91,20,27,55,34,,90,18,43,3,33,31
3,2:42,5v5,DAL,90,s,43,,,oell,,,,,,,,,,-1,34,20521,12/26/2015,STL,DAL,,,,26,91,20,27,55,34,,90,18,43,3,33,31
3,2:11,5v5,DAL,20,t,91,14,,or,ol,,y,y,,,,,,-1,34,20521,12/26/2015,STL,DAL,,,,36,42,20,19,22,34,,20,91,14,4,47,31
3,1:50,5v5,STL,15,s,19,,,oelc,,,y,y,,y,,,,-1,31,20521,12/26/2015,STL,DAL,,,,15,42,91,19,22,34,,20,91,21,4,47,31
3,0:08,5v5,STL,20,s,36,,,dl,,,,y,,,,,,0,31,20521,12/26/2015,STL,DAL,,,,26,36,20,19,27,34,,91,10,14,3,33,31
4,4:21,5v5,DAL,14,w,3,91,,oc,ol,,,y,,,,,,0,34,20521,12/26/2015,STL,DAL,,,,42,20,0,0,27,34,,91,14,0,0,3,31
4,3:23,4v4,STL,26,w,22,91,,orrc,oelc,,y,,,,,,,0,31,20521,12/26/2015,STL,DAL,,,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference
4,3:11,4v4,DAL,10,w,90,,,orrr,,,y,,,,,,,0,34,20521,12/26/2015,STL,DAL,,,,26,91,0,0,22,34,,90,10,0,0,33,31
4,2:20,4v4,STL,19,w,12,56,,orrc,ol,,y,y,,,,,,0,31,20521,12/26/2015,STL,DAL,,,,12,56,0,0,19,34,,13,91,0,0,33,31
4,1:44,4v4,STL,27,s,20,,,ol,,,,y,,,,,,0,31,20521,12/26/2015,STL,DAL,,,,42,20,0,0,27,34,,43,14,0,0,3,31
1,19:48,5v5,MTL,26,W,21,,,nc,,,,,,,,,,0,34,20085,10/20/2015,MTL,STL,31,34,,17,36,42,4,55,34,,17,32,21,26,74,31
