NameCode,Name,Pos,home,G,A1,A2,P,iHSC,iSC,iCF,C+/-,F+/-,G+/-,CF,FF,ZSO,ZSD,AB,FO_W,FO_L,HIT,HIT-,PN,PN-,TOI,CF60,CA60,CP60,FF60,FA60,FP60,SF60,SA60,BK,AB,MS,SH,SF,SA,GF,GA,FF,FA,CF,CA,SCF,SCA,GameID
sekeran86,Andrej.Sekera,D,0,0,0,0,0,0,0,5,4,5,0,19,15,3,10,2,0,0,0,1,0,0,17.3,66,52.1,118.1,52.1,34.7,86.9,31.3,24.3,1,2,1,3,9,7,0,0,15,10,19,15,10,8,20687
pakarii91,Iiro.Pakarinen,RL,0,1,1,0,2,1,5,5,2,2,1,13,12,5,5,0,0,0,1,2,0,0,10.3,75.8,64.1,139.9,70,58.3,128.3,40.8,29.1,0,0,2,2,7,5,2,1,12,10,13,11,8,6,20687
letesma85,Mark.Letestu,CR,0,0,0,0,0,0,1,1,1,2,0,13,12,6,5,0,10,7,2,0,0,0,13.5,57.6,53.2,110.8,53.2,44.3,97.5,35.5,39.9,0,0,0,1,8,9,1,1,12,10,13,12,10,7,20687
yakupna93,Nail.Yakupov,LR,0,0,0,0,0,0,1,2,-1,-2,-1,5,4,1,2,0,0,0,1,0,0,0,9.2,32.7,39.3,72,26.2,39.3,65.5,19.6,39.3,0,0,1,1,3,6,0,1,4,6,5,6,3,5,20687
kassiza91,Zack.Kassian,R,0,1,0,1,2,2,2,2,-1,0,0,12,11,6,4,0,0,0,4,1,0,1,14.4,49.8,54,103.8,45.7,45.7,91.3,33.2,33.2,0,0,0,1,8,8,1,1,11,11,12,13,9,8,20687
grybaer88,Eric.Gryba,D,0,0,0,0,0,0,0,0,-2,-3,-2,6,5,3,4,0,0,0,2,2,0,0,12,29.9,39.9,69.8,24.9,39.9,64.8,15,29.9,0,0,0,0,3,6,0,2,5,8,6,8,4,5,20687
landean91,Anton.Lander,C,0,0,0,0,0,0,0,0,-3,-3,0,4,4,0,4,0,5,3,0,0,0,0,8.4,28.4,49.7,78.1,28.4,49.7,78.1,14.2,28.4,0,0,0,0,2,4,1,1,4,7,4,7,2,5,20687
huntxbr88,Brad.Hunt,D,0,0,0,0,0,0,0,0,-6,-6,-1,0,0,0,0,0,0,0,0,1,0,0,2.6,0,135.8,135.8,0,135.8,135.8,0,90.6,0,0,0,0,0,4,0,1,0,6,0,6,0,5,20687
schulju90,Justin.Schultz,D,0,0,0,0,0,1,1,1,-7,-5,1,10,9,1,4,1,0,0,1,1,1,0,15.6,38.4,65.2,103.6,34.5,53.7,88.3,26.9,38.4,0,1,0,1,7,10,3,2,9,14,10,17,7,10,20687
davidbr91,Brandon.Davidson,D,0,0,0,0,0,0,0,3,-7,-5,2,10,9,1,4,0,0,0,2,2,1,0,16.9,35.5,60.3,95.8,31.9,49.7,81.6,24.8,39,1,0,2,0,7,11,3,1,9,14,10,17,7,10,20687
nurseda95,Darnell.Nurse,D,0,0,0,0,0,1,1,3,-9,-10,-2,7,6,3,5,0,0,0,3,2,0,1,15.4,27.2,62.1,89.3,23.3,62.1,85.4,15.5,38.8,1,0,1,1,4,10,0,2,6,16,7,16,5,8,20687
nilssan90,Anders.Nilsson,G,0,0,0,0,0,0,0,0,-10,-8,-1,36,30,7,18,0,0,0,0,0,0,0,47.5,45.4,58.1,103.5,37.9,48,85.8,25.2,34.1,0,0,0,0,20,27,3,4,30,38,36,46,22,26,20687
poulibe86,Benoit.Pouliot,L,0,0,0,0,0,1,2,2,-13,-8,0,3,3,0,7,3,0,1,2,0,0,1,15.3,11.8,62.7,74.4,11.8,43.1,54.8,7.8,27.4,0,3,1,1,2,7,0,0,3,11,3,16,3,8,20687
hendrma81,Matt.Hendricks,LR,0,0,0,0,0,0,0,0,-14,-10,0,4,3,0,5,2,6,2,0,1,0,0,13.1,18.3,82.5,100.8,13.7,59.6,73.3,9.2,32.1,0,2,0,0,2,7,0,0,3,13,4,18,2,8,20687
eberljo90,Jordan.Eberle,R,0,0,0,0,0,0,0,0,-19,-13,1,3,3,0,8,0,0,0,0,0,0,1,15.3,11.8,86.2,98,11.8,62.7,74.5,7.8,43.1,0,0,0,0,2,11,1,0,3,16,3,22,3,9,20687
wardxca84,Cam.Ward,G,1,0,0,0,0,0,0,0,28,28,-2,63,53,14,10,0,0,0,0,0,0,0,48.5,78,43.3,121.3,65.6,31,96.6,40.9,23.5,0,0,0,0,33,19,2,4,53,25,63,35,28,19,20023
staaler84,Eric.Staal,CL,1,0,0,0,0,2,7,8,20,21,0,32,30,6,6,0,0,0,3,1,0,0,16.4,116.8,43.8,160.6,109.5,32.9,142.4,62.1,21.9,0,0,2,6,17,6,1,1,30,9,32,12,15,6,20023
lindhel94,Elias.Lindholm,RC,1,0,0,0,0,0,1,2,17,18,1,31,28,6,6,1,1,2,0,0,0,0,18.5,100.3,45.3,145.6,90.6,32.4,123,61.5,19.4,0,1,0,2,19,6,1,0,28,10,31,14,17,6,20023
raskxvi93,Victor.Rask,C,1,1,0,0,1,2,4,6,12,15,1,26,25,6,6,0,9,4,1,3,0,0,15.7,99.5,53.6,153.1,95.7,38.3,134,65.1,26.8,0,0,3,2,17,7,1,0,25,10,26,14,13,6,20023
