Period,Time,Strength,Team,Shooter,Shot Type?,A1,A2,A3,A1 Zone,A2 Zone,A3 Zone,SC?,SOG?,Oddman,G?,RB,RB SOG?,RB G?,Home Score State,Goalie,Game ID,Date,Home:,Away: ,Home Goalies,Away Goalies,Isles,F,F,F,D,D,G/Extra Attacker,Opp,F,F,F,D,D,G/Extra Attacker
2,19:46,4v4,NYI,27,t,2,18,27,ol,oc,nr,y,,,,,,,1,33,20026,10/10/2015,CHI,NYI,,,,18,27,2,55,30,0,,19,88,2,7,33,0
2,19:38,4v4,NYI,15,o,53,,,of,,,y,,,,,,,1,33,20026,10/10/2015,CHI,NYI,,,,18,27,2,55,30,0,,19,88,2,7,33,0
2,19:07,5v4,CHI,2,s,7,14,,opc,or,,,,,,,,,1,30,20026,10/10/2015,CHI,NYI,,,,53,15,37,55,30,0,,15,72,81,2,7,33
2,18:27,5v5,CHI,81,w,72,81,72,or,oelc,oelc,y,y,,,,,,1,30,20026,10/10/2015,CHI,NYI,,,,51,91,86,3,44,30,,15,72,81,6,57,33
2,17:44,5v5,CHI,28,w,88,57,19,oc,nc,nr,,y,,,,,,1,30,20026,10/10/2015,CHI,NYI,,,,12,91,21,3,44,30,,19,28,88,6,57,33
2,17:17,5v5,NYI,2,s,21,,,ol,,,,,,,,,,1,33,20026,10/10/2015,CHI,NYI,,,,12,29,21,2,28,30,,19,28,88,4,43,33
2,17:11,5v5,CHI,88,b,19,,,dc,,,y,y,,,,,,1,30,20026,10/10/2015,CHI,NYI,,,,29,21,17,2,28,30,,19,28,88,6,57,33
2,16:06,5v5,NYI,86,b,3,,,dsc,,,y,y,,,,,,1,33,20026,10/10/2015,CHI,NYI,,,,84,15,86,3,37,30,,11,16,65,7,43,33
2,15:06,5v5,CHI,19,t,81,19,28,or,oc,nl,y,y,,,,,,1,30,20026,10/10/2015,CHI,NYI,,,,12,91,21,2,44,30,,19,28,81,2,4,33
2,14:07,5v5,CHI,72,w,88,,,oelc,,,y,y,,y,,,,1,30,20026,10/10/2015,CHI,NYI,,,,27,29,51,2,37,30,,15,72,88,6,57,33
2,12:48,4v5,NYI,51,w,86,,,nc,,,,y,,,51,y,,2,33,20026,10/10/2015,CHI,NYI,,,,51,86,37,55,30,0,,19,65,88,2,7,33
2,11:47,5v4,CHI,88,w,19,88,86,oc,or,oc,,y,,,,,,2,30,20026,10/10/2015,CHI,NYI,,,,51,86,37,55,30,0,,19,65,88,86,2,33
2,9:03,5v4,NYI,3,s,2,29,,ol,opl,,,y,,,,,,2,33,20026,10/10/2015,CHI,NYI,,,,12,18,29,2,3,30,,19,81,7,43,33,0
2,8:13,5v5,CHI,72,w,7,,,dsc,,,y,y,1 on 0,,,,,2,30,20026,10/10/2015,CHI,NYI,,,,53,15,17,2,55,30,,15,72,88,7,43,33
2,7:35,5v5,NYI,28,o,91,,,opr,,,,,,,,,,2,33,20026,10/10/2015,CHI,NYI,,,,12,91,86,28,37,30,,15,28,88,6,7,33
2,7:15,5v5,CHI,81,w,19,4,19,oc,or,opr,,y,,,,,,2,30,20026,10/10/2015,CHI,NYI,,,,12,91,86,28,37,30,,19,28,81,4,6,33
2,7:06,5v5,CHI,19,w,81,2,,oc,ol,,,y,,,,,,2,30,20026,10/10/2015,CHI,NYI,,,,12,91,86,28,37,30,,19,28,81,2,4,33
2,4:56,5v5,CHI,2,o,11,16,43,oc,ol,dc,,,,,,,,2,30,20026,10/10/2015,CHI,NYI,,,,27,29,21,3,44,30,,11,16,65,2,4,33
2,3:35,5v5,CHI,88,t,57,72,88,or,oc,or,y,y,,y,,,,2,30,20026,10/10/2015,CHI,NYI,,,,29,21,17,3,44,30,,15,72,88,6,57,33
2,2:29,5v5,CHI,81,o,28,43,81,ol,ol,opl,,,,,,,,3,30,20026,10/10/2015,CHI,NYI,,,,18,51,84,28,37,30,,19,28,81,7,43,33
2,2:06,5v5,NYI,51,w,18,37,,nr,dr,,,,,,,,,3,33,20026,10/10/2015,CHI,NYI,,,,18,51,84,28,37,30,,19,28,65,7,43,33
2,1:51,5v5,CHI,18,w,19,,,oc,,,,y,,,,,,3,30,20026,10/10/2015,CHI,NYI,,,,18,51,84,28,37,30,,19,28,65,6,57,33
3,18:10,5v5,CHI,4,w,19,,,or,,,,,,,,,,3,30,20026,10/10/2015,CHI,NYI,,,,18,27,84,3,28,30,,19,28,81,2,4,33
3,17:53,5v5,CHI,81,o,28,19,,oc,nl,,,y,,,,,,3,30,20026,10/10/2015,CHI,NYI,,,,18,27,84,28,37,30,,19,28,81,2,4,33
3,17:35,5v5,CHI,11,w,2,,,dsl,,,,,,,,,,3,30,20026,10/10/2015,CHI,NYI,,,,18,27,84,37,55,30,,11,19,81,2,7,33
3,14:07,5v5,NYI,44,o,15,17,,opl,ol,,,,,,,,,3,33,20026,10/10/2015,CHI,NYI,,,,53,15,17,3,44,30,,14,29,86,6,57,33
3,13:07,5v4,CHI,81,o,2,72,2,oc,opl,ol,,,,,,,,3,30,20026,10/10/2015,CHI,NYI,,,,51,86,37,55,30,0,,19,72,81,88,2,33
3,12:41,5v4,CHI,81,o,19,72,,oc,oc,,y,y,,,,,,3,30,20026,10/10/2015,CHI,NYI,,,,51,86,37,55,30,0,,19,72,81,88,2,33
3,9:52,5v5,NYI,53,w,3,,,dr,,,,,,,,,,3,33,20026,10/10/2015,CHI,NYI,,,,53,15,2,3,44,30,,65,29,86,4,57,33
3,9:30,5v5,NYI,18,s,84,,,nsc,,,,y,,,,,,3,33,20026,10/10/2015,CHI,NYI,,,,18,27,84,28,37,30,,11,16,65,4,7,33
3,8:32,5v5,NYI,51,w,44,,,dl,,,,,,,,,,3,33,20026,10/10/2015,CHI,NYI,,,,51,21,86,3,44,30,,15,72,88,7,43,33
3,7:14,5v5,NYI,2,s,17,53,,oc,oelpr,,,,,,,,,3,33,20026,10/10/2015,CHI,NYI,,,,53,15,17,2,55,30,,14,29,86,6,57,33
3,6:07,5v3,CHI,81,w,4,,,dsr,,,y,,,,,,,3,30,20026,10/10/2015,CHI,NYI,,,,18,27,91,28,37,30,,19,28,81,2,4,33
3,5:32,5v3,CHI,2,o,72,2,81,oc,ol,oc,y,,,,,,,3,30,20026,10/10/2015,CHI,NYI,,,,51,37,55,30,0,0,,19,72,81,88,2,33
3,5:17,5v3,CHI,81,o,2,,,oc,,,y,y,,,,,,3,30,20026,10/10/2015,CHI,NYI,,,,51,37,55,30,0,0,,19,72,81,88,2,33
3,4:55,5v3,CHI,7,o,86,6,7,orrr,oc,ol,y,,,,,,,3,30,20026,10/10/2015,CHI,NYI,,,,53,3,44,30,0,0,,15,65,86,6,7,33
3,4:42,5v3,CHI,86,o,6,86,6,oc,or,oc,,y,,,,,,3,30,20026,10/10/2015,CHI,NYI,,,,53,3,44,30,0,0,,15,65,86,6,7,33
3,4:33,5v3,CHI,7,o,86,65,,orrr,or,,y,y,,y,,,,3,30,20026,10/10/2015,CHI,NYI,,,,53,3,44,30,0,0,,15,65,86,6,7,33
3,2:50,5v5,CHI,81,o,28,19,7,ol,oc,dsr,y,,,,,,,4,30,20026,10/10/2015,CHI,NYI,,,,18,84,17,2,3,30,,19,28,81,6,7,33
3,2:14,5v4,CHI,6,o,14,6,14,ol,ol,ol,,y,,,,,,4,30,20026,10/10/2015,CHI,NYI,,,,51,86,37,55,30,0,,14,29,86,6,57,33
3,1:51,5v4,CHI,86,w,57,6,29,oc,oc,ol,,y,,,,,,4,30,20026,10/10/2015,CHI,NYI,,,,51,86,37,55,30,0,,14,29,86,6,57,33
3,1:36,5v4,CHI,88,o,57,,,oc,,,,y,,,,,,4,30,20026,10/10/2015,CHI,NYI,,,,53,15,2,3,30,0,,15,72,88,6,57,33
3,0:09,5v5,NYI,29,w,17,8,,ol,dsl,,y,,,,,,,3,33,20026,10/10/2015,CHI,NYI,,,,18,29,2,3,28,30,,11,65,86,6,7,33
1,16:44,5v5,NYI,18,w,27,91,2,oc,nc,dl,,Y,,,,,,0,50,20015,10/9/2015,NYI,CHI,1,50,,18,27,91,2,55,1,,19,81,86,2,4,50
