Period,Time,Strength,Team,Shooter,Shot Type?,A1,A2,A3,A1 Zone,A2 Zone,A3 Zone,SC?,SOG?,Oddman,G?,RB,RB SOG?,RB G?,Home Score State,Goalie,Game ID,Date,Home:,Away: ,Home Goalies,Away Goalies,Flames,F,F,F,D,D,G/Extra Attacker,Opp,F,F,F,D,D,G/Extra Attacker
3,8:16,5v5,N.J,5,w,20,,,oc,,,,,,,,,,1,1,20682,1/19/2016,N.J,CGY,,,,11,93,19,5,7,1,,12,51,20,5,8,35
3,7:14,5v5,N.J,2,s,51,,,of,,,,,,,,,,1,1,20682,1/19/2016,N.J,CGY,,,,23,67,13,4,27,1,,11,15,22,5,6,35
3,6:02,5v5,N.J,19,o,21,64,6,orrr,oc,dl,y,y,,,,,,1,1,20682,1/19/2016,N.J,CGY,,,,60,67,13,4,6,1,,19,21,64,5,6,35
3,5:40,5v5,CGY,27,w,7,,,opl,,,,,,,,,,1,35,20682,1/19/2016,N.J,CGY,,,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference
3,5:20,5v5,N.J,20,w,13,6,,nc,dc,,,,,,,,,1,1,20682,1/19/2016,N.J,CGY,,,,8,60,79,7,27,1,,14,20,13,8,44,35
3,4:13,5v5,N.J,12,w,51,28,2,dsr,dl,dc,,y,,,,,,1,1,20682,1/19/2016,N.J,CGY,,,,23,67,13,4,6,1,,12,48,51,5,6,35
3,3:49,5v5,N.J,51,a,12,48,,ol,or,,,,,,,,,1,1,20682,1/19/2016,N.J,CGY,,,,23,67,13,4,6,1,,12,48,51,5,6,35
3,3:19,5v5,CGY,21,w,7,27,67,opr,dsc,nl,,,,,,,,1,35,20682,1/19/2016,N.J,CGY,,,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference
3,2:38,5v5,CGY,60,w,27,,,nc,,,,,,,,,,1,35,20682,1/19/2016,N.J,CGY,,,,8,60,79,7,27,1,,14,21,13,2,8,35
3,2:02,5v5,CGY,79,o,60,8,,oelc,ol,,y,,,,,,,1,35,20682,1/19/2016,N.J,CGY,,,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference
3,1:02,5v6,N.J,6,w,20,,,dr,,,,y,,y,,,,1,,20682,1/19/2016,N.J,CGY,,,,11,93,19,67,6,7,,19,11,20,5,6,35
3,0:23,6v5,CGY,8,o,23,24,13,oc,oc,ol,y,,,,,,,2,35,20682,1/19/2016,N.J,CGY,,,,8,23,24,13,4,6,,14,21,13,2,8,35
3,0:07,6v5,CGY,6,s,13,,,opr,,,,,,,23,,,2,35,20682,1/19/2016,N.J,CGY,,,,8,23,24,13,4,6,,14,21,13,2,5,35
1,19:38,5v5,CGY,13,w,79,23,,orrr,dc,,Y,Y,,,,,,0,33,20668,01/16/2016,EDM,CGY,33,1,,23,13,79,5,7,1,,93,26,4,2,5,33
1,19:27,5v5,CGY,23,w,7,23,,oc,opr,,,Y,,,,,,0,33,20668,01/16/2016,EDM,CGY,39,31,,23,13,79,5,7,1,,93,26,4,2,5,33
1,19:15,5v5,EDM,29,w,67,,,nr,,,,,,,,,,0,1,20668,01/16/2016,EDM,CGY,,,,11,93,67,4,27,1,,14,29,67,19,25,33
1,19:02,5v5,CGY,67,w,11,93,4,or,dc,dc,Y,Y,,,,,,0,33,20668,01/16/2016,EDM,CGY,,,,11,93,67,4,27,1,,14,29,67,19,25,33
1,18:08,5v5,EDM,10,w,51,2,5,oc,dsl,dr,Y,Y,,,,,,0,1,20668,01/16/2016,EDM,CGY,,,,18,16,52,6,29,1,,51,10,28,2,5,33
1,17:30,5v5,EDM,26,w,93,4,5,nc,nl,dl,,,,,,,,0,1,20668,01/16/2016,EDM,CGY,,,,23,13,79,5,7,1,,93,26,4,19,25,33
1,17:17,5v5,CGY,7,w,23,,,oelc,,,Y,Y,,,,,,0,33,20668,01/16/2016,EDM,CGY,,,,23,13,79,5,7,1,,93,26,4,19,25,33
1,16:43,5v5,EDM,14,w,67,88,62,nl,dl,dc,,,,,,,,0,1,20668,01/16/2016,EDM,CGY,,,,11,93,67,4,27,1,,14,29,67,2,5,33
1,16:39,5v5,EDM,2,w,55,,,ofp,,,,,,,,,,0,1,20668,01/16/2016,EDM,CGY,,,,60,19,21,4,27,1,,55,16,44,2,5,33
1,16:20,5v5,EDM,2,w,55,16,44,opl,oelc,oc,,,,,,,,0,1,20668,01/16/2016,EDM,CGY,,,,60,19,21,4,27,1,,55,16,44,2,5,33
1,15:40,5v5,EDM,10,o,51,,,ol,,,Y,Y,,,,,,0,1,20668,01/16/2016,EDM,CGY,,,,18,16,52,4,6,1,,51,10,28,19,25,33
1,15:00,5v5,EDM,29,w,14,,,opr,,,,,,,,,,0,1,20668,01/16/2016,EDM,CGY,,,,23,13,79,5,7,1,,14,29,67,62,88,33
1,14:15,5v5,EDM,5,o,4,2,,opr,nsc,,,Y,,,,,,0,1,20668,01/16/2016,EDM,CGY,,,,11,93,67,4,7,1,,93,26,4,2,5,33
1,12:59,5v5,EDM,67,o,29,67,29,oelc,or,oc,Y,Y,,,,,,0,1,20668,01/16/2016,EDM,CGY,,,,23,93,13,4,6,1,,14,29,67,2,5,33
1,12:49,5v5,CGY,67,o,11,93,5,orrl,ol,dl,Y,Y,,,,,,0,33,20668,01/16/2016,EDM,CGY,,,,11,93,67,5,7,1,,93,26,4,19,25,33
1,12:40,5v5,CGY,5,w,67,7,5,oc,or,oc,,Y,,,,,,0,33,20668,01/16/2016,EDM,CGY,,,,11,93,67,5,7,1,,93,26,4,19,25,33
1,12:30,5v5,CGY,11,o,67,,,orrl,,,Y,Y,,,,,,0,33,20668,01/16/2016,EDM,CGY,,,,11,93,67,5,7,1,,93,26,4,19,25,33
1,11:33,5v5,EDM,28,w,51,,,nc,,,,,,,,,,0,1,20668,01/16/2016,EDM,CGY,,,,60,19,21,4,27,1,,51,10,28,62,88,33
1,11:17,5v5,EDM,51,w,88,10,51,oc,opr,or,,,,,,,,0,1,20668,01/16/2016,EDM,CGY,,,,60,19,21,4,27,1,,51,10,28,62,88,33
1,10:05,5v5,CGY,13,w,29,6,,dl,dr,,,,,,,,,0,33,20668,01/16/2016,EDM,CGY,,,,23,13,79,5,7,1,,14,29,44,19,25,33
1,9:51,5v5,CGY,4,w,13,79,,opr,or,,,,,,,,,0,33,20668,01/16/2016,EDM,CGY,,,,23,13,79,4,27,1,,14,29,67,19,25,33
1,9:19,5v5,CGY,93,b,11,,,oelc,,,Y,Y,,Y,,,,0,33,20668,01/16/2016,EDM,CGY,,,,11,93,67,6,29,1,,51,10,28,62,88,33
1,8:19,5v5,EDM,88,w,4,2,,opr,dl,,,,,,93,Y,,-1,1,20668,01/16/2016,EDM,CGY,,,,60,19,21,5,7,1,,93,26,4,62,88,33
1,8:07,4v5,EDM,88,w,55,,,df,,,,Y,,,,,,-1,1,20668,01/16/2016,EDM,CGY,,,,23,13,79,5,27,1,,55,28,62,88,33,0
1,7:48,4v5,EDM,28,w,55,,,nr,,,,Y,,,,,,-1,1,20668,01/16/2016,EDM,CGY,,,,23,13,79,5,27,1,,55,28,62,88,33,0
1,7:08,5v4,CGY,6,w,27,60,,opl,opl,,Y,,,,,,,-1,33,20668,01/16/2016,EDM,CGY,,,,11,60,93,6,27,1,,16,67,2,5,33,0
1,6:51,4v5,EDM,16,w,67,,,or,,,,,,,,,,-1,1,20668,01/16/2016,EDM,CGY,,,,11,60,93,6,27,1,,16,67,62,88,33,0
1,6:23,5v3,CGY,6,o,5,13,79,opr,opr,of,,,,,,,,-1,33,20668,01/16/2016,EDM,CGY,,,,23,13,79,5,6,1,,51,25,62,33,0,0
1,5:23,5v4,CGY,79,t,5,27,23,ol,opc,opc,Y,Y,,,,,,-1,33,20668,01/16/2016,EDM,CGY,,,,23,13,79,5,27,1,,55,28,2,62,33,0
1,4:22,5v5,CGY,16,w,7,1,,dsc,dc,,,,,,,,,-1,33,20668,01/16/2016,EDM,CGY,,,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference
1,3:59,5v5,CGY,18,w,16,18,,nc,nl,,,,,,,,,-1,33,20668,01/16/2016,EDM,CGY,,,,18,16,52,4,7,1,,14,51,4,19,88,33
1,3:11,5v5,EDM,2,w,10,,,opl,,,,,,,,,,-1,1,20668,01/16/2016,EDM,CGY,,,,60,19,21,6,29,1,,14,29,10,2,5,33
1,2:35,5v5,CGY,11,o,67,,,oelc,,,Y,Y,,,4,,,-1,33,20668,01/16/2016,EDM,CGY,,,,11,93,67,4,27,1,,55,16,44,2,5,33
1,1:22,5v5,CGY,18,w,7,17,5,or,dl,dl,,,,,,,,-1,33,20668,01/16/2016,EDM,CGY,,,,18,16,52,4,7,1,,93,10,28,5,88,33
1,1:00,5v5,CGY,16,w,18,27,4,or,nr,dc,,Y,,,,,,-1,33,20668,01/16/2016,EDM,CGY,,,,18,93,16,4,27,1,,51,10,28,5,88,33
2,19:33,5v4,CGY,27,w,5,23,79,opl,opl,ol,,,,,,,,-1,33,20668,01/16/2016,EDM,CGY,,,,23,13,79,5,27,1,,55,28,62,88,33,0
2,19:26,5v4,CGY,23,w,5,23,,ol,opl,,,,,,,,,-1,33,20668,01/16/2016,EDM,CGY,,,,23,13,79,5,27,1,,55,28,62,88,33,0
2,19:05,5v4,CGY,21,s,11,5,,oelpr,ol,,,,,,,,,-1,33,20668,01/16/2016,EDM,CGY,,,,11,93,21,5,27,1,,51,26,62,88,33,0
2,18:46,5v4,CGY,21,w,93,5,27,oc,oell,oc,,Y,,,,,,-1,33,20668,01/16/2016,EDM,CGY,,,,11,93,21,5,27,1,,51,26,62,88,33,0
2,17:27,5v5,EDM,4,w,16,5,2,dr,dc,dl,,Y,,,,,,-1,1,20668,01/16/2016,EDM,CGY,,,,18,16,52,5,7,1,,93,16,4,2,25,33
2,17:12,5v4,CGY,5,w,27,79,,opr,opr,,,Y,,,,,,-1,33,20668,01/16/2016,EDM,CGY,,,,23,13,79,5,27,1,,51,26,62,88,33,0
2,17:04,5v4,CGY,5,w,27,13,,opr,opr,,,,,,,,,-1,33,20668,01/16/2016,EDM,CGY,,,,23,13,79,5,27,1,,51,26,62,88,33,0
2,16:29,5v4,CGY,7,b,13,79,27,nc,dl,dc,Y,Y,,,,,,-1,33,20668,01/16/2016,EDM,CGY,,,,23,93,13,7,27,1,,55,28,2,62,33,0
2,14:10,5v5,EDM,2,w,67,93,,opl,of,,,,,,,,,-1,1,20668,01/16/2016,EDM,CGY,,,,18,16,52,5,7,1,,14,93,67,2,5,33
2,13:53,5v5,CGY,6,s,60,,,ofp,,,,,,,,,,-1,33,20668,01/16/2016,EDM,CGY,,,,60,19,21,6,29,1,,51,26,28,62,88,33
2,13:47,5v5,CGY,6,o,21,,,opr,,,,,,,,,,-1,33,20668,01/16/2016,EDM,CGY,,,,60,19,21,6,29,1,,51,26,28,62,88,33
2,12:57,5v5,EDM,55,w,10,44,,oc,ol,,,Y,,,,,,-1,1,20668,01/16/2016,EDM,CGY,,,,60,13,79,6,29,1,,55,10,44,2,5,33
2,11:55,5v5,CGY,79,w,7,11,,dsc,nl,,,Y,,,,,,-1,33,20668,01/16/2016,EDM,CGY,,,,11,67,79,5,7,1,,55,10,44,2,5,33
2,11:18,5v5,EDM,29,t,62,16,,or,opr,,Y,,,,,,,-1,1,20668,01/16/2016,EDM,CGY,,,,11,67,79,5,7,1,,29,16,4,25,62,33
2,10:58,5v5,EDM,29,w,4,,,oelc,,,Y,Y,,,,,,-1,1,20668,01/16/2016,EDM,CGY,,,,11,67,79,5,7,1,,29,16,4,25,62,33
2,10:22,5v5,EDM,88,w,14,93,,nc,dsc,,,Y,,,,,,-1,1,20668,01/16/2016,EDM,CGY,,,,18,16,52,4,27,1,,14,93,67,25,88,33
2,10:10,5v5,EDM,88,o,14,93,,opl,ol,,,,,,,,,-1,1,20668,01/16/2016,EDM,CGY,,,,11,93,67,4,27,1,,14,93,67,19,88,33
2,9:52,5v5,CGY,67,w,27,,,orrl,,,Y,,,,,,,-1,33,20668,01/16/2016,EDM,CGY,,,,11,93,67,4,27,1,,14,93,67,19,88,33
2,9:47,5v5,CGY,27,o,67,,,opc,,,,,,,,,,-1,33,20668,01/16/2016,EDM,CGY,,,,11,93,19,4,27,1,,14,93,67,19,88,33
2,9:05,5v5,EDM,2,w,10,5,2,opc,dsc,dl,,Y,,,,,,-1,1,20668,01/16/2016,EDM,CGY,,,,18,16,52,6,29,1,,55,10,44,2,25,33
2,8:49,5v5,EDM,10,w,2,25,55,oc,opl,oelpr,,,,,,,,-1,1,20668,01/16/2016,EDM,CGY,,,,18,16,52,6,29,1,,55,10,44,2,25,33
2,8:12,5v5,CGY,60,w,19,,,nr,,,,,,,,,,-1,33,20668,01/16/2016,EDM,CGY,,,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference
2,7:23,5v5,EDM,4,b,16,29,,oc,nc,,,Y,,,,,,-1,1,20668,01/16/2016,EDM,CGY,,,,23,13,79,5,7,1,,29,16,4,2,62,33
2,6:34,5v5,EDM,67,w,14,62,,dsr,dc,,Y,Y,,,,,,-1,1,20668,01/16/2016,EDM,CGY,,,,11,93,67,4,27,1,,14,93,67,25,62,33
2,6:06,5v5,EDM,44,w,10,55,,nr,nr,,,,,,,,,-1,1,20668,01/16/2016,EDM,CGY,,,,18,16,52,6,29,1,,55,10,44,25,62,33
2,5:19,5v5,EDM,28,w,26,,,dr,,,,Y,,,,,,-1,1,20668,01/16/2016,EDM,CGY,,,,60,19,21,4,27,1,,51,26,28,5,25,33
2,3:37,5v5,EDM,93,o,14,2,,or,or,,,Y,,,,,,-1,1,20668,01/16/2016,EDM,CGY,,,,11,93,67,4,27,1,,14,93,67,2,5,33
2,1:55,5v5,CGY,93,w,60,,,or,,,Y,,,,,,,-1,33,20668,01/16/2016,EDM,CGY,,,,11,93,67,4,27,1,,29,16,4,19,25,33
2,0:38,5v4,EDM,19,w,14,19,55,opl,opr,ofp,,,,,67,Y,,-1,1,20668,01/16/2016,EDM,CGY,,,,11,67,5,7,1,0,,14,29,55,67,19,33
2,0:02,5v4,EDM,14,w,19,,,oc,,,Y,Y,,,,,,-1,1,20668,01/16/2016,EDM,CGY,,,,18,60,5,7,1,0,,14,29,55,67,19,33
3,19:48,5v4,EDM,2,o,4,93,2,opl,oc,dsc,,Y,,,,,,-1,1,20668,01/16/2016,EDM,CGY,,,,11,67,5,7,1,0,,93,10,16,4,2,33
3,18:52,5v4,EDM,16,w,2,10,2,oc,opr,opc,Y,,,,,,,-1,1,20668,01/16/2016,EDM,CGY,,,,18,60,16,4,6,1,,93,10,16,4,2,33
3,18:38,5v5,EDM,88,w,55,,,ofp,,,,,,,,,,-1,1,20668,01/16/2016,EDM,CGY,,,,18,60,16,4,6,1,,93,10,16,4,2,33
3,16:54,5v5,CGY,67,w,23,,,ofp,,,,,,,,,,-1,33,20668,01/16/2016,EDM,CGY,,,,11,93,67,5,7,1,,29,16,4,2,5,33
3,16:42,5v5,EDM,55,s,10,88,,nc,dsl,,,Y,,,10,Y,,-1,1,20668,01/16/2016,EDM,CGY,,,,23,13,79,4,27,1,,55,10,44,62,88,33
3,16:41,5v5,EDM,44,r,,,,,,,,,,,,,,-1,1,20668,01/16/2016,EDM,CGY,,,,23,13,79,4,27,1,,55,10,44,62,88,33
3,16:04,5v5,CGY,93,w,6,,,dsc,,,,Y,,,,,,-1,33,20668,01/16/2016,EDM,CGY,,,,18,93,16,6,29,1,,14,93,67,2,19,33
3,14:21,5v5,CGY,7,b,13,23,,orrl,dc,,Y,Y,,,,,,-1,33,20668,01/16/2016,EDM,CGY,,,,23,13,79,5,7,1,,29,16,4,2,5,33
3,14:11,5v5,CGY,23,o,13,79,,ol,oc,,Y,,,,,,,-1,33,20668,01/16/2016,EDM,CGY,,,,23,13,79,4,27,1,,29,16,4,5,62,33
3,13:49,5v5,CGY,23,w,4,27,,dsc,dr,dc,,Y,,,,,,-1,33,20668,01/16/2016,EDM,CGY,,,,11,93,67,4,27,1,,51,26,28,25,62,33
3,13:16,5v5,EDM,44,b,55,,,nc,,,,Y,,,,,,-1,1,20668,01/16/2016,EDM,CGY,,,,11,93,67,6,29,1,,55,10,44,19,88,33
3,12:53,5v5,EDM,14,w,93,19,88,nc,dc,dr,,,,,,,,-1,1,20668,01/16/2016,EDM,CGY,,,,23,13,79,4,27,1,,14,93,67,19,88,33
3,12:18,5v5,EDM,62,o,67,93,,oelc,ol,,Y,,,,,,,-1,1,20668,01/16/2016,EDM,CGY,,,,60,19,21,4,5,1,,29,16,4,25,62,33
3,12:11,5v5,EDM,62,s,33,,,dsc,,,,Y,,,,,,-1,1,20668,01/16/2016,EDM,CGY,,,,60,19,21,4,5,1,,29,16,4,25,62,33
3,10:15,5v5,CGY,93,w,27,4,,dc,dsr,,Y,Y,,,,,,-1,33,20668,01/16/2016,EDM,CGY,,,,11,93,67,4,27,1,,93,10,44,19,62,33
3,9:49,5v5,EDM,14,t,93,14,,ol,nc,,Y,Y,,,,,,-1,1,20668,01/16/2016,EDM,CGY,,,,23,13,79,5,27,1,,14,93,67,25,62,33
3,9:31,5v5,EDM,14,b,93,62,67,or,nr,dr,Y,Y,,,,,,-1,1,20668,01/16/2016,EDM,CGY,,,,23,13,79,5,7,1,,14,93,67,5,25,33
3,9:27,5v5,EDM,5,w,16,29,,opc,of,,,Y,,,,,,-1,1,20668,01/16/2016,EDM,CGY,,,,11,93,67,5,7,1,,29,16,4,2,5,33
3,9:23,5v5,EDM,5,w,4,,,ofp,,,,Y,,Y,,,,-1,1,20668,01/16/2016,EDM,CGY,,,,11,93,67,5,7,1,,29,16,4,2,5,33
3,8:56,5v5,CGY,23,w,79,,,oc,,,Y,,,,,,,0,33,20668,01/16/2016,EDM,CGY,,,,23,19,79,4,27,1,,29,16,4,2,5,33
3,8:49,5v5,EDM,16,b,29,4,,nc,dl,,Y,Y,,,,,,0,1,20668,01/16/2016,EDM,CGY,,,,23,19,79,4,27,1,,29,16,4,19,88,33
3,8:37,5v5,EDM,88,w,29,,,orrl,,,Y,,,,,,,0,1,20668,01/16/2016,EDM,CGY,,,,23,19,79,4,27,1,,29,16,4,19,88,33
3,7:01,5v5,EDM,93,w,14,62,,dc,dc,,,Y,,,,,,0,1,20668,01/16/2016,EDM,CGY,,,,11,93,67,4,6,1,,14,93,28,2,5,33
3,6:17,5v5,CGY,29,w,6,23,13,opr,opr,oc,,,,,93,,,0,33,20668,01/16/2016,EDM,CGY,,,,23,13,21,6,29,1,,51,26,28,2,5,33
3,2:57,5v5,EDM,62,o,67,,,opr,,,,,,,,,,0,1,20668,01/16/2016,EDM,CGY,,,,23,13,79,5,7,1,,14,93,67,62,88,33
3,2:23,5v5,CGY,21,w,27,,,or,,,,Y,,,,,,0,33,20668,01/16/2016,EDM,CGY,,,,23,19,21,4,27,1,,14,93,67,2,62,33
3,1:12,5v5,EDM,29,o,16,,,oelc,,,Y,,,,,,,0,1,20668,01/16/2016,EDM,CGY,,,,11,93,67,4,7,1,,29,16,4,2,88,33
3,0:18,5v5,CGY,67,w,13,,,nl,,,,Y,,,,,,0,33,20668,01/16/2016,EDM,CGY,,,,11,93,67,4,7,1,,14,93,67,2,88,33
3,0:08,5v5,CGY,5,w,23,,,ofp,,,,,,,,,,0,33,20668,01/16/2016,EDM,CGY,,,,23,13,79,5,7,1,,55,44,28,2,88,33
4,4:06,3v3,CGY,23,w,5,,,dsc,,,Y,,,,,,,0,33,20668,01/16/2016,EDM,CGY,,,,23,0,0,4,7,1,,0,14,93,0,2,33
4,3:22,3v3,CGY,11,w,27,,,or,,,Y,Y,,,11,Y,,0,33,20668,01/16/2016,EDM,CGY,,,,11,0,0,4,6,1,,0,29,4,0,19,33
4,2:46,4v3,CGY,6,o,13,6,,oc,oc,,,Y,,,,,,0,33,20668,01/16/2016,EDM,CGY,,,,23,13,0,5,6,1,,51,0,0,62,88,33
4,2:34,4v3,CGY,13,w,5,13,,or,or,,,,,,,,,0,33,20668,01/16/2016,EDM,CGY,,,,23,13,0,5,6,1,,51,0,0,62,88,33
4,2:16,4v3,CGY,13,w,5,13,1,opc,opr,dsc,Y,,,,,,,0,33,20668,01/16/2016,EDM,CGY,,,,23,13,0,5,6,1,,28,0,0,62,88,33
4,1:59,4v3,CGY,13,w,6,13,5,oc,opc,oc,Y,Y,,,,,,0,33,20668,01/16/2016,EDM,CGY,,,,23,13,0,5,6,1,,28,0,0,62,88,33
4,1:32,4v3,CGY,27,w,11,93,6,orrr,nr,dc,Y,,,,,,,0,33,20668,01/16/2016,EDM,CGY,,,,11,93,0,7,27,1,,55,0,0,2,5,33
4,0:44,4v4,CGY,13,b,27,1,,dc,dl,,,Y,,,,,,0,33,20668,01/16/2016,EDM,CGY,,,,67,13,0,4,5,1,,14,93,0,62,88,33
4,0:31,3v3,CGY,23,w,5,4,,or,oc,,,,,,,,,0,33,20668,01/16/2016,EDM,CGY,,,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference
4,0:20,3v3,EDM,14,w,93,,,oc,,,Y,,,,,,,0,1,20668,01/16/2016,EDM,CGY,,,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference
